ward,precinct,total,Susan Sadlowski Garza,Susan Sadlowski Garza Percent,Yessenia Carreon,Yessenia Carreon Percent,precinct_id
10,1,184,142,77.17,42,22.83,10001
10,2,176,123,69.89,53,30.11,10002
10,3,160,103,64.38,57,35.63,10003
10,4,134,100,74.63,34,25.37,10004
10,5,139,99,71.22,40,28.78,10005
10,6,150,106,70.67,44,29.33,10006
10,7,122,81,66.39,41,33.61,10007
10,8,91,61,67.03,30,32.97,10008
10,9,166,115,69.28,51,30.72,10009
10,10,198,149,75.25,49,24.75,10010
10,11,242,194,80.17,48,19.83,10011
10,12,128,93,72.66,35,27.34,10012
10,13,184,129,70.11,55,29.89,10013
10,14,244,190,77.87,54,22.13,10014
10,15,407,293,71.99,114,28.01,10015
10,16,115,78,67.83,37,32.17,10016
10,17,271,179,66.05,92,33.95,10017
10,18,103,74,71.84,29,28.16,10018
10,19,211,149,70.62,62,29.38,10019
10,20,219,166,75.8,53,24.2,10020
10,21,213,151,70.89,62,29.11,10021
10,22,121,94,77.69,27,22.31,10022
10,23,176,122,69.32,54,30.68,10023
10,24,162,103,63.58,59,36.42,10024
10,25,52,43,82.69,9,17.31,10025
10,26,142,112,78.87,30,21.13,10026
10,27,149,91,61.07,58,38.93,10027
10,28,237,184,77.64,53,22.36,10028
10,29,201,146,72.64,55,27.36,10029
10,30,175,134,76.57,41,23.43,10030
10,31,142,97,68.31,45,31.69,10031
10,32,191,146,76.44,45,23.56,10032
10,33,145,108,74.48,37,25.52,10033
10,34,121,85,70.25,36,29.75,10034
10,35,214,165,77.1,49,22.9,10035
10,36,48,36,75.0,12,25.0,10036
