ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Kina Collins,Kina Collins Percent,Anthony Clark,Anthony Clark Percent,Kristine Schanbacher,Kristine Schanbacher Percent,precinct_id
1,12,375,118,31.47,85,22.67,111,29.6,61,16.27,01012
1,14,63,19,30.16,18,28.57,18,28.57,8,12.7,01014
1,15,58,18,31.03,9,15.52,21,36.21,10,17.24,01015
1,32,132,42,31.82,13,9.85,43,32.58,34,25.76,01032
2,2,193,99,51.3,18,9.33,14,7.25,62,32.12,02002
2,9,189,100,52.91,18,9.52,24,12.7,47,24.87,02009
2,10,185,81,43.78,16,8.65,14,7.57,74,40.0,02010
2,11,272,123,45.22,25,9.19,34,12.5,90,33.09,02011
2,12,198,132,66.67,18,9.09,24,12.12,24,12.12,02012
2,13,281,118,41.99,30,10.68,28,9.96,105,37.37,02013
2,14,294,91,30.95,61,20.75,89,30.27,53,18.03,02014
2,17,358,130,36.31,63,17.6,102,28.49,63,17.6,02017
2,18,274,102,37.23,28,10.22,31,11.31,113,41.24,02018
2,19,133,60,45.11,8,6.02,19,14.29,46,34.59,02019
2,20,81,30,37.04,10,12.35,16,19.75,25,30.86,02020
2,21,24,11,45.83,7,29.17,3,12.5,3,12.5,02021
2,23,199,88,44.22,10,5.03,20,10.05,81,40.7,02023
2,27,225,117,52.0,20,8.89,35,15.56,53,23.56,02027
2,28,94,26,27.66,18,19.15,16,17.02,34,36.17,02028
2,29,269,104,38.66,35,13.01,40,14.87,90,33.46,02029
2,32,180,69,38.33,34,18.89,30,16.67,47,26.11,02032
2,34,243,115,47.33,12,4.94,27,11.11,89,36.63,02034
2,35,282,101,35.82,41,14.54,35,12.41,105,37.23,02035
2,36,250,96,38.4,30,12.0,37,14.8,87,34.8,02036
2,38,185,84,45.41,10,5.41,21,11.35,70,37.84,02038
2,39,157,74,47.13,18,11.46,23,14.65,42,26.75,02039
2,40,217,98,45.16,36,16.59,26,11.98,57,26.27,02040
2,41,227,75,33.04,42,18.5,33,14.54,77,33.92,02041
2,42,232,104,44.83,29,12.5,35,15.09,64,27.59,02042
2,43,277,117,42.24,25,9.03,40,14.44,95,34.3,02043
2,45,273,144,52.75,28,10.26,32,11.72,69,25.27,02045
2,46,162,65,40.12,19,11.73,33,20.37,45,27.78,02046
3,1,372,295,79.3,36,9.68,31,8.33,10,2.69,03001
3,2,424,343,80.9,41,9.67,27,6.37,13,3.07,03002
3,3,191,126,65.97,27,14.14,17,8.9,21,10.99,03003
3,4,87,61,70.11,17,19.54,8,9.2,1,1.15,03004
3,5,180,137,76.11,18,10.0,16,8.89,9,5.0,03005
3,6,369,188,50.95,54,14.63,53,14.36,74,20.05,03006
3,8,211,155,73.46,32,15.17,17,8.06,7,3.32,03008
