ward,precinct,total,Abigail Schultz (Bernie Sanders),Abigail Schultz (Bernie Sanders) Percent,Mary Colleran (Bernie Sanders),Mary Colleran (Bernie Sanders) Percent,William Bianchi (Bernie Sanders),William Bianchi (Bernie Sanders) Percent,Santos Moreno (Bernie Sanders),Santos Moreno (Bernie Sanders) Percent,Patrick Mulchrone (Bernie Sanders),Patrick Mulchrone (Bernie Sanders) Percent,Dave Temkin (Bernie Sanders),Dave Temkin (Bernie Sanders) Percent,Jared Zingsheim (Andrew Yang),Jared Zingsheim (Andrew Yang) Percent,Amber Fudacz (Andrew Yang),Amber Fudacz (Andrew Yang) Percent,Patrick Maloney (Andrew Yang),Patrick Maloney (Andrew Yang) Percent,William Rudnick (Andrew Yang),William Rudnick (Andrew Yang) Percent,Noah Brant (Andrew Yang),Noah Brant (Andrew Yang) Percent,Rio Diaz (Pete Buttigieg),Rio Diaz (Pete Buttigieg) Percent,Diana Helt (Pete Buttigieg),Diana Helt (Pete Buttigieg) Percent,Kevin Johnson (Pete Buttigieg),Kevin Johnson (Pete Buttigieg) Percent,Brad Lippitz (Pete Buttigieg),Brad Lippitz (Pete Buttigieg) Percent,Jonathan Pizer (Pete Buttigieg),Jonathan Pizer (Pete Buttigieg) Percent,Amanda Penabad (Pete Buttigieg),Amanda Penabad (Pete Buttigieg) Percent,Lee Greenhouse (Pete Buttigieg),Lee Greenhouse (Pete Buttigieg) Percent,Matthew Martin (Elizabeth Warren),Matthew Martin (Elizabeth Warren) Percent,Andrea McPike (Elizabeth Warren),Andrea McPike (Elizabeth Warren) Percent,Zach Koutsky (Elizabeth Warren),Zach Koutsky (Elizabeth Warren) Percent,Kaitlin ''Kady'' McFadden (Elizabeth W,Kaitlin ''Kady'' McFadden (Elizabeth W Percent,Michael Negron (Elizabeth Warren),Michael Negron (Elizabeth Warren) Percent,Eileen Dordek (Elizabeth Warren),Eileen Dordek (Elizabeth Warren) Percent,Carter Harms (Elizabeth Warren),Carter Harms (Elizabeth Warren) Percent,Eduardo Fernandez de Garayalde Gonzale,Eduardo Fernandez de Garayalde Gonzale Percent,Ross D. Secler (Amy J. Klobuchar),Ross D. Secler (Amy J. Klobuchar) Percent,Colette Holt (Amy J. Klobuchar),Colette Holt (Amy J. Klobuchar) Percent,Denise K. Marx (Amy J. Klobuchar),Denise K. Marx (Amy J. Klobuchar) Percent,Ryan O'Donnell (Amy J. Klobuchar),Ryan O'Donnell (Amy J. Klobuchar) Percent,precinct_id
1,3,2307,154,6.68,150,6.5,142,6.16,146,6.33,135,5.85,132,5.72,4,0.17,3,0.13,5,0.22,0,0.0,1,0.04,5,0.22,6,0.26,4,0.17,2,0.09,2,0.09,6,0.26,4,0.17,28,1.21,32,1.39,24,1.04,32,1.39,23,1.0,28,1.21,21,0.91,4,0.17,2,0.09,5,0.22,3,0.13,2,0.09,01003
1,4,2021,143,7.08,141,6.98,140,6.93,147,7.27,131,6.48,130,6.43,1,0.05,2,0.1,3,0.15,0,0.0,1,0.05,3,0.15,4,0.2,3,0.15,3,0.15,2,0.1,5,0.25,3,0.15,17,0.84,15,0.74,15,0.74,21,1.04,15,0.74,17,0.84,10,0.49,3,0.15,4,0.2,7,0.35,6,0.3,3,0.15,01004
1,5,2102,159,7.56,149,7.09,136,6.47,137,6.52,132,6.28,133,6.33,1,0.05,4,0.19,1,0.05,4,0.19,0,0.0,1,0.05,6,0.29,5,0.24,4,0.19,4,0.19,5,0.24,3,0.14,24,1.14,34,1.62,25,1.19,29,1.38,19,0.9,27,1.28,19,0.9,4,0.19,2,0.1,3,0.14,8,0.38,1,0.05,01005
1,6,1768,129,7.3,125,7.07,120,6.79,135,7.64,110,6.22,107,6.05,7,0.4,9,0.51,7,0.4,6,0.34,9,0.51,12,0.68,10,0.57,3,0.17,2,0.11,3,0.17,2,0.11,3,0.17,15,0.85,16,0.9,12,0.68,16,0.9,16,0.9,17,0.96,12,0.68,8,0.45,2,0.11,3,0.17,4,0.23,3,0.17,01006
1,8,1556,112,7.2,112,7.2,96,6.17,110,7.07,93,5.98,91,5.85,6,0.39,5,0.32,5,0.32,3,0.19,4,0.26,7,0.45,7,0.45,5,0.32,5,0.32,2,0.13,7,0.45,5,0.32,13,0.84,16,1.03,10,0.64,12,0.77,6,0.39,10,0.64,6,0.39,6,0.39,0,0.0,4,0.26,1,0.06,2,0.13,01008
1,10,2293,160,6.98,156,6.8,142,6.19,146,6.37,133,5.8,127,5.54,5,0.22,10,0.44,5,0.22,4,0.17,6,0.26,4,0.17,12,0.52,4,0.17,1,0.04,5,0.22,11,0.48,2,0.09,19,0.83,28,1.22,16,0.7,27,1.18,13,0.57,20,0.87,12,0.52,1,0.04,0,0.0,3,0.13,4,0.17,1,0.04,01010
1,11,2394,183,7.64,179,7.48,155,6.47,171,7.14,151,6.31,150,6.27,1,0.04,5,0.21,3,0.13,2,0.08,2,0.08,4,0.17,8,0.33,5,0.21,9,0.38,7,0.29,12,0.5,5,0.21,18,0.75,32,1.34,19,0.79,30,1.25,18,0.75,27,1.13,15,0.63,5,0.21,2,0.08,9,0.38,6,0.25,3,0.13,01011
1,14,1550,102,6.58,100,6.45,93,6.0,99,6.39,93,6.0,87,5.61,2,0.13,5,0.32,4,0.26,2,0.13,2,0.13,5,0.32,3,0.19,2,0.13,3,0.19,0,0.0,3,0.19,0,0.0,5,0.32,14,0.9,7,0.45,11,0.71,9,0.58,11,0.71,6,0.39,3,0.19,1,0.06,3,0.19,1,0.06,2,0.13,01014
1,21,2741,204,7.44,198,7.22,190,6.93,195,7.11,176,6.42,177,6.46,5,0.18,10,0.36,5,0.18,4,0.15,3,0.11,3,0.11,10,0.36,6,0.22,4,0.15,6,0.22,12,0.44,7,0.26,20,0.73,25,0.91,18,0.66,32,1.17,20,0.73,23,0.84,17,0.62,4,0.15,0,0.0,5,0.18,3,0.11,2,0.07,01021
1,28,491,45,9.16,42,8.55,37,7.54,42,8.55,29,5.91,31,6.31,1,0.2,2,0.41,3,0.61,2,0.41,0,0.0,5,1.02,3,0.61,2,0.41,1,0.2,2,0.41,3,0.61,3,0.61,7,1.43,8,1.63,2,0.41,7,1.43,6,1.22,5,1.02,2,0.41,1,0.2,0,0.0,1,0.2,0,0.0,1,0.2,01028
