ward,precinct,total,R. Cary Capparelli,R. Cary Capparelli Percent,Michelle Darbro,Michelle Darbro Percent,precinct_id
38,2,194,81,41.75,113,58.25,38002
38,7,56,28,50.0,28,50.0,38007
38,12,188,97,51.6,91,48.4,38012
38,17,60,17,28.33,43,71.67,38017
38,20,194,75,38.66,119,61.34,38020
38,24,1,0,0.0,1,100.0,38024
38,28,221,85,38.46,136,61.54,38028
41,1,224,75,33.48,149,66.52,41001
41,2,235,71,30.21,164,69.79,41002
41,3,121,45,37.19,76,62.81,41003
41,4,262,82,31.3,180,68.7,41004
41,5,285,73,25.61,212,74.39,41005
41,7,254,85,33.46,169,66.54,41007
41,8,252,60,23.81,192,76.19,41008
41,10,311,81,26.05,230,73.95,41010
41,11,280,97,34.64,183,65.36,41011
41,13,243,70,28.81,173,71.19,41013
41,15,301,94,31.23,207,68.77,41015
41,16,228,72,31.58,156,68.42,41016
41,17,233,87,37.34,146,62.66,41017
41,18,225,58,25.78,167,74.22,41018
41,20,161,57,35.4,104,64.6,41020
41,21,234,78,33.33,156,66.67,41021
41,22,297,89,29.97,208,70.03,41022
41,23,215,67,31.16,148,68.84,41023
41,25,122,40,32.79,82,67.21,41025
41,26,239,79,33.05,160,66.95,41026
41,27,126,54,42.86,72,57.14,41027
41,31,246,82,33.33,164,66.67,41031
41,33,221,70,31.67,151,68.33,41033
41,34,225,68,30.22,157,69.78,41034
41,35,317,101,31.86,216,68.14,41035
41,36,233,54,23.18,179,76.82,41036
41,37,269,78,29.0,191,71.0,41037
41,40,243,68,27.98,175,72.02,41040
41,41,216,51,23.61,165,76.39,41041
41,42,226,64,28.32,162,71.68,41042
41,43,216,47,21.76,169,78.24,41043
41,44,261,73,27.97,188,72.03,41044
41,45,226,70,30.97,156,69.03,41045
41,46,308,93,30.19,215,69.81,41046
