ward,precinct,total,Curtis J. Tarver II,Curtis J. Tarver II Percent,precinct_id
4,1,379,379,100.0,04001
4,5,349,349,100.0,04005
4,9,372,372,100.0,04009
4,10,388,388,100.0,04010
4,15,257,257,100.0,04015
4,22,286,286,100.0,04022
4,23,297,297,100.0,04023
4,27,379,379,100.0,04027
4,31,331,331,100.0,04031
4,34,202,202,100.0,04034
5,1,180,180,100.0,05001
5,3,261,261,100.0,05003
5,7,255,255,100.0,05007
5,8,298,298,100.0,05008
5,9,347,347,100.0,05009
5,11,263,263,100.0,05011
5,14,198,198,100.0,05014
5,17,108,108,100.0,05017
5,18,260,260,100.0,05018
5,19,249,249,100.0,05019
5,20,326,326,100.0,05020
5,21,167,167,100.0,05021
5,22,327,327,100.0,05022
5,23,421,421,100.0,05023
5,24,302,302,100.0,05024
5,25,249,249,100.0,05025
5,26,233,233,100.0,05026
5,27,281,281,100.0,05027
5,28,148,148,100.0,05028
5,29,255,255,100.0,05029
5,31,159,159,100.0,05031
5,32,282,282,100.0,05032
5,33,256,256,100.0,05033
5,34,315,315,100.0,05034
5,35,319,319,100.0,05035
5,37,308,308,100.0,05037
5,38,184,184,100.0,05038
5,39,212,212,100.0,05039
5,40,167,167,100.0,05040
5,41,139,139,100.0,05041
7,5,163,163,100.0,07005
7,6,243,243,100.0,07006
7,7,153,153,100.0,07007
7,8,113,113,100.0,07008
7,9,308,308,100.0,07009
7,11,158,158,100.0,07011
7,12,148,148,100.0,07012
7,13,120,120,100.0,07013
7,14,179,179,100.0,07014
7,16,101,101,100.0,07016
7,17,150,150,100.0,07017
7,18,124,124,100.0,07018
7,21,91,91,100.0,07021
7,22,131,131,100.0,07022
7,25,16,16,100.0,07025
7,32,167,167,100.0,07032
7,33,286,286,100.0,07033
7,34,259,259,100.0,07034
7,35,204,204,100.0,07035
7,37,178,178,100.0,07037
7,46,81,81,100.0,07046
10,1,142,142,100.0,10001
10,4,100,100,100.0,10004
10,6,112,112,100.0,10006
10,7,98,98,100.0,10007
10,8,73,73,100.0,10008
10,10,146,146,100.0,10010
10,11,202,202,100.0,10011
10,12,97,97,100.0,10012
10,14,190,190,100.0,10014
10,19,167,167,100.0,10019
10,20,178,178,100.0,10020
10,21,124,124,100.0,10021
10,22,90,90,100.0,10022
10,23,124,124,100.0,10023
10,25,42,42,100.0,10025
10,26,119,119,100.0,10026
10,28,184,184,100.0,10028
10,29,162,162,100.0,10029
10,30,131,131,100.0,10030
10,31,121,121,100.0,10031
10,32,145,145,100.0,10032
10,33,126,126,100.0,10033
10,34,34,34,100.0,10034
10,35,159,159,100.0,10035
10,36,32,32,100.0,10036
20,24,147,147,100.0,20024
20,26,190,190,100.0,20026
20,34,289,289,100.0,20034
