ward,precinct,total,Tim Egan,Tim Egan Percent,precinct_id
2,1,201,201,100.0,02001
2,2,151,151,100.0,02002
2,3,218,218,100.0,02003
2,4,203,203,100.0,02004
2,5,250,250,100.0,02005
2,6,193,193,100.0,02006
2,7,138,138,100.0,02007
2,8,211,211,100.0,02008
2,9,133,133,100.0,02009
2,10,119,119,100.0,02010
2,11,193,193,100.0,02011
2,12,200,200,100.0,02012
2,13,197,197,100.0,02013
2,14,259,259,100.0,02014
2,15,188,188,100.0,02015
2,16,208,208,100.0,02016
2,17,279,279,100.0,02017
2,18,191,191,100.0,02018
2,19,90,90,100.0,02019
2,20,207,207,100.0,02020
2,21,232,232,100.0,02021
2,22,211,211,100.0,02022
2,23,136,136,100.0,02023
2,24,163,163,100.0,02024
2,25,213,213,100.0,02025
2,26,164,164,100.0,02026
2,27,144,144,100.0,02027
2,28,192,192,100.0,02028
2,29,214,214,100.0,02029
2,30,169,169,100.0,02030
2,31,253,253,100.0,02031
2,32,133,133,100.0,02032
2,33,323,323,100.0,02033
2,34,181,181,100.0,02034
2,35,196,196,100.0,02035
2,36,175,175,100.0,02036
2,37,212,212,100.0,02037
2,38,157,157,100.0,02038
2,39,112,112,100.0,02039
2,40,174,174,100.0,02040
2,41,174,174,100.0,02041
2,42,179,179,100.0,02042
2,43,196,196,100.0,02043
2,44,129,129,100.0,02044
2,45,206,206,100.0,02045
2,46,119,119,100.0,02046
