ward,precinct,total,Ellen M. Hill,Ellen M. Hill Percent,James ''Jim'' Gardiner,James ''Jim'' Gardiner Percent,precinct_id
45,1,250,197,78.8,53,21.2,45001
45,2,254,179,70.47,75,29.53,45002
45,3,280,189,67.5,91,32.5,45003
45,4,345,237,68.7,108,31.3,45004
45,5,311,187,60.13,124,39.87,45005
45,6,410,291,70.98,119,29.02,45006
45,7,402,243,60.45,159,39.55,45007
45,8,246,164,66.67,82,33.33,45008
45,9,234,122,52.14,112,47.86,45009
45,10,254,122,48.03,132,51.97,45010
45,11,191,125,65.45,66,34.55,45011
45,12,205,125,60.98,80,39.02,45012
45,13,256,165,64.45,91,35.55,45013
45,14,343,183,53.35,160,46.65,45014
45,15,359,198,55.15,161,44.85,45015
45,16,213,114,53.52,99,46.48,45016
45,17,262,136,51.91,126,48.09,45017
45,18,225,81,36.0,144,64.0,45018
45,19,117,61,52.14,56,47.86,45019
45,20,151,69,45.7,82,54.3,45020
45,21,201,81,40.3,120,59.7,45021
45,22,157,63,40.13,94,59.87,45022
45,23,185,73,39.46,112,60.54,45023
45,24,160,49,30.63,111,69.38,45024
45,25,160,47,29.38,113,70.63,45025
45,26,101,35,34.65,66,65.35,45026
45,27,209,87,41.63,122,58.37,45027
45,28,145,71,48.97,74,51.03,45028
45,29,117,48,41.03,69,58.97,45029
45,30,199,112,56.28,87,43.72,45030
45,31,208,121,58.17,87,41.83,45031
45,32,219,102,46.58,117,53.42,45032
45,33,182,90,49.45,92,50.55,45033
45,34,268,117,43.66,151,56.34,45034
45,35,286,136,47.55,150,52.45,45035
45,36,284,111,39.08,173,60.92,45036
45,37,205,81,39.51,124,60.49,45037
45,38,227,86,37.89,141,62.11,45038
45,39,209,80,38.28,129,61.72,45039
45,40,187,57,30.48,130,69.52,45040
45,41,231,68,29.44,163,70.56,45041
45,42,265,67,25.28,198,74.72,45042
45,43,220,42,19.09,178,80.91,45043
45,44,281,68,24.2,213,75.8,45044
45,45,149,40,26.85,109,73.15,45045
45,46,151,43,28.48,108,71.52,45046
45,47,154,51,33.12,103,66.88,45047
45,48,158,53,33.54,105,66.46,45048
