ward,precinct,total,Ariel E. Reboyras,Ariel E. Reboyras Percent,Juan ''Johnny'' Elias,Juan ''Johnny'' Elias Percent,precinct_id
30,1,247,153,61.94,94,38.06,30001
30,2,198,128,64.65,70,35.35,30002
30,3,211,129,61.14,82,38.86,30003
30,4,197,110,55.84,87,44.16,30004
30,5,160,107,66.88,53,33.13,30005
30,6,217,162,74.65,55,25.35,30006
30,7,247,144,58.3,103,41.7,30007
30,8,307,181,58.96,126,41.04,30008
30,9,192,149,77.6,43,22.4,30009
30,10,221,154,69.68,67,30.32,30010
30,11,188,127,67.55,61,32.45,30011
30,12,171,113,66.08,58,33.92,30012
30,13,187,128,68.45,59,31.55,30013
30,14,145,99,68.28,46,31.72,30014
30,15,284,217,76.41,67,23.59,30015
30,16,104,71,68.27,33,31.73,30016
30,17,194,120,61.86,74,38.14,30017
30,18,280,159,56.79,121,43.21,30018
30,19,206,129,62.62,77,37.38,30019
30,20,249,158,63.45,91,36.55,30020
30,21,166,112,67.47,54,32.53,30021
30,22,320,189,59.06,131,40.94,30022
30,23,240,160,66.67,80,33.33,30023
30,24,328,192,58.54,136,41.46,30024
30,25,330,199,60.3,131,39.7,30025
30,26,134,80,59.7,54,40.3,30026
30,27,163,101,61.96,62,38.04,30027
30,28,251,155,61.75,96,38.25,30028
30,29,118,71,60.17,47,39.83,30029
30,30,94,59,62.77,35,37.23,30030
30,31,149,84,56.38,65,43.62,30031
30,32,214,140,65.42,74,34.58,30032
