ward,precinct,total,Jesse G Reyes,Jesse G Reyes Percent,"P. Scott Neville, Jr.","P. Scott Neville, Jr. Percent",Shelly A. Harris,Shelly A. Harris Percent,Cynthia Y. Cobbs,Cynthia Y. Cobbs Percent,Daniel Epstein,Daniel Epstein Percent,Nathaniel Roosevelt Howse,Nathaniel Roosevelt Howse Percent,precinct_id
1,1,302,74,24.5,87,28.81,29,9.6,22,7.28,50,16.56,9,2.98,01001
1,2,271,88,32.47,35,12.92,35,12.92,38,14.02,45,16.61,5,1.85,01002
1,3,299,60,20.07,100,33.44,23,7.69,37,12.37,35,11.71,11,3.68,01003
1,4,259,55,21.24,64,24.71,24,9.27,36,13.9,40,15.44,14,5.41,01004
1,5,265,44,16.6,91,34.34,25,9.43,39,14.72,35,13.21,6,2.26,01005
1,6,239,58,24.27,46,19.25,27,11.3,28,11.72,36,15.06,13,5.44,01006
1,7,222,63,28.38,43,19.37,13,5.86,23,10.36,27,12.16,11,4.95,01007
1,8,219,55,25.11,51,23.29,35,15.98,32,14.61,26,11.87,7,3.2,01008
1,9,215,68,31.63,34,15.81,21,9.77,33,15.35,37,17.21,7,3.26,01009
1,10,272,39,14.34,75,27.57,27,9.93,40,14.71,27,9.93,27,9.93,01010
1,11,295,41,13.9,85,28.81,28,9.49,52,17.63,48,16.27,7,2.37,01011
1,12,339,63,18.58,72,21.24,41,12.09,64,18.88,51,15.04,8,2.36,01012
1,13,140,38,27.14,29,20.71,10,7.14,18,12.86,21,15.0,4,2.86,01013
1,14,270,51,18.89,76,28.15,30,11.11,39,14.44,21,7.78,10,3.7,01014
1,15,219,57,26.03,34,15.53,19,8.68,33,15.07,46,21.0,3,1.37,01015
1,16,371,84,22.64,97,26.15,32,8.63,68,18.33,50,13.48,11,2.96,01016
1,17,283,66,23.32,64,22.61,29,10.25,32,11.31,56,19.79,14,4.95,01017
1,18,281,59,21.0,70,24.91,36,12.81,39,13.88,49,17.44,9,3.2,01018
1,19,294,64,21.77,85,28.91,20,6.8,31,10.54,44,14.97,21,7.14,01019
1,20,258,58,22.48,67,25.97,32,12.4,36,13.95,35,13.57,6,2.33,01020
1,21,340,51,15.0,91,26.76,47,13.82,53,15.59,36,10.59,9,2.65,01021
1,22,181,57,31.49,41,22.65,11,6.08,25,13.81,27,14.92,2,1.1,01022
1,23,454,109,24.01,117,25.77,27,5.95,66,14.54,79,17.4,20,4.41,01023
1,24,281,101,35.94,52,18.51,29,10.32,40,14.23,27,9.61,11,3.91,01024
1,25,263,59,22.43,51,19.39,33,12.55,44,16.73,45,17.11,3,1.14,01025
1,26,204,82,40.2,38,18.63,19,9.31,28,13.73,24,11.76,4,1.96,01026
1,27,310,67,21.61,86,27.74,16,5.16,54,17.42,33,10.65,13,4.19,01027
1,28,80,30,37.5,7,8.75,10,12.5,20,25.0,4,5.0,7,8.75,01028
1,29,356,67,18.82,91,25.56,45,12.64,36,10.11,56,15.73,23,6.46,01029
1,30,344,99,28.78,77,22.38,26,7.56,37,10.76,59,17.15,10,2.91,01030
1,31,201,46,22.89,38,18.91,28,13.93,20,9.95,41,20.4,4,1.99,01031
1,32,255,56,21.96,65,25.49,32,12.55,26,10.2,33,12.94,5,1.96,01032
1,33,300,53,17.67,63,21.0,32,10.67,51,17.0,39,13.0,10,3.33,01033
1,34,257,51,19.84,75,29.18,25,9.73,30,11.67,40,15.56,14,5.45,01034
1,35,316,60,18.99,79,25.0,36,11.39,45,14.24,47,14.87,16,5.06,01035
1,36,280,32,11.43,91,32.5,27,9.64,43,15.36,33,11.79,19,6.79,01036
1,37,229,48,20.96,62,27.07,27,11.79,28,12.23,24,10.48,11,4.8,01037
1,38,202,33,16.34,38,18.81,33,16.34,38,18.81,28,13.86,8,3.96,01038
1,39,195,46,23.59,47,24.1,19,9.74,22,11.28,27,13.85,8,4.1,01039
1,40,272,88,32.35,64,23.53,31,11.4,32,11.76,25,9.19,11,4.04,01040
1,41,194,49,25.26,37,19.07,20,10.31,28,14.43,32,16.49,9,4.64,01041
1,42,82,25,30.49,18,21.95,4,4.88,16,19.51,9,10.98,2,2.44,01042
1,43,179,48,26.82,38,21.23,12,6.7,25,13.97,28,15.64,5,2.79,01043
1,44,255,37,14.51,61,23.92,26,10.2,37,14.51,45,17.65,11,4.31,01044
2,1,269,45,16.73,75,27.88,20,7.43,43,15.99,37,13.75,12,4.46,02001
2,2,187,31,16.58,61,32.62,26,13.9,11,5.88,21,11.23,8,4.28,02002
2,3,290,43,14.83,98,33.79,22,7.59,43,14.83,27,9.31,17,5.86,02003
2,4,246,40,16.26,66,26.83,28,11.38,36,14.63,40,16.26,13,5.28,02004
2,5,305,58,19.02,88,28.85,26,8.52,60,19.67,33,10.82,8,2.62,02005
2,6,258,49,18.99,56,21.71,31,12.02,48,18.6,34,13.18,1,0.39,02006
2,7,182,37,20.33,55,30.22,18,9.89,29,15.93,22,12.09,5,2.75,02007
2,8,262,58,22.14,71,27.1,20,7.63,37,14.12,37,14.12,15,5.73,02008
2,9,168,14,8.33,50,29.76,24,14.29,21,12.5,20,11.9,8,4.76,02009
2,10,168,16,9.52,49,29.17,21,12.5,12,7.14,25,14.88,8,4.76,02010
2,11,245,26,10.61,69,28.16,33,13.47,17,6.94,25,10.2,15,6.12,02011
2,12,271,30,11.07,73,26.94,47,17.34,47,17.34,22,8.12,8,2.95,02012
2,13,252,32,12.7,77,30.56,31,12.3,19,7.54,29,11.51,8,3.17,02013
2,14,326,56,17.18,82,25.15,37,11.35,52,15.95,52,15.95,12,3.68,02014
2,15,244,34,13.93,80,32.79,26,10.66,26,10.66,37,15.16,10,4.1,02015
2,16,240,44,18.33,81,33.75,20,8.33,27,11.25,33,13.75,10,4.17,02016
2,17,343,37,10.79,106,30.9,33,9.62,47,13.7,49,14.29,18,5.25,02017
2,18,253,22,8.7,74,29.25,37,14.62,32,12.65,23,9.09,7,2.77,02018
2,19,120,18,15.0,42,35.0,10,8.33,7,5.83,19,15.83,6,5.0,02019
2,20,240,39,16.25,60,25.0,40,16.67,26,10.83,19,7.92,14,5.83,02020
2,21,298,32,10.74,91,30.54,31,10.4,40,13.42,43,14.43,13,4.36,02021
2,22,256,30,11.72,79,30.86,18,7.03,28,10.94,18,7.03,16,6.25,02022
2,23,184,12,6.52,61,33.15,21,11.41,9,4.89,33,17.93,6,3.26,02023
2,24,187,27,14.44,56,29.95,15,8.02,23,12.3,8,4.28,9,4.81,02024
2,25,281,63,22.42,72,25.62,23,8.19,36,12.81,30,10.68,10,3.56,02025
2,26,199,40,20.1,37,18.59,26,13.07,28,14.07,19,9.55,18,9.05,02026
2,27,195,25,12.82,56,28.72,23,11.79,23,11.79,26,13.33,9,4.62,02027
2,28,236,36,15.25,58,24.58,28,11.86,28,11.86,17,7.2,17,7.2,02028
