ward,precinct,total,Jacob Meister,Jacob Meister Percent,Iris Y. Martinez,Iris Y. Martinez Percent,Richard R. Boykin,Richard R. Boykin Percent,Michael M. Cabonargi,Michael M. Cabonargi Percent,precinct_id
1,1,278,78,28.06,126,45.32,35,12.59,39,14.03,01001
1,2,260,56,21.54,159,61.15,20,7.69,25,9.62,01002
1,3,290,63,21.72,126,43.45,41,14.14,60,20.69,01003
1,4,251,67,26.69,105,41.83,24,9.56,55,21.91,01004
1,5,272,68,25.0,94,34.56,41,15.07,69,25.37,01005
1,6,234,56,23.93,95,40.6,39,16.67,44,18.8,01006
1,7,201,53,26.37,98,48.76,17,8.46,33,16.42,01007
1,8,206,55,26.7,75,36.41,31,15.05,45,21.84,01008
1,9,197,65,32.99,96,48.73,16,8.12,20,10.15,01009
1,10,278,83,29.86,97,34.89,40,14.39,58,20.86,01010
1,11,290,87,30.0,109,37.59,40,13.79,54,18.62,01011
1,12,336,89,26.49,146,43.45,44,13.1,57,16.96,01012
1,13,134,43,32.09,71,52.99,8,5.97,12,8.96,01013
1,14,274,59,21.53,137,50.0,41,14.96,37,13.5,01014
1,15,207,48,23.19,106,51.21,18,8.7,35,16.91,01015
1,16,341,92,26.98,172,50.44,29,8.5,48,14.08,01016
1,17,262,96,36.64,113,43.13,21,8.02,32,12.21,01017
1,18,258,62,24.03,135,52.33,22,8.53,39,15.12,01018
1,19,296,75,25.34,143,48.31,31,10.47,47,15.88,01019
1,20,247,62,25.1,126,51.01,31,12.55,28,11.34,01020
1,21,327,79,24.16,136,41.59,43,13.15,69,21.1,01021
1,22,177,49,27.68,95,53.67,12,6.78,21,11.86,01022
1,23,421,137,32.54,189,44.89,40,9.5,55,13.06,01023
1,24,267,56,20.97,143,53.56,36,13.48,32,11.99,01024
1,25,247,73,29.55,127,51.42,24,9.72,23,9.31,01025
1,26,194,34,17.53,126,64.95,16,8.25,18,9.28,01026
1,27,291,76,26.12,121,41.58,40,13.75,54,18.56,01027
1,28,83,9,10.84,55,66.27,11,13.25,8,9.64,01028
1,29,320,98,30.63,128,40.0,40,12.5,54,16.88,01029
1,30,318,87,27.36,162,50.94,22,6.92,47,14.78,01030
1,31,192,55,28.65,91,47.4,22,11.46,24,12.5,01031
1,32,246,61,24.8,106,43.09,30,12.2,49,19.92,01032
1,33,300,79,26.33,116,38.67,29,9.67,76,25.33,01033
1,34,234,64,27.35,111,47.44,15,6.41,44,18.8,01034
