ward,precinct,total,Eileen Marie O'Connor,Eileen Marie O'Connor Percent,Cory Eli Oshita,Cory Eli Oshita Percent,Anthony Lucafo,Anthony Lucafo Percent,precinct_id
1,1,270,133,49.26,81,30.0,56,20.74,01001
1,2,244,127,52.05,73,29.92,44,18.03,01002
1,3,270,159,58.89,47,17.41,64,23.7,01003
1,4,226,137,60.62,43,19.03,46,20.35,01004
1,5,235,131,55.74,41,17.45,63,26.81,01005
1,6,216,110,50.93,34,15.74,72,33.33,01006
1,7,189,124,65.61,37,19.58,28,14.81,01007
1,8,183,103,56.28,36,19.67,44,24.04,01008
1,9,173,82,47.4,40,23.12,51,29.48,01009
1,10,254,166,65.35,34,13.39,54,21.26,01010
1,11,254,153,60.24,35,13.78,66,25.98,01011
1,12,293,177,60.41,53,18.09,63,21.5,01012
1,13,120,73,60.83,24,20.0,23,19.17,01013
1,14,233,139,59.66,40,17.17,54,23.18,01014
1,15,191,112,58.64,41,21.47,38,19.9,01015
1,16,318,186,58.49,67,21.07,65,20.44,01016
1,17,243,127,52.26,65,26.75,51,20.99,01017
1,18,224,131,58.48,50,22.32,43,19.2,01018
1,19,260,151,58.08,50,19.23,59,22.69,01019
1,20,243,133,54.73,77,31.69,33,13.58,01020
1,21,297,177,59.6,51,17.17,69,23.23,01021
1,22,148,89,60.14,28,18.92,31,20.95,01022
1,23,421,198,47.03,148,35.15,75,17.81,01023
1,24,249,154,61.85,52,20.88,43,17.27,01024
1,25,232,138,59.48,50,21.55,44,18.97,01025
1,26,166,91,54.82,40,24.1,35,21.08,01026
1,27,262,138,52.67,50,19.08,74,28.24,01027
1,28,72,41,56.94,18,25.0,13,18.06,01028
1,29,275,158,57.45,51,18.55,66,24.0,01029
1,30,294,159,54.08,77,26.19,58,19.73,01030
1,31,169,97,57.4,36,21.3,36,21.3,01031
1,32,221,131,59.28,42,19.0,48,21.72,01032
1,33,265,160,60.38,40,15.09,65,24.53,01033
1,34,216,126,58.33,35,16.2,55,25.46,01034
1,35,290,170,58.62,48,16.55,72,24.83,01035
1,36,245,155,63.27,42,17.14,48,19.59,01036
1,37,197,113,57.36,27,13.71,57,28.93,01037
1,38,178,110,61.8,35,19.66,33,18.54,01038
1,39,169,117,69.23,20,11.83,32,18.93,01039
1,40,242,147,60.74,46,19.01,49,20.25,01040
1,41,159,96,60.38,33,20.75,30,18.87,01041
1,42,70,48,68.57,15,21.43,7,10.0,01042
1,43,147,85,57.82,25,17.01,37,25.17,01043
1,44,212,115,54.25,57,26.89,40,18.87,01044
2,1,231,149,64.5,29,12.55,53,22.94,02001
2,3,249,145,58.23,41,16.47,63,25.3,02003
2,4,220,125,56.82,43,19.55,52,23.64,02004
2,5,270,160,59.26,38,14.07,72,26.67,02005
2,6,228,137,60.09,44,19.3,47,20.61,02006
2,7,156,92,58.97,22,14.1,42,26.92,02007
2,8,225,136,60.44,28,12.44,61,27.11,02008
2,14,302,166,54.97,75,24.83,61,20.2,02014
2,15,216,121,56.02,35,16.2,60,27.78,02015
