ward,precinct,total,Gregory I. Mitchell,Gregory I. Mitchell Percent,precinct_id
7,1,192,192,100.0,07001
7,2,169,169,100.0,07002
7,3,231,231,100.0,07003
7,4,203,203,100.0,07004
7,5,179,179,100.0,07005
7,6,260,260,100.0,07006
7,7,173,173,100.0,07007
7,8,118,118,100.0,07008
7,9,335,335,100.0,07009
7,10,228,228,100.0,07010
7,11,183,183,100.0,07011
7,12,164,164,100.0,07012
7,13,146,146,100.0,07013
7,14,184,184,100.0,07014
7,15,198,198,100.0,07015
7,16,146,146,100.0,07016
7,17,169,169,100.0,07017
7,18,144,144,100.0,07018
7,19,173,173,100.0,07019
7,20,137,137,100.0,07020
7,21,114,114,100.0,07021
7,22,155,155,100.0,07022
7,23,219,219,100.0,07023
7,24,148,148,100.0,07024
7,25,157,157,100.0,07025
7,26,171,171,100.0,07026
7,27,165,165,100.0,07027
7,28,125,125,100.0,07028
7,29,159,159,100.0,07029
7,30,124,124,100.0,07030
7,31,123,123,100.0,07031
7,32,317,317,100.0,07032
7,33,317,317,100.0,07033
7,34,273,273,100.0,07034
7,35,219,219,100.0,07035
7,36,262,262,100.0,07036
7,37,210,210,100.0,07037
7,38,166,166,100.0,07038
7,39,190,190,100.0,07039
7,40,193,193,100.0,07040
7,41,189,189,100.0,07041
7,42,178,178,100.0,07042
7,43,194,194,100.0,07043
7,44,162,162,100.0,07044
7,45,164,164,100.0,07045
7,46,86,86,100.0,07046
