ward,precinct,total,Krista D. Butler,Krista D. Butler Percent,precinct_id
5,12,64,64,100.0,05012
6,1,237,237,100.0,06001
6,2,265,265,100.0,06002
6,3,212,212,100.0,06003
6,4,138,138,100.0,06004
6,5,112,112,100.0,06005
6,6,231,231,100.0,06006
6,8,230,230,100.0,06008
6,10,116,116,100.0,06010
6,12,132,132,100.0,06012
6,13,164,164,100.0,06013
6,14,182,182,100.0,06014
6,15,10,10,100.0,06015
6,16,249,249,100.0,06016
6,17,117,117,100.0,06017
6,18,142,142,100.0,06018
6,19,149,149,100.0,06019
6,20,114,114,100.0,06020
6,21,6,6,100.0,06021
6,22,101,101,100.0,06022
6,25,88,88,100.0,06025
6,26,29,29,100.0,06026
6,27,98,98,100.0,06027
6,29,209,209,100.0,06029
6,30,16,16,100.0,06030
6,31,232,232,100.0,06031
6,33,192,192,100.0,06033
6,34,221,221,100.0,06034
6,35,206,206,100.0,06035
6,36,243,243,100.0,06036
6,37,231,231,100.0,06037
6,38,224,224,100.0,06038
6,39,134,134,100.0,06039
6,40,110,110,100.0,06040
6,41,222,222,100.0,06041
6,42,178,178,100.0,06042
6,43,172,172,100.0,06043
6,44,212,212,100.0,06044
6,45,232,232,100.0,06045
6,46,146,146,100.0,06046
6,47,143,143,100.0,06047
7,7,165,165,100.0,07007
7,10,217,217,100.0,07010
7,11,173,173,100.0,07011
7,12,147,147,100.0,07012
7,13,93,93,100.0,07013
7,14,182,182,100.0,07014
7,15,184,184,100.0,07015
7,16,137,137,100.0,07016
7,17,154,154,100.0,07017
7,18,123,123,100.0,07018
7,19,161,161,100.0,07019
7,20,122,122,100.0,07020
7,21,113,113,100.0,07021
7,22,149,149,100.0,07022
7,23,197,197,100.0,07023
7,24,134,134,100.0,07024
7,25,142,142,100.0,07025
7,26,152,152,100.0,07026
7,27,155,155,100.0,07027
7,28,113,113,100.0,07028
7,29,144,144,100.0,07029
7,30,116,116,100.0,07030
7,31,116,116,100.0,07031
7,32,279,279,100.0,07032
7,33,282,282,100.0,07033
7,34,247,247,100.0,07034
7,35,201,201,100.0,07035
7,36,239,239,100.0,07036
7,37,188,188,100.0,07037
7,38,159,159,100.0,07038
7,39,171,171,100.0,07039
7,40,180,180,100.0,07040
7,41,176,176,100.0,07041
7,42,158,158,100.0,07042
7,43,180,180,100.0,07043
7,44,146,146,100.0,07044
7,45,149,149,100.0,07045
7,46,83,83,100.0,07046
8,2,21,21,100.0,08002
8,3,259,259,100.0,08003
8,4,250,250,100.0,08004
8,5,236,236,100.0,08005
8,6,222,222,100.0,08006
8,7,239,239,100.0,08007
8,8,219,219,100.0,08008
8,9,153,153,100.0,08009
8,10,285,285,100.0,08010
8,11,134,134,100.0,08011
8,12,182,182,100.0,08012
8,13,201,201,100.0,08013
8,14,147,147,100.0,08014
8,15,180,180,100.0,08015
8,16,64,64,100.0,08016
