ward,precinct,total,Chris Taliaferro,Chris Taliaferro Percent,precinct_id
29,1,277,277,100.0,29001
29,2,247,247,100.0,29002
29,3,214,214,100.0,29003
29,4,247,247,100.0,29004
29,5,130,130,100.0,29005
29,6,125,125,100.0,29006
29,7,223,223,100.0,29007
29,8,168,168,100.0,29008
29,9,221,221,100.0,29009
29,10,276,276,100.0,29010
29,11,100,100,100.0,29011
29,12,275,275,100.0,29012
29,13,203,203,100.0,29013
29,14,192,192,100.0,29014
29,15,258,258,100.0,29015
29,16,159,159,100.0,29016
29,17,226,226,100.0,29017
29,18,179,179,100.0,29018
29,19,211,211,100.0,29019
29,20,202,202,100.0,29020
29,21,209,209,100.0,29021
29,22,146,146,100.0,29022
29,23,213,213,100.0,29023
29,24,172,172,100.0,29024
29,25,246,246,100.0,29025
29,26,191,191,100.0,29026
29,27,181,181,100.0,29027
29,28,261,261,100.0,29028
29,29,184,184,100.0,29029
29,30,226,226,100.0,29030
29,31,137,137,100.0,29031
29,32,152,152,100.0,29032
29,33,128,128,100.0,29033
29,34,149,149,100.0,29034
29,35,136,136,100.0,29035
29,36,216,216,100.0,29036
29,37,196,196,100.0,29037
29,38,178,178,100.0,29038
29,39,146,146,100.0,29039
29,40,238,238,100.0,29040
29,41,168,168,100.0,29041
29,42,227,227,100.0,29042
29,43,281,281,100.0,29043
29,44,232,232,100.0,29044
