ward,precinct,total,Jacqueline ''Jacqui'' Collins,Jacqueline ''Jacqui'' Collins Percent,precinct_id
6,4,147,147,100.0,06004
6,5,117,117,100.0,06005
6,6,235,235,100.0,06006
6,7,175,175,100.0,06007
6,9,160,160,100.0,06009
6,10,113,113,100.0,06010
6,11,178,178,100.0,06011
6,12,141,141,100.0,06012
6,15,35,35,100.0,06015
6,17,121,121,100.0,06017
6,18,150,150,100.0,06018
6,19,120,120,100.0,06019
6,20,111,111,100.0,06020
6,21,95,95,100.0,06021
6,22,114,114,100.0,06022
6,23,85,85,100.0,06023
6,24,100,100,100.0,06024
6,25,81,81,100.0,06025
6,26,114,114,100.0,06026
6,27,105,105,100.0,06027
6,28,39,39,100.0,06028
6,30,147,147,100.0,06030
6,32,188,188,100.0,06032
6,33,184,184,100.0,06033
6,40,174,174,100.0,06040
6,47,153,153,100.0,06047
6,48,185,185,100.0,06048
8,26,0,0,0.0,08026
15,7,33,33,100.0,15007
15,22,103,103,100.0,15022
16,6,86,86,100.0,16006
16,16,119,119,100.0,16016
16,24,77,77,100.0,16024
16,29,91,91,100.0,16029
16,30,44,44,100.0,16030
16,33,48,48,100.0,16033
17,1,55,55,100.0,17001
17,2,154,154,100.0,17002
17,3,150,150,100.0,17003
17,4,190,190,100.0,17004
17,5,106,106,100.0,17005
17,8,31,31,100.0,17008
17,9,130,130,100.0,17009
17,10,224,224,100.0,17010
17,11,119,119,100.0,17011
17,13,112,112,100.0,17013
17,15,180,180,100.0,17015
17,17,137,137,100.0,17017
17,18,199,199,100.0,17018
17,19,100,100,100.0,17019
17,20,237,237,100.0,17020
17,21,49,49,100.0,17021
17,22,132,132,100.0,17022
17,23,108,108,100.0,17023
17,24,190,190,100.0,17024
17,26,184,184,100.0,17026
17,27,178,178,100.0,17027
17,28,130,130,100.0,17028
17,29,121,121,100.0,17029
17,30,82,82,100.0,17030
17,31,105,105,100.0,17031
17,32,126,126,100.0,17032
17,33,78,78,100.0,17033
17,34,95,95,100.0,17034
17,35,85,85,100.0,17035
17,36,150,150,100.0,17036
17,37,165,165,100.0,17037
17,38,170,170,100.0,17038
17,39,178,178,100.0,17039
17,40,213,213,100.0,17040
17,41,235,235,100.0,17041
18,1,171,171,100.0,18001
18,2,163,163,100.0,18002
18,3,136,136,100.0,18003
18,4,239,239,100.0,18004
18,5,118,118,100.0,18005
18,6,173,173,100.0,18006
18,7,165,165,100.0,18007
18,8,218,218,100.0,18008
18,9,84,84,100.0,18009
18,10,309,309,100.0,18010
18,11,165,165,100.0,18011
18,12,164,164,100.0,18012
18,13,219,219,100.0,18013
18,14,220,220,100.0,18014
18,15,11,11,100.0,18015
18,16,191,191,100.0,18016
18,17,198,198,100.0,18017
18,18,178,178,100.0,18018
18,19,166,166,100.0,18019
18,20,149,149,100.0,18020
18,21,255,255,100.0,18021
18,22,251,251,100.0,18022
18,23,191,191,100.0,18023
18,24,142,142,100.0,18024
18,25,162,162,100.0,18025
18,26,208,208,100.0,18026
18,27,176,176,100.0,18027
18,28,163,163,100.0,18028
18,29,224,224,100.0,18029
18,30,202,202,100.0,18030
18,31,217,217,100.0,18031
18,32,11,11,100.0,18032
18,33,153,153,100.0,18033
18,35,242,242,100.0,18035
18,36,187,187,100.0,18036
18,37,260,260,100.0,18037
18,38,194,194,100.0,18038
18,39,136,136,100.0,18039
18,40,207,207,100.0,18040
18,41,252,252,100.0,18041
18,42,160,160,100.0,18042
18,43,10,10,100.0,18043
18,44,155,155,100.0,18044
18,45,161,161,100.0,18045
18,46,42,42,100.0,18046
18,47,143,143,100.0,18047
18,48,134,134,100.0,18048
18,49,105,105,100.0,18049
18,50,57,57,100.0,18050
20,8,44,44,100.0,20008
20,28,103,103,100.0,20028
21,2,26,26,100.0,21002
21,4,168,168,100.0,21004
21,13,15,15,100.0,21013
21,15,146,146,100.0,21015
21,17,30,30,100.0,21017
21,20,86,86,100.0,21020
21,26,147,147,100.0,21026
21,28,229,229,100.0,21028
21,30,144,144,100.0,21030
21,34,86,86,100.0,21034
21,43,141,141,100.0,21043
21,44,46,46,100.0,21044
21,47,167,167,100.0,21047
21,51,208,208,100.0,21051
21,52,149,149,100.0,21052
21,53,102,102,100.0,21053
21,54,160,160,100.0,21054
