ward,precinct,total,Theresa Mah,Theresa Mah Percent,Bobby Martinez Olson,Bobby Martinez Olson Percent,Kenneth M. Kozlar,Kenneth M. Kozlar Percent,precinct_id
11,1,323,215,66.56,83,25.7,25,7.74,11001
11,3,270,184,68.15,74,27.41,12,4.44,11003
11,4,223,149,66.82,58,26.01,16,7.17,11004
11,5,397,261,65.74,121,30.48,15,3.78,11005
11,8,252,155,61.51,85,33.73,12,4.76,11008
11,9,253,171,67.59,69,27.27,13,5.14,11009
11,10,271,188,69.37,73,26.94,10,3.69,11010
11,11,255,164,64.31,77,30.2,14,5.49,11011
11,14,207,147,71.01,45,21.74,15,7.25,11014
11,15,109,67,61.47,32,29.36,10,9.17,11015
11,16,196,115,58.67,61,31.12,20,10.2,11016
11,17,397,216,54.41,164,41.31,17,4.28,11017
11,18,247,120,48.58,111,44.94,16,6.48,11018
11,19,370,254,68.65,98,26.49,18,4.86,11019
11,20,209,102,48.8,90,43.06,17,8.13,11020
11,22,356,228,64.04,80,22.47,48,13.48,11022
11,23,204,106,51.96,86,42.16,12,5.88,11023
11,25,344,239,69.48,84,24.42,21,6.1,11025
11,26,339,198,58.41,121,35.69,20,5.9,11026
11,27,99,76,76.77,20,20.2,3,3.03,11027
11,30,167,115,68.86,38,22.75,14,8.38,11030
11,36,101,67,66.34,25,24.75,9,8.91,11036
11,37,89,75,84.27,10,11.24,4,4.49,11037
11,38,134,119,88.81,14,10.45,1,0.75,11038
12,1,279,189,67.74,86,30.82,4,1.43,12001
12,3,373,269,72.12,90,24.13,14,3.75,12003
12,4,306,219,71.57,74,24.18,13,4.25,12004
12,5,240,172,71.67,58,24.17,10,4.17,12005
12,6,17,9,52.94,5,29.41,3,17.65,12006
12,8,299,216,72.24,67,22.41,16,5.35,12008
12,9,230,163,70.87,59,25.65,8,3.48,12009
12,13,199,126,63.32,59,29.65,14,7.04,12013
12,17,108,74,68.52,29,26.85,5,4.63,12017
12,19,238,147,61.76,86,36.13,5,2.1,12019
12,21,234,173,73.93,53,22.65,8,3.42,12021
12,23,298,207,69.46,80,26.85,11,3.69,12023
15,5,132,88,66.67,37,28.03,7,5.3,15005
15,9,202,116,57.43,74,36.63,12,5.94,15009
15,13,145,90,62.07,47,32.41,8,5.52,15013
15,14,159,92,57.86,60,37.74,7,4.4,15014
15,15,167,106,63.47,50,29.94,11,6.59,15015
20,20,41,18,43.9,19,46.34,4,9.76,20020
25,1,241,140,58.09,91,37.76,10,4.15,25001
25,2,345,264,76.52,73,21.16,8,2.32,25002
25,5,318,208,65.41,103,32.39,7,2.2,25005
25,6,108,76,70.37,29,26.85,3,2.78,25006
25,7,290,217,74.83,70,24.14,3,1.03,25007
25,8,325,220,67.69,97,29.85,8,2.46,25008
25,9,264,192,72.73,61,23.11,11,4.17,25009
25,11,322,219,68.01,93,28.88,10,3.11,25011
25,12,291,210,72.16,71,24.4,10,3.44,25012
25,13,314,206,65.61,97,30.89,11,3.5,25013
25,14,228,191,83.77,27,11.84,10,4.39,25014
25,15,245,163,66.53,77,31.43,5,2.04,25015
25,17,283,215,75.97,61,21.55,7,2.47,25017
25,18,253,149,58.89,98,38.74,6,2.37,25018
25,19,304,214,70.39,81,26.64,9,2.96,25019
25,22,284,207,72.89,70,24.65,7,2.46,25022
25,23,336,239,71.13,84,25.0,13,3.87,25023
25,24,296,216,72.97,69,23.31,11,3.72,25024
25,26,298,182,61.07,103,34.56,13,4.36,25026
25,27,30,23,76.67,5,16.67,2,6.67,25027
25,28,333,245,73.57,79,23.72,9,2.7,25028
25,30,293,193,65.87,91,31.06,9,3.07,25030
25,32,243,186,76.54,46,18.93,11,4.53,25032
28,19,0,0,0.0,0,0.0,0,0.0,28019
