ward,precinct,total,Steve Hagerty (Pete Buttigieg),Steve Hagerty (Pete Buttigieg) Percent,Markus Pitchford (Pete Buttigieg),Markus Pitchford (Pete Buttigieg) Percent,Greg Schweizer (Pete Buttigieg),Greg Schweizer (Pete Buttigieg) Percent,Debra Shore (Pete Buttigieg),Debra Shore (Pete Buttigieg) Percent,Carolyn Townsend (Bernie Sanders),Carolyn Townsend (Bernie Sanders) Percent,Cortney Ritsema (Bernie Sanders),Cortney Ritsema (Bernie Sanders) Percent,Margaret ''Meg'' Welch (Bernie Sanders,Margaret ''Meg'' Welch (Bernie Sanders Percent,Michelle L. Oxman (Bernie Sanders),Michelle L. Oxman (Bernie Sanders) Percent,Amarzaya Makhbal (Bernie Sanders),Amarzaya Makhbal (Bernie Sanders) Percent,Anub Abraham (Bernie Sanders),Anub Abraham (Bernie Sanders) Percent,Michael J. Harrington (Bernie Sanders),Michael J. Harrington (Bernie Sanders) Percent,Ryan McIntyre (Bernie Sanders),Ryan McIntyre (Bernie Sanders) Percent,Janice Berman-Krautwald (Andrew Yang),Janice Berman-Krautwald (Andrew Yang) Percent,John Lee Bingham (Andrew Yang),John Lee Bingham (Andrew Yang) Percent,Molly Bosi (Andrew Yang),Molly Bosi (Andrew Yang) Percent,Chase Rawlins (Andrew Yang),Chase Rawlins (Andrew Yang) Percent,Vasilios Stefanis (Andrew Yang),Vasilios Stefanis (Andrew Yang) Percent,Daniel Biss (Elizabeth Warren),Daniel Biss (Elizabeth Warren) Percent,Josina Morita (Elizabeth Warren),Josina Morita (Elizabeth Warren) Percent,Daniel J. Montgomery (Elizabeth Warren,Daniel J. Montgomery (Elizabeth Warren Percent,Ilya Sheyman (Elizabeth Warren),Ilya Sheyman (Elizabeth Warren) Percent,Miguel Moreno (Elizabeth Warren),Miguel Moreno (Elizabeth Warren) Percent,Leo Smith (Elizabeth Warren),Leo Smith (Elizabeth Warren) Percent,Leni Manaa-Hoppenworth (Elizabeth Warr,Leni Manaa-Hoppenworth (Elizabeth Warr Percent,Marcia Blumenthal Fields (Joseph R. Bi,Marcia Blumenthal Fields (Joseph R. Bi Percent,Jane Hannemann (Amy J. Klobuchar),Jane Hannemann (Amy J. Klobuchar) Percent,Joe Shepherd (Amy J. Klobuchar),Joe Shepherd (Amy J. Klobuchar) Percent,John Fitzgerald (Amy J. Klobuchar),John Fitzgerald (Amy J. Klobuchar) Percent,Hope R. Green (Amy J. Klobuchar),Hope R. Green (Amy J. Klobuchar) Percent,Catherine Marquis (Amy J. Klobuchar),Catherine Marquis (Amy J. Klobuchar) Percent,Christie Ann Hefner (Amy J. Klobuchar),Christie Ann Hefner (Amy J. Klobuchar) Percent,Jacob (Jake) Riley (Amy J. Klobuchar),Jacob (Jake) Riley (Amy J. Klobuchar) Percent,precinct_id
40,4,1010,5,0.5,4,0.4,8,0.79,10,0.99,65,6.44,60,5.94,63,6.24,61,6.04,62,6.14,61,6.04,59,5.84,53,5.25,5,0.5,5,0.5,2,0.2,4,0.4,4,0.4,16,1.58,10,0.99,12,1.19,8,0.79,11,1.09,7,0.69,10,0.99,56,5.54,8,0.79,2,0.2,9,0.89,3,0.3,2,0.2,3,0.3,3,0.3,40004
40,9,1339,12,0.9,7,0.52,7,0.52,19,1.42,91,6.8,84,6.27,94,7.02,90,6.72,84,6.27,78,5.83,77,5.75,76,5.68,9,0.67,2,0.15,5,0.37,5,0.37,3,0.22,15,1.12,15,1.12,14,1.05,11,0.82,26,1.94,13,0.97,16,1.19,63,4.71,13,0.97,4,0.3,7,0.52,3,0.22,5,0.37,2,0.15,2,0.15,40009
40,10,1372,14,1.02,12,0.87,9,0.66,13,0.95,103,7.51,101,7.36,100,7.29,95,6.92,103,7.51,99,7.22,100,7.29,80,5.83,6,0.44,4,0.29,7,0.51,2,0.15,6,0.44,20,1.46,19,1.38,14,1.02,15,1.09,22,1.6,17,1.24,18,1.31,51,3.72,9,0.66,1,0.07,1,0.07,2,0.15,6,0.44,3,0.22,1,0.07,40010
40,18,1580,22,1.39,15,0.95,14,0.89,24,1.52,95,6.01,94,5.95,98,6.2,92,5.82,89,5.63,87,5.51,86,5.44,78,4.94,9,0.57,15,0.95,10,0.63,11,0.7,9,0.57,21,1.33,23,1.46,15,0.95,20,1.27,20,1.27,20,1.27,22,1.39,73,4.62,19,1.2,10,0.63,13,0.82,8,0.51,12,0.76,7,0.44,8,0.51,40018
40,22,2745,42,1.53,33,1.2,31,1.13,45,1.64,172,6.27,161,5.87,155,5.65,166,6.05,167,6.08,164,5.97,153,5.57,139,5.06,5,0.18,5,0.18,7,0.26,4,0.15,5,0.18,33,1.2,34,1.24,34,1.24,43,1.57,39,1.42,36,1.31,47,1.71,146,5.32,19,0.69,3,0.11,3,0.11,7,0.26,5,0.18,7,0.26,2,0.07,40022
40,25,551,5,0.91,3,0.54,2,0.36,6,1.09,37,6.72,37,6.72,40,7.26,42,7.62,36,6.53,34,6.17,33,5.99,30,5.44,0,0.0,0,0.0,1,0.18,0,0.0,0,0.0,12,2.18,12,2.18,8,1.45,10,1.81,9,1.63,6,1.09,10,1.81,26,4.72,5,0.91,1,0.18,1,0.18,2,0.36,1,0.18,1,0.18,2,0.36,40025
40,26,2974,37,1.24,26,0.87,21,0.71,35,1.18,201,6.76,191,6.42,195,6.56,194,6.52,194,6.52,186,6.25,181,6.09,172,5.78,9,0.3,1,0.03,9,0.3,3,0.1,8,0.27,35,1.18,34,1.14,35,1.18,42,1.41,38,1.28,32,1.08,40,1.34,137,4.61,14,0.47,5,0.17,9,0.3,9,0.3,6,0.2,7,0.24,8,0.27,40026
40,27,2941,31,1.05,29,0.99,22,0.75,25,0.85,214,7.28,205,6.97,211,7.17,205,6.97,197,6.7,188,6.39,188,6.39,171,5.81,14,0.48,9,0.31,8,0.27,8,0.27,10,0.34,48,1.63,51,1.73,43,1.46,42,1.43,46,1.56,35,1.19,40,1.36,118,4.01,14,0.48,2,0.07,4,0.14,6,0.2,5,0.17,7,0.24,4,0.14,40027
40,28,2640,23,0.87,22,0.83,16,0.61,21,0.8,186,7.05,182,6.89,189,7.16,189,7.16,185,7.01,180,6.82,178,6.74,165,6.25,10,0.38,5,0.19,7,0.27,5,0.19,8,0.3,39,1.48,36,1.36,32,1.21,35,1.33,40,1.52,26,0.98,32,1.21,109,4.13,13,0.49,1,0.04,2,0.08,5,0.19,6,0.23,4,0.15,1,0.04,40028
40,31,2431,31,1.28,24,0.99,18,0.74,26,1.07,152,6.25,146,6.01,151,6.21,156,6.42,146,6.01,144,5.92,143,5.88,136,5.59,9,0.37,7,0.29,9,0.37,6,0.25,8,0.33,43,1.77,38,1.56,29,1.19,33,1.36,36,1.48,26,1.07,37,1.52,120,4.94,21,0.86,2,0.08,3,0.12,14,0.58,10,0.41,9,0.37,3,0.12,40031
