ward,precinct,total,Pat Dowell,Pat Dowell Percent,precinct_id
3,1,327,327,100.0,03001
3,2,377,377,100.0,03002
3,3,160,160,100.0,03003
3,4,329,329,100.0,03004
3,5,151,151,100.0,03005
3,6,324,324,100.0,03006
3,7,200,200,100.0,03007
3,8,181,181,100.0,03008
3,9,320,320,100.0,03009
3,10,107,107,100.0,03010
3,11,242,242,100.0,03011
3,12,290,290,100.0,03012
3,13,334,334,100.0,03013
3,14,289,289,100.0,03014
3,15,217,217,100.0,03015
3,16,211,211,100.0,03016
3,17,354,354,100.0,03017
3,18,356,356,100.0,03018
3,19,276,276,100.0,03019
3,20,296,296,100.0,03020
3,21,296,296,100.0,03021
3,22,324,324,100.0,03022
3,23,197,197,100.0,03023
3,24,208,208,100.0,03024
3,25,408,408,100.0,03025
3,26,328,328,100.0,03026
3,27,325,325,100.0,03027
3,28,188,188,100.0,03028
3,29,249,249,100.0,03029
3,30,218,218,100.0,03030
3,31,295,295,100.0,03031
3,32,323,323,100.0,03032
3,33,308,308,100.0,03033
3,34,344,344,100.0,03034
3,35,131,131,100.0,03035
3,36,110,110,100.0,03036
3,37,242,242,100.0,03037
3,38,245,245,100.0,03038
3,39,328,328,100.0,03039
3,40,215,215,100.0,03040
3,41,216,216,100.0,03041
