ward,precinct,total,Delia C. Ramirez,Delia C. Ramirez Percent,precinct_id
1,1,283,283,100.0,01001
1,3,293,293,100.0,01003
1,4,275,275,100.0,01004
1,5,271,271,100.0,01005
1,6,212,212,100.0,01006
1,8,73,73,100.0,01008
1,10,305,305,100.0,01010
1,11,248,248,100.0,01011
1,14,241,241,100.0,01014
1,15,194,194,100.0,01015
1,17,225,225,100.0,01017
1,18,247,247,100.0,01018
1,20,252,252,100.0,01020
1,21,316,316,100.0,01021
1,22,165,165,100.0,01022
1,24,245,245,100.0,01024
1,25,240,240,100.0,01025
1,26,147,147,100.0,01026
1,27,285,285,100.0,01027
1,29,330,330,100.0,01029
1,30,309,309,100.0,01030
1,31,172,172,100.0,01031
1,32,175,175,100.0,01032
1,33,275,275,100.0,01033
1,35,321,321,100.0,01035
1,36,300,300,100.0,01036
1,37,168,168,100.0,01037
1,38,198,198,100.0,01038
1,39,202,202,100.0,01039
1,40,254,254,100.0,01040
1,44,234,234,100.0,01044
2,1,96,96,100.0,02001
2,3,286,286,100.0,02003
2,4,247,247,100.0,02004
2,5,307,307,100.0,02005
2,14,297,297,100.0,02014
2,15,34,34,100.0,02015
2,16,248,248,100.0,02016
2,17,55,55,100.0,02017
2,21,284,284,100.0,02021
26,1,191,191,100.0,26001
26,2,149,149,100.0,26002
26,3,183,183,100.0,26003
26,4,89,89,100.0,26004
26,5,173,173,100.0,26005
26,6,144,144,100.0,26006
26,8,89,89,100.0,26008
26,9,122,122,100.0,26009
26,10,154,154,100.0,26010
26,11,157,157,100.0,26011
26,12,177,177,100.0,26012
26,13,77,77,100.0,26013
26,14,142,142,100.0,26014
26,15,84,84,100.0,26015
26,16,61,61,100.0,26016
26,18,71,71,100.0,26018
26,19,43,43,100.0,26019
26,20,169,169,100.0,26020
26,21,193,193,100.0,26021
26,22,75,75,100.0,26022
26,23,137,137,100.0,26023
26,24,96,96,100.0,26024
26,25,121,121,100.0,26025
26,26,121,121,100.0,26026
26,27,173,173,100.0,26027
26,28,66,66,100.0,26028
26,29,78,78,100.0,26029
26,30,140,140,100.0,26030
26,31,74,74,100.0,26031
26,32,200,200,100.0,26032
26,33,210,210,100.0,26033
26,34,5,5,100.0,26034
26,35,141,141,100.0,26035
26,36,150,150,100.0,26036
26,38,58,58,100.0,26038
26,39,189,189,100.0,26039
26,40,122,122,100.0,26040
26,41,181,181,100.0,26041
26,42,135,135,100.0,26042
26,43,93,93,100.0,26043
26,44,52,52,100.0,26044
26,45,63,63,100.0,26045
26,47,88,88,100.0,26047
26,48,184,184,100.0,26048
26,49,74,74,100.0,26049
27,5,7,7,100.0,27005
27,7,289,289,100.0,27007
27,13,75,75,100.0,27013
27,24,10,10,100.0,27024
27,27,12,12,100.0,27027
27,40,10,10,100.0,27040
27,43,4,4,100.0,27043
31,4,46,46,100.0,31004
31,16,51,51,100.0,31016
35,3,150,150,100.0,35003
35,12,132,132,100.0,35012
35,13,122,122,100.0,35013
35,16,101,101,100.0,35016
35,19,29,29,100.0,35019
35,21,207,207,100.0,35021
36,12,16,16,100.0,36012
37,12,72,72,100.0,37012
37,22,0,0,0.0,37022
