ward,precinct,total,Kim Foxx,Kim Foxx Percent,Bill Conway,Bill Conway Percent,Donna More,Donna More Percent,Bob Fioretti,Bob Fioretti Percent,precinct_id
1,1,345,202,58.55,75,21.74,54,15.65,14,4.06,01001
1,2,282,159,56.38,66,23.4,40,14.18,17,6.03,01002
1,3,345,167,48.41,101,29.28,54,15.65,23,6.67,01003
1,4,314,140,44.59,108,34.39,55,17.52,11,3.5,01004
1,5,309,169,54.69,69,22.33,54,17.48,17,5.5,01005
1,6,268,130,48.51,92,34.33,32,11.94,14,5.22,01006
1,7,233,118,50.64,63,27.04,40,17.17,12,5.15,01007
1,8,243,134,55.14,69,28.4,29,11.93,11,4.53,01008
1,9,222,120,54.05,57,25.68,26,11.71,19,8.56,01009
1,10,328,157,47.87,102,31.1,53,16.16,16,4.88,01010
1,11,344,171,49.71,95,27.62,65,18.9,13,3.78,01011
1,12,395,231,58.48,87,22.03,58,14.68,19,4.81,01012
1,13,148,76,51.35,47,31.76,21,14.19,4,2.7,01013
1,14,314,152,48.41,85,27.07,58,18.47,19,6.05,01014
1,15,234,142,60.68,46,19.66,35,14.96,11,4.7,01015
1,16,374,210,56.15,107,28.61,43,11.5,14,3.74,01016
1,17,306,192,62.75,62,20.26,36,11.76,16,5.23,01017
1,18,299,187,62.54,51,17.06,50,16.72,11,3.68,01018
1,19,328,189,57.62,66,20.12,54,16.46,19,5.79,01019
1,20,281,174,61.92,62,22.06,36,12.81,9,3.2,01020
1,21,385,208,54.03,100,25.97,53,13.77,24,6.23,01021
1,22,205,108,52.68,61,29.76,29,14.15,7,3.41,01022
1,23,478,290,60.67,101,21.13,72,15.06,15,3.14,01023
1,24,305,189,61.97,58,19.02,39,12.79,19,6.23,01024
1,25,289,164,56.75,68,23.53,41,14.19,16,5.54,01025
1,26,224,131,58.48,47,20.98,37,16.52,9,4.02,01026
1,27,325,163,50.15,76,23.38,76,23.38,10,3.08,01027
1,28,88,53,60.23,25,28.41,8,9.09,2,2.27,01028
1,29,390,209,53.59,99,25.38,68,17.44,14,3.59,01029
1,30,375,219,58.4,83,22.13,48,12.8,25,6.67,01030
1,31,214,110,51.4,57,26.64,44,20.56,3,1.4,01031
1,32,288,147,51.04,81,28.13,46,15.97,14,4.86,01032
1,33,347,157,45.24,121,34.87,56,16.14,13,3.75,01033
1,34,271,164,60.52,48,17.71,51,18.82,8,2.95,01034
1,35,339,154,45.43,113,33.33,53,15.63,19,5.6,01035
1,36,325,158,48.62,93,28.62,55,16.92,19,5.85,01036
1,37,262,112,42.75,76,29.01,57,21.76,17,6.49,01037
1,38,233,120,51.5,63,27.04,38,16.31,12,5.15,01038
1,39,226,110,48.67,63,27.88,42,18.58,11,4.87,01039
1,40,303,149,49.17,101,33.33,36,11.88,17,5.61,01040
1,41,203,126,62.07,35,17.24,35,17.24,7,3.45,01041
1,42,86,46,53.49,16,18.6,16,18.6,8,9.3,01042
1,43,188,88,46.81,49,26.06,39,20.74,12,6.38,01043
1,44,272,170,62.5,57,20.96,35,12.87,10,3.68,01044
2,1,300,148,49.33,85,28.33,49,16.33,18,6.0,02001
