ward,precinct,total,Jason C. Ervin,Jason C. Ervin Percent,precinct_id
28,1,100,100,100.0,28001
28,2,137,137,100.0,28002
28,3,127,127,100.0,28003
28,4,112,112,100.0,28004
28,5,124,124,100.0,28005
28,6,66,66,100.0,28006
28,7,147,147,100.0,28007
28,8,129,129,100.0,28008
28,9,142,142,100.0,28009
28,10,183,183,100.0,28010
28,11,318,318,100.0,28011
28,12,137,137,100.0,28012
28,13,179,179,100.0,28013
28,14,147,147,100.0,28014
28,15,39,39,100.0,28015
28,16,80,80,100.0,28016
28,17,133,133,100.0,28017
28,18,131,131,100.0,28018
28,19,127,127,100.0,28019
28,20,137,137,100.0,28020
28,21,142,142,100.0,28021
28,22,154,154,100.0,28022
28,23,194,194,100.0,28023
28,24,128,128,100.0,28024
28,25,246,246,100.0,28025
28,26,142,142,100.0,28026
28,27,141,141,100.0,28027
28,28,203,203,100.0,28028
28,29,72,72,100.0,28029
28,30,31,31,100.0,28030
28,31,223,223,100.0,28031
28,32,156,156,100.0,28032
28,33,168,168,100.0,28033
28,34,243,243,100.0,28034
28,35,140,140,100.0,28035
28,36,87,87,100.0,28036
28,37,189,189,100.0,28037
28,38,50,50,100.0,28038
28,39,107,107,100.0,28039
28,40,227,227,100.0,28040
28,41,116,116,100.0,28041
28,42,145,145,100.0,28042
28,43,174,174,100.0,28043
28,44,119,119,100.0,28044
28,45,154,154,100.0,28045
28,46,267,267,100.0,28046
