ward,precinct,total,Roderick T. Sawyer,Roderick T. Sawyer Percent,precinct_id
6,1,272,272,100.0,06001
6,2,283,283,100.0,06002
6,3,255,255,100.0,06003
6,4,149,149,100.0,06004
6,5,118,118,100.0,06005
6,6,249,249,100.0,06006
6,7,196,196,100.0,06007
6,8,241,241,100.0,06008
6,9,173,173,100.0,06009
6,10,120,120,100.0,06010
6,11,185,185,100.0,06011
6,12,143,143,100.0,06012
6,13,167,167,100.0,06013
6,14,199,199,100.0,06014
6,15,150,150,100.0,06015
6,16,274,274,100.0,06016
6,17,122,122,100.0,06017
6,18,167,167,100.0,06018
6,19,155,155,100.0,06019
6,20,118,118,100.0,06020
6,21,89,89,100.0,06021
6,22,119,119,100.0,06022
6,23,78,78,100.0,06023
6,24,102,102,100.0,06024
6,25,91,91,100.0,06025
6,26,126,126,100.0,06026
6,27,106,106,100.0,06027
6,28,93,93,100.0,06028
6,29,237,237,100.0,06029
6,30,156,156,100.0,06030
6,31,246,246,100.0,06031
6,32,206,206,100.0,06032
6,33,211,211,100.0,06033
6,34,232,232,100.0,06034
6,35,217,217,100.0,06035
6,36,275,275,100.0,06036
6,37,257,257,100.0,06037
6,38,258,258,100.0,06038
6,39,158,158,100.0,06039
6,40,187,187,100.0,06040
6,41,243,243,100.0,06041
6,42,192,192,100.0,06042
6,43,194,194,100.0,06043
6,44,245,245,100.0,06044
6,45,258,258,100.0,06045
6,46,151,151,100.0,06046
6,47,155,155,100.0,06047
6,48,206,206,100.0,06048
