ward,precinct,total,Maggie O'Keefe,Maggie O'Keefe Percent,Andre Vasquez,Andre Vasquez Percent,precinct_id
40,1,218,122,55.96,96,44.04,40001
40,2,230,140,60.87,90,39.13,40002
40,3,374,225,60.16,149,39.84,40003
40,4,130,64,49.23,66,50.77,40004
40,5,295,166,56.27,129,43.73,40005
40,6,408,238,58.33,170,41.67,40006
40,7,312,191,61.22,121,38.78,40007
40,8,420,232,55.24,188,44.76,40008
40,9,194,79,40.72,115,59.28,40009
40,10,239,105,43.93,134,56.07,40010
40,11,340,165,48.53,175,51.47,40011
40,12,266,143,53.76,123,46.24,40012
40,13,536,270,50.37,266,49.63,40013
40,14,208,115,55.29,93,44.71,40014
40,15,227,122,53.74,105,46.26,40015
40,16,437,231,52.86,206,47.14,40016
40,17,258,171,66.28,87,33.72,40017
40,18,186,88,47.31,98,52.69,40018
40,19,311,130,41.8,181,58.2,40019
40,20,218,102,46.79,116,53.21,40020
40,21,379,244,64.38,135,35.62,40021
40,22,358,190,53.07,168,46.93,40022
40,23,435,199,45.75,236,54.25,40023
40,24,211,114,54.03,97,45.97,40024
40,25,395,220,55.7,175,44.3,40025
40,26,391,186,47.57,205,52.43,40026
40,27,378,165,43.65,213,56.35,40027
40,28,338,160,47.34,178,52.66,40028
40,29,300,202,67.33,98,32.67,40029
40,30,251,136,54.18,115,45.82,40030
40,31,400,206,51.5,194,48.5,40031
40,32,385,222,57.66,163,42.34,40032
40,33,347,171,49.28,176,50.72,40033
40,34,230,130,56.52,100,43.48,40034
40,35,123,54,43.9,69,56.1,40035
40,36,287,128,44.6,159,55.4,40036
40,37,281,140,49.82,141,50.18,40037
40,38,417,253,60.67,164,39.33,40038
40,39,68,22,32.35,46,67.65,40039
