ward,precinct,total,"Edgar Gonzalez, Jr.","Edgar Gonzalez, Jr. Percent",precinct_id
12,2,157,157,100.0,12002
12,6,192,192,100.0,12006
12,7,196,196,100.0,12007
12,10,202,202,100.0,12010
12,11,215,215,100.0,12011
12,12,188,188,100.0,12012
12,13,26,26,100.0,12013
12,14,177,177,100.0,12014
12,15,167,167,100.0,12015
12,16,151,151,100.0,12016
12,17,114,114,100.0,12017
12,18,140,140,100.0,12018
12,20,184,184,100.0,12020
12,22,193,193,100.0,12022
14,1,24,24,100.0,14001
15,6,167,167,100.0,15006
15,9,4,4,100.0,15009
15,10,116,116,100.0,15010
15,11,84,84,100.0,15011
15,12,20,20,100.0,15012
22,4,111,111,100.0,22004
22,5,3,3,100.0,22005
22,7,103,103,100.0,22007
22,10,231,231,100.0,22010
22,13,103,103,100.0,22013
22,14,159,159,100.0,22014
22,15,99,99,100.0,22015
22,16,127,127,100.0,22016
22,17,34,34,100.0,22017
22,18,65,65,100.0,22018
22,19,1,1,100.0,22019
22,22,147,147,100.0,22022
23,1,51,51,100.0,23001
23,12,148,148,100.0,23012
23,16,149,149,100.0,23016
23,21,174,174,100.0,23021
23,27,149,149,100.0,23027
23,36,128,128,100.0,23036
23,37,106,106,100.0,23037
24,16,344,344,100.0,24016
