ward,precinct,total,Lauren Brougham Glennon,Lauren Brougham Glennon Percent,Regina Ann Mescall,Regina Ann Mescall Percent,James John Knibbs,James John Knibbs Percent,"Thomas J. Condon, Jr.","Thomas J. Condon, Jr. Percent",Brad S. Telander,Brad S. Telander Percent,Scott Edward Lipinski,Scott Edward Lipinski Percent,precinct_id
13,1,171,47,27.49,28,16.37,4,2.34,11,6.43,3,1.75,34,19.88,13001
13,2,166,33,19.88,26,15.66,9,5.42,11,6.63,3,1.81,21,12.65,13002
13,3,170,26,15.29,41,24.12,8,4.71,13,7.65,6,3.53,39,22.94,13003
13,4,185,47,25.41,27,14.59,9,4.86,13,7.03,9,4.86,48,25.95,13004
13,5,223,35,15.7,52,23.32,19,8.52,13,5.83,5,2.24,60,26.91,13005
13,6,218,34,15.6,39,17.89,5,2.29,14,6.42,6,2.75,49,22.48,13006
13,7,146,20,13.7,26,17.81,6,4.11,2,1.37,2,1.37,32,21.92,13007
13,8,146,35,23.97,30,20.55,5,3.42,13,8.9,3,2.05,31,21.23,13008
13,9,185,31,16.76,48,25.95,17,9.19,8,4.32,2,1.08,40,21.62,13009
13,10,173,31,17.92,21,12.14,9,5.2,17,9.83,6,3.47,38,21.97,13010
13,11,230,61,26.52,39,16.96,10,4.35,17,7.39,4,1.74,38,16.52,13011
13,12,176,29,16.48,37,21.02,16,9.09,10,5.68,4,2.27,32,18.18,13012
13,13,204,37,18.14,35,17.16,9,4.41,13,6.37,2,0.98,41,20.1,13013
13,14,174,30,17.24,38,21.84,13,7.47,10,5.75,4,2.3,35,20.11,13014
13,15,297,52,17.51,52,17.51,20,6.73,19,6.4,8,2.69,61,20.54,13015
13,16,130,21,16.15,29,22.31,5,3.85,6,4.62,3,2.31,32,24.62,13016
13,17,142,25,17.61,28,19.72,8,5.63,10,7.04,5,3.52,27,19.01,13017
13,18,151,36,23.84,19,12.58,8,5.3,11,7.28,2,1.32,34,22.52,13018
13,19,261,38,14.56,49,18.77,8,3.07,15,5.75,2,0.77,50,19.16,13019
13,20,126,24,19.05,20,15.87,4,3.17,6,4.76,1,0.79,32,25.4,13020
13,21,210,50,23.81,29,13.81,11,5.24,11,5.24,7,3.33,39,18.57,13021
13,22,189,46,24.34,31,16.4,11,5.82,11,5.82,5,2.65,41,21.69,13022
13,23,138,28,20.29,27,19.57,5,3.62,7,5.07,1,0.72,26,18.84,13023
13,24,179,21,11.73,31,17.32,14,7.82,10,5.59,4,2.23,40,22.35,13024
13,25,193,46,23.83,47,24.35,6,3.11,17,8.81,8,4.15,33,17.1,13025
13,26,168,35,20.83,31,18.45,4,2.38,18,10.71,0,0.0,31,18.45,13026
13,27,179,30,16.76,40,22.35,6,3.35,11,6.15,5,2.79,40,22.35,13027
13,28,155,22,14.19,45,29.03,9,5.81,1,0.65,3,1.94,32,20.65,13028
13,29,152,38,25.0,31,20.39,7,4.61,6,3.95,5,3.29,34,22.37,13029
13,30,169,18,10.65,37,21.89,5,2.96,14,8.28,6,3.55,29,17.16,13030
13,31,194,31,15.98,29,14.95,8,4.12,10,5.15,2,1.03,36,18.56,13031
13,32,168,43,25.6,18,10.71,9,5.36,13,7.74,1,0.6,35,20.83,13032
13,33,199,36,18.09,38,19.1,4,2.01,12,6.03,6,3.02,37,18.59,13033
13,34,274,21,7.66,46,16.79,9,3.28,9,3.28,1,0.36,41,14.96,13034
13,35,228,38,16.67,37,16.23,7,3.07,9,3.95,3,1.32,44,19.3,13035
13,36,127,26,20.47,22,17.32,7,5.51,13,10.24,1,0.79,25,19.69,13036
13,37,193,28,14.51,32,16.58,16,8.29,16,8.29,5,2.59,34,17.62,13037
13,38,175,49,28.0,23,13.14,7,4.0,7,4.0,7,4.0,30,17.14,13038
13,39,179,40,22.35,32,17.88,8,4.47,7,3.91,2,1.12,34,18.99,13039
13,40,176,32,18.18,34,19.32,11,6.25,9,5.11,3,1.7,39,22.16,13040
13,41,234,39,16.67,50,21.37,13,5.56,12,5.13,3,1.28,37,15.81,13041
13,42,206,40,19.42,30,14.56,12,5.83,13,6.31,3,1.46,38,18.45,13042
13,43,192,37,19.27,38,19.79,6,3.13,9,4.69,4,2.08,43,22.4,13043
13,44,198,18,9.09,31,15.66,10,5.05,14,7.07,1,0.51,32,16.16,13044
13,45,245,51,20.82,39,15.92,9,3.67,15,6.12,13,5.31,46,18.78,13045
13,46,213,32,15.02,44,20.66,11,5.16,15,7.04,4,1.88,44,20.66,13046
13,47,225,35,15.56,44,19.56,8,3.56,9,4.0,2,0.89,33,14.67,13047
