ward,precinct,total,Tyria B. Walton,Tyria B. Walton Percent,precinct_id
5,12,66,66,100.0,05012
6,1,248,248,100.0,06001
6,2,263,263,100.0,06002
6,3,229,229,100.0,06003
6,4,140,140,100.0,06004
6,5,108,108,100.0,06005
6,6,231,231,100.0,06006
6,8,229,229,100.0,06008
6,10,117,117,100.0,06010
6,12,137,137,100.0,06012
6,13,166,166,100.0,06013
6,14,183,183,100.0,06014
6,15,10,10,100.0,06015
6,16,248,248,100.0,06016
6,17,122,122,100.0,06017
6,18,141,141,100.0,06018
6,19,145,145,100.0,06019
6,20,112,112,100.0,06020
6,21,5,5,100.0,06021
6,22,102,102,100.0,06022
6,25,87,87,100.0,06025
6,26,30,30,100.0,06026
6,27,98,98,100.0,06027
6,29,213,213,100.0,06029
6,30,15,15,100.0,06030
6,31,241,241,100.0,06031
6,33,192,192,100.0,06033
6,34,219,219,100.0,06034
6,35,215,215,100.0,06035
6,36,244,244,100.0,06036
6,37,238,238,100.0,06037
6,38,230,230,100.0,06038
6,39,139,139,100.0,06039
6,40,114,114,100.0,06040
6,41,222,222,100.0,06041
6,42,180,180,100.0,06042
6,43,172,172,100.0,06043
6,44,213,213,100.0,06044
6,45,233,233,100.0,06045
6,46,145,145,100.0,06046
6,47,149,149,100.0,06047
7,7,169,169,100.0,07007
7,10,221,221,100.0,07010
7,11,174,174,100.0,07011
7,12,150,150,100.0,07012
7,13,97,97,100.0,07013
7,14,177,177,100.0,07014
7,15,187,187,100.0,07015
7,16,138,138,100.0,07016
7,17,158,158,100.0,07017
7,18,134,134,100.0,07018
7,19,159,159,100.0,07019
7,20,126,126,100.0,07020
7,21,115,115,100.0,07021
7,22,149,149,100.0,07022
7,23,202,202,100.0,07023
7,24,134,134,100.0,07024
7,25,144,144,100.0,07025
7,26,154,154,100.0,07026
7,27,151,151,100.0,07027
7,28,113,113,100.0,07028
7,29,147,147,100.0,07029
7,30,115,115,100.0,07030
7,31,114,114,100.0,07031
7,32,285,285,100.0,07032
7,33,291,291,100.0,07033
7,34,239,239,100.0,07034
7,35,201,201,100.0,07035
7,36,247,247,100.0,07036
7,37,183,183,100.0,07037
7,38,156,156,100.0,07038
7,39,172,172,100.0,07039
7,40,181,181,100.0,07040
7,41,174,174,100.0,07041
7,42,162,162,100.0,07042
7,43,185,185,100.0,07043
7,44,158,158,100.0,07044
7,45,152,152,100.0,07045
7,46,81,81,100.0,07046
8,2,24,24,100.0,08002
8,3,257,257,100.0,08003
8,4,250,250,100.0,08004
8,5,245,245,100.0,08005
8,6,231,231,100.0,08006
8,7,241,241,100.0,08007
8,8,225,225,100.0,08008
8,9,153,153,100.0,08009
8,10,292,292,100.0,08010
8,11,135,135,100.0,08011
8,12,182,182,100.0,08012
8,13,207,207,100.0,08013
8,14,143,143,100.0,08014
8,15,179,179,100.0,08015
8,16,68,68,100.0,08016
8,17,185,185,100.0,08017
8,18,142,142,100.0,08018
8,19,262,262,100.0,08019
8,20,242,242,100.0,08020
8,21,243,243,100.0,08021
8,22,191,191,100.0,08022
8,23,161,161,100.0,08023
8,24,138,138,100.0,08024
8,25,183,183,100.0,08025
8,26,71,71,100.0,08026
8,27,236,236,100.0,08027
8,28,203,203,100.0,08028
8,29,218,218,100.0,08029
