ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,Aaron Goldstein,Aaron Goldstein Percent,precinct_id
33,1,351,231,65.81,120,34.19,33001
33,2,387,261,67.44,126,32.56,33002
33,3,459,257,55.99,202,44.01,33003
33,4,437,291,66.59,146,33.41,33004
33,5,237,160,67.51,77,32.49,33005
33,6,281,191,67.97,90,32.03,33006
33,7,329,212,64.44,117,35.56,33007
33,8,497,192,38.63,305,61.37,33008
33,9,315,206,65.4,109,34.6,33009
33,10,282,134,47.52,148,52.48,33010
33,11,324,209,64.51,115,35.49,33011
33,12,290,195,67.24,95,32.76,33012
33,13,303,200,66.01,103,33.99,33013
33,14,129,83,64.34,46,35.66,33014
33,15,295,199,67.46,96,32.54,33015
33,16,416,286,68.75,130,31.25,33016
33,17,309,194,62.78,115,37.22,33017
33,18,375,258,68.8,117,31.2,33018
33,19,341,233,68.33,108,31.67,33019
33,20,407,193,47.42,214,52.58,33020
33,21,321,193,60.12,128,39.88,33021
33,22,308,175,56.82,133,43.18,33022
33,23,356,193,54.21,163,45.79,33023
33,24,466,180,38.63,286,61.37,33024
33,25,414,211,50.97,203,49.03,33025
33,26,226,165,73.01,61,26.99,33026
33,27,348,228,65.52,120,34.48,33027
33,28,287,182,63.41,105,36.59,33028
