ward,precinct,total,Joe Cook,Joe Cook Percent,William ''Bill'' Kilroy,William ''Bill'' Kilroy Percent,precinct_id
41,1,216,97,44.91,119,55.09,41001
41,2,219,104,47.49,115,52.51,41002
41,3,196,70,35.71,126,64.29,41003
41,4,249,146,58.63,103,41.37,41004
41,5,257,138,53.7,119,46.3,41005
41,6,370,330,89.19,40,10.81,41006
41,7,227,125,55.07,102,44.93,41007
41,8,222,108,48.65,114,51.35,41008
41,9,190,135,71.05,55,28.95,41009
41,10,300,162,54.0,138,46.0,41010
41,11,261,126,48.28,135,51.72,41011
41,12,189,115,60.85,74,39.15,41012
41,13,225,102,45.33,123,54.67,41013
41,14,324,271,83.64,53,16.36,41014
41,15,279,163,58.42,116,41.58,41015
41,16,224,92,41.07,132,58.93,41016
41,17,206,118,57.28,88,42.72,41017
41,18,205,114,55.61,91,44.39,41018
41,19,262,184,70.23,78,29.77,41019
41,20,156,80,51.28,76,48.72,41020
41,21,232,101,43.53,131,56.47,41021
41,22,273,130,47.62,143,52.38,41022
41,23,210,76,36.19,134,63.81,41023
41,24,166,104,62.65,62,37.35,41024
41,25,112,77,68.75,35,31.25,41025
41,26,231,123,53.25,108,46.75,41026
41,27,120,73,60.83,47,39.17,41027
41,28,147,102,69.39,45,30.61,41028
41,29,104,78,75.0,26,25.0,41029
41,30,181,90,49.72,91,50.28,41030
41,31,214,94,43.93,120,56.07,41031
41,32,200,103,51.5,97,48.5,41032
41,33,192,84,43.75,108,56.25,41033
41,34,214,105,49.07,109,50.93,41034
41,35,285,145,50.88,140,49.12,41035
41,36,214,114,53.27,100,46.73,41036
41,37,254,137,53.94,117,46.06,41037
41,38,190,104,54.74,86,45.26,41038
41,39,296,212,71.62,84,28.38,41039
41,40,224,116,51.79,108,48.21,41040
41,41,206,81,39.32,125,60.68,41041
41,42,215,117,54.42,98,45.58,41042
41,43,211,84,39.81,127,60.19,41043
41,44,241,107,44.4,134,55.6,41044
41,45,218,101,46.33,117,53.67,41045
41,46,287,141,49.13,146,50.87,41046
41,47,284,229,80.63,55,19.37,41047
