ward,precinct,total,Brandon Johnson (Elizabeth Warren),Brandon Johnson (Elizabeth Warren) Percent,Jamie Brown (Elizabeth Warren),Jamie Brown (Elizabeth Warren) Percent,Frederick ''Fritz'' Kaegi (Elizabeth W,Frederick ''Fritz'' Kaegi (Elizabeth W Percent,Mony Ruiz Velasco (Elizabeth Warren),Mony Ruiz Velasco (Elizabeth Warren) Percent,Marlon D. Harris (Elizabeth Warren),Marlon D. Harris (Elizabeth Warren) Percent,Harlene Ellin (Elizabeth Warren),Harlene Ellin (Elizabeth Warren) Percent,Mihir Garud (Elizabeth Warren),Mihir Garud (Elizabeth Warren) Percent,Benetta Mansfield (Elizabeth Warren),Benetta Mansfield (Elizabeth Warren) Percent,Mary Ann Abbott (Andrew Yang),Mary Ann Abbott (Andrew Yang) Percent,Elizabeth Henricks (Andrew Yang),Elizabeth Henricks (Andrew Yang) Percent,Steven Dyme (Andrew Yang),Steven Dyme (Andrew Yang) Percent,Yvonne O'Connor (Andrew Yang),Yvonne O'Connor (Andrew Yang) Percent,Peter Wojda IV (Andrew Yang),Peter Wojda IV (Andrew Yang) Percent,Rudyard ''Rudy'' Urian (Andrew Yang),Rudyard ''Rudy'' Urian (Andrew Yang) Percent,Marty Castro (Pete Buttigieg),Marty Castro (Pete Buttigieg) Percent,Eric Davis (Pete Buttigieg),Eric Davis (Pete Buttigieg) Percent,Thomas Gary (Pete Buttigieg),Thomas Gary (Pete Buttigieg) Percent,Marla Izbicky (Pete Buttigieg),Marla Izbicky (Pete Buttigieg) Percent,Amalia Mahoney (Pete Buttigieg),Amalia Mahoney (Pete Buttigieg) Percent,Cristal Thomas Gary (Pete Buttigieg),Cristal Thomas Gary (Pete Buttigieg) Percent,Claudia Moreno-Nunez (Bernie Sanders),Claudia Moreno-Nunez (Bernie Sanders) Percent,Julie Lehrman (Bernie Sanders),Julie Lehrman (Bernie Sanders) Percent,Martese Luzette Chism (Bernie Sanders),Martese Luzette Chism (Bernie Sanders) Percent,Ojus Khanolkar (Bernie Sanders),Ojus Khanolkar (Bernie Sanders) Percent,Dominique Coronel (Bernie Sanders),Dominique Coronel (Bernie Sanders) Percent,Miguel Bautista (Bernie Sanders),Miguel Bautista (Bernie Sanders) Percent,Ronald Lawless (Bernie Sanders),Ronald Lawless (Bernie Sanders) Percent,Tim Thomas (Bernie Sanders),Tim Thomas (Bernie Sanders) Percent,Barton Moy (Amy J. Klobuchar),Barton Moy (Amy J. Klobuchar) Percent,Gail M. Silver (Amy J. Klobuchar),Gail M. Silver (Amy J. Klobuchar) Percent,Joan L. Long (Amy J. Klobuchar),Joan L. Long (Amy J. Klobuchar) Percent,Addison Woodward (Amy J. Klobuchar),Addison Woodward (Amy J. Klobuchar) Percent,Ann Henstrand (Amy J. Klobuchar),Ann Henstrand (Amy J. Klobuchar) Percent,Jennifer Vincent (Amy J. Klobuchar),Jennifer Vincent (Amy J. Klobuchar) Percent,Markayle Tolliver (Amy J. Klobuchar),Markayle Tolliver (Amy J. Klobuchar) Percent,Thomas A. (Tom) Ciavarella (Amy J. Klo,Thomas A. (Tom) Ciavarella (Amy J. Klo Percent,precinct_id
1,12,2955,20,0.68,30,1.02,26,0.88,37,1.25,24,0.81,31,1.05,30,1.02,34,1.15,9,0.3,7,0.24,5,0.17,3,0.1,6,0.2,6,0.2,10,0.34,3,0.1,4,0.14,10,0.34,7,0.24,6,0.2,254,8.6,245,8.29,236,7.99,241,8.16,241,8.16,239,8.09,229,7.75,226,7.65,4,0.14,3,0.1,1,0.03,4,0.14,5,0.17,5,0.17,2,0.07,3,0.1,01012
1,14,485,3,0.62,5,1.03,4,0.82,5,1.03,5,1.03,3,0.62,6,1.24,3,0.62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.21,1,0.21,0,0.0,0,0.0,1,0.21,4,0.82,45,9.28,44,9.07,43,8.87,41,8.45,41,8.45,43,8.87,40,8.25,39,8.04,0,0.0,1,0.21,0,0.0,1,0.21,0,0.0,2,0.41,0,0.0,0,0.0,01014
1,15,432,6,1.39,6,1.39,6,1.39,8,1.85,7,1.62,9,2.08,10,2.31,9,2.08,1,0.23,2,0.46,2,0.46,4,0.93,3,0.69,4,0.93,2,0.46,3,0.69,2,0.46,3,0.69,2,0.46,3,0.69,33,7.64,31,7.18,30,6.94,30,6.94,28,6.48,29,6.71,26,6.02,25,5.79,1,0.23,1,0.23,0,0.0,1,0.23,0,0.0,0,0.0,0,0.0,0,0.0,01015
1,32,969,16,1.65,17,1.75,20,2.06,21,2.17,16,1.65,18,1.86,18,1.86,18,1.86,1,0.1,1,0.1,0,0.0,1,0.1,2,0.21,0,0.0,0,0.0,0,0.0,0,0.0,2,0.21,1,0.1,3,0.31,68,7.02,63,6.5,58,5.99,58,5.99,59,6.09,54,5.57,50,5.16,50,5.16,3,0.31,2,0.21,1,0.1,1,0.1,0,0.0,1,0.1,0,0.0,0,0.0,01032
2,2,1538,16,1.04,10,0.65,7,0.46,11,0.72,8,0.52,9,0.59,6,0.39,6,0.39,10,0.65,4,0.26,2,0.13,4,0.26,2,0.13,3,0.2,11,0.72,10,0.65,8,0.52,13,0.85,10,0.65,7,0.46,30,1.95,28,1.82,23,1.5,23,1.5,25,1.63,29,1.89,26,1.69,25,1.63,7,0.46,8,0.52,5,0.33,7,0.46,6,0.39,7,0.46,3,0.2,4,0.26,02002
2,9,1451,11,0.76,6,0.41,8,0.55,4,0.28,2,0.14,9,0.62,5,0.34,8,0.55,9,0.62,7,0.48,3,0.21,4,0.28,2,0.14,0,0.0,8,0.55,5,0.34,4,0.28,8,0.55,7,0.48,6,0.41,50,3.45,50,3.45,42,2.89,43,2.96,44,3.03,41,2.83,39,2.69,38,2.62,6,0.41,12,0.83,9,0.62,10,0.69,9,0.62,7,0.48,5,0.34,4,0.28,02009
2,10,1337,3,0.22,3,0.22,7,0.52,4,0.3,5,0.37,5,0.37,3,0.22,6,0.45,4,0.3,6,0.45,4,0.3,3,0.22,2,0.15,2,0.15,7,0.52,5,0.37,7,0.52,4,0.3,3,0.22,3,0.22,24,1.8,19,1.42,21,1.57,19,1.42,18,1.35,19,1.42,19,1.42,18,1.35,4,0.3,10,0.75,5,0.37,5,0.37,4,0.3,2,0.15,3,0.22,1,0.07,02010
2,11,2084,10,0.48,7,0.34,9,0.43,6,0.29,6,0.29,7,0.34,8,0.38,8,0.38,8,0.38,12,0.58,5,0.24,5,0.24,3,0.14,3,0.14,13,0.62,6,0.29,9,0.43,10,0.48,13,0.62,10,0.48,33,1.58,33,1.58,33,1.58,33,1.58,30,1.44,31,1.49,26,1.25,25,1.2,6,0.29,8,0.38,7,0.34,6,0.29,7,0.34,5,0.24,4,0.19,5,0.24,02011
2,12,1229,13,1.06,11,0.9,9,0.73,5,0.41,11,0.9,4,0.33,7,0.57,7,0.57,8,0.65,6,0.49,8,0.65,6,0.49,2,0.16,4,0.33,5,0.41,8,0.65,4,0.33,8,0.65,4,0.33,4,0.33,35,2.85,27,2.2,28,2.28,29,2.36,34,2.77,31,2.52,27,2.2,21,1.71,2,0.16,7,0.57,2,0.16,1,0.08,1,0.08,1,0.08,1,0.08,5,0.41,02012
2,13,2265,13,0.57,13,0.57,14,0.62,8,0.35,8,0.35,9,0.4,11,0.49,13,0.57,6,0.26,4,0.18,2,0.09,4,0.18,2,0.09,3,0.13,14,0.62,12,0.53,11,0.49,15,0.66,8,0.35,12,0.53,47,2.08,44,1.94,42,1.85,38,1.68,41,1.81,37,1.63,38,1.68,35,1.55,3,0.13,8,0.35,6,0.26,7,0.31,6,0.26,4,0.18,1,0.04,1,0.04,02013
