ward,precinct,total,Scott Waguespack,Scott Waguespack Percent,precinct_id
32,1,266,266,100.0,32001
32,2,254,254,100.0,32002
32,3,299,299,100.0,32003
32,4,230,230,100.0,32004
32,5,258,258,100.0,32005
32,6,275,275,100.0,32006
32,7,263,263,100.0,32007
32,8,272,272,100.0,32008
32,9,243,243,100.0,32009
32,10,245,245,100.0,32010
32,11,242,242,100.0,32011
32,12,194,194,100.0,32012
32,13,234,234,100.0,32013
32,14,273,273,100.0,32014
32,15,247,247,100.0,32015
32,16,255,255,100.0,32016
32,17,307,307,100.0,32017
32,18,215,215,100.0,32018
32,19,214,214,100.0,32019
32,20,275,275,100.0,32020
32,21,296,296,100.0,32021
32,22,302,302,100.0,32022
32,23,266,266,100.0,32023
32,24,153,153,100.0,32024
32,25,225,225,100.0,32025
32,26,308,308,100.0,32026
32,27,206,206,100.0,32027
32,28,299,299,100.0,32028
32,29,264,264,100.0,32029
32,30,199,199,100.0,32030
32,31,225,225,100.0,32031
32,32,306,306,100.0,32032
32,33,218,218,100.0,32033
32,34,230,230,100.0,32034
32,35,190,190,100.0,32035
32,36,220,220,100.0,32036
32,37,243,243,100.0,32037
32,38,215,215,100.0,32038
32,39,240,240,100.0,32039
32,40,270,270,100.0,32040
32,41,258,258,100.0,32041
32,42,213,213,100.0,32042
32,43,271,271,100.0,32043
