ward,precinct,total,Chakena Sims (Elizabeth Warren),Chakena Sims (Elizabeth Warren) Percent,"Allen Louis Linton, II (Elizabeth Warr","Allen Louis Linton, II (Elizabeth Warr Percent",Grace Chan McKibben (Elizabeth Warren),Grace Chan McKibben (Elizabeth Warren) Percent,William E. Hall (Elizabeth Warren),William E. Hall (Elizabeth Warren) Percent,Shelley Davis (Elizabeth Warren),Shelley Davis (Elizabeth Warren) Percent,Nicholas ''Nick'' Shields (Elizabeth W,Nicholas ''Nick'' Shields (Elizabeth W Percent,Rebecca Zorach (Elizabeth Warren),Rebecca Zorach (Elizabeth Warren) Percent,Devlin Joseph Schoop (Elizabeth Warren,Devlin Joseph Schoop (Elizabeth Warren Percent,Jeanette Taylor (Bernie Sanders),Jeanette Taylor (Bernie Sanders) Percent,Maria R. Bell (Bernie Sanders),Maria R. Bell (Bernie Sanders) Percent,Naomi Davis (Bernie Sanders),Naomi Davis (Bernie Sanders) Percent,Patricia L. Guinn (Bernie Sanders),Patricia L. Guinn (Bernie Sanders) Percent,Robert Peters (Bernie Sanders),Robert Peters (Bernie Sanders) Percent,Rodney Gipson (Bernie Sanders),Rodney Gipson (Bernie Sanders) Percent,Raheem Uqdah (Bernie Sanders),Raheem Uqdah (Bernie Sanders) Percent,Larry Gilman (Bernie Sanders),Larry Gilman (Bernie Sanders) Percent,Preston Brown Jr (Bernie Sanders),Preston Brown Jr (Bernie Sanders) Percent,Evajamania Brown (Bernie Sanders),Evajamania Brown (Bernie Sanders) Percent,Linda Hudson (Bernie Sanders),Linda Hudson (Bernie Sanders) Percent,Darren Fuller (Andrew Yang),Darren Fuller (Andrew Yang) Percent,Carol Horton (Andrew Yang),Carol Horton (Andrew Yang) Percent,Ben Silvian (Andrew Yang),Ben Silvian (Andrew Yang) Percent,Laura Sieh (Andrew Yang),Laura Sieh (Andrew Yang) Percent,John Hart (Amy J. Klobuchar),John Hart (Amy J. Klobuchar) Percent,Myra Hart (Amy J. Klobuchar),Myra Hart (Amy J. Klobuchar) Percent,Norene Shader (Amy J. Klobuchar),Norene Shader (Amy J. Klobuchar) Percent,precinct_id
3,2,202,2,0.99,0,0.0,2,0.99,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,8,3.96,7,3.47,8,3.96,6,2.97,5,2.48,8,3.96,5,2.48,4,1.98,3,1.49,2,0.99,3,1.49,1,0.5,1,0.5,2,0.99,1,0.5,0,0.0,0,0.0,0,0.0,03002
3,4,1889,26,1.38,10,0.53,20,1.06,21,1.11,22,1.16,13,0.69,13,0.69,8,0.42,63,3.34,49,2.59,60,3.18,51,2.7,37,1.96,45,2.38,47,2.49,27,1.43,33,1.75,29,1.54,30,1.59,3,0.16,4,0.21,0,0.0,4,0.21,1,0.05,4,0.21,3,0.16,03004
3,7,1408,27,1.92,17,1.21,11,0.78,16,1.14,27,1.92,9,0.64,11,0.78,8,0.57,48,3.41,39,2.77,53,3.76,37,2.63,25,1.78,32,2.27,31,2.2,25,1.78,28,1.99,18,1.28,22,1.56,3,0.21,7,0.5,3,0.21,9,0.64,10,0.71,10,0.71,10,0.71,03007
3,12,215,3,1.4,1,0.47,2,0.93,2,0.93,1,0.47,2,0.93,1,0.47,0,0.0,7,3.26,6,2.79,5,2.33,7,3.26,6,2.79,4,1.86,3,1.4,3,1.4,3,1.4,7,3.26,4,1.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03012
3,18,994,9,0.91,4,0.4,5,0.5,4,0.4,12,1.21,6,0.6,10,1.01,5,0.5,41,4.12,35,3.52,41,4.12,32,3.22,19,1.91,21,2.11,22,2.21,20,2.01,14,1.41,20,2.01,20,2.01,1,0.1,0,0.0,0,0.0,5,0.5,2,0.2,3,0.3,7,0.7,03018
3,23,305,6,1.97,2,0.66,3,0.98,4,1.31,3,0.98,1,0.33,1,0.33,0,0.0,9,2.95,4,1.31,7,2.3,4,1.31,2,0.66,5,1.64,5,1.64,3,0.98,5,1.64,3,0.98,5,1.64,1,0.33,1,0.33,0,0.0,0,0.0,1,0.33,2,0.66,1,0.33,03023
3,29,227,3,1.32,1,0.44,5,2.2,2,0.88,2,0.88,3,1.32,2,0.88,2,0.88,8,3.52,3,1.32,9,3.96,4,1.76,7,3.08,9,3.96,4,1.76,5,2.2,7,3.08,3,1.32,4,1.76,2,0.88,3,1.32,1,0.44,3,1.32,1,0.44,1,0.44,0,0.0,03029
3,30,857,10,1.17,4,0.47,6,0.7,2,0.23,11,1.28,6,0.7,1,0.12,4,0.47,29,3.38,23,2.68,28,3.27,18,2.1,14,1.63,14,1.63,17,1.98,8,0.93,10,1.17,16,1.87,15,1.75,2,0.23,1,0.12,0,0.0,0,0.0,1,0.12,1,0.12,2,0.23,03030
3,31,45,0,0.0,0,0.0,0,0.0,1,2.22,0,0.0,0,0.0,0,0.0,0,0.0,4,8.89,4,8.89,5,11.11,4,8.89,4,8.89,4,8.89,3,6.67,4,8.89,1,2.22,1,2.22,2,4.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03031
3,35,826,12,1.45,7,0.85,6,0.73,5,0.61,9,1.09,4,0.48,5,0.61,3,0.36,31,3.75,29,3.51,35,4.24,31,3.75,16,1.94,19,2.3,25,3.03,12,1.45,16,1.94,17,2.06,12,1.45,4,0.48,3,0.36,4,0.48,3,0.36,3,0.36,3,0.36,2,0.24,03035
3,38,1807,39,2.16,18,1.0,24,1.33,19,1.05,32,1.77,18,1.0,12,0.66,13,0.72,51,2.82,38,2.1,50,2.77,44,2.43,22,1.22,28,1.55,36,1.99,25,1.38,26,1.44,22,1.22,27,1.49,7,0.39,9,0.5,7,0.39,11,0.61,8,0.44,3,0.17,3,0.17,03038
3,41,1786,22,1.23,16,0.9,19,1.06,17,0.95,25,1.4,13,0.73,12,0.67,9,0.5,71,3.98,77,4.31,73,4.09,71,3.98,55,3.08,54,3.02,56,3.14,44,2.46,34,1.9,43,2.41,36,2.02,6,0.34,6,0.34,4,0.22,9,0.5,3,0.17,7,0.39,4,0.22,03041
4,1,3404,55,1.62,43,1.26,47,1.38,39,1.15,47,1.38,35,1.03,46,1.35,30,0.88,211,6.2,194,5.7,214,6.29,190,5.58,173,5.08,146,4.29,197,5.79,113,3.32,75,2.2,126,3.7,105,3.08,13,0.38,14,0.41,12,0.35,12,0.35,8,0.24,10,0.29,8,0.24,04001
4,3,1530,27,1.76,12,0.78,13,0.85,14,0.92,20,1.31,12,0.78,11,0.72,10,0.65,63,4.12,57,3.73,81,5.29,59,3.86,42,2.75,40,2.61,39,2.55,34,2.22,29,1.9,27,1.76,37,2.42,4,0.26,5,0.33,1,0.07,5,0.33,2,0.13,1,0.07,1,0.07,04003
4,4,270,2,0.74,1,0.37,4,1.48,3,1.11,2,0.74,0,0.0,2,0.74,1,0.37,8,2.96,10,3.7,10,3.7,9,3.33,7,2.59,8,2.96,4,1.48,3,1.11,5,1.85,6,2.22,4,1.48,0,0.0,3,1.11,0,0.0,0,0.0,0,0.0,1,0.37,1,0.37,04004
4,8,2258,30,1.33,15,0.66,18,0.8,15,0.66,24,1.06,14,0.62,15,0.66,18,0.8,93,4.12,82,3.63,99,4.38,89,3.94,73,3.23,68,3.01,64,2.83,44,1.95,40,1.77,50,2.21,45,1.99,5,0.22,5,0.22,3,0.13,5,0.22,7,0.31,6,0.27,2,0.09,04008
4,9,3212,40,1.25,22,0.68,25,0.78,30,0.93,29,0.9,21,0.65,20,0.62,18,0.56,83,2.58,68,2.12,77,2.4,59,1.84,52,1.62,52,1.62,51,1.59,38,1.18,36,1.12,42,1.31,41,1.28,9,0.28,8,0.25,4,0.12,11,0.34,10,0.31,7,0.22,4,0.12,04009
4,11,879,16,1.82,6,0.68,4,0.46,7,0.8,9,1.02,7,0.8,7,0.8,5,0.57,34,3.87,26,2.96,29,3.3,28,3.19,18,2.05,16,1.82,25,2.84,13,1.48,19,2.16,15,1.71,13,1.48,2,0.23,4,0.46,1,0.11,5,0.57,4,0.46,8,0.91,3,0.34,04011
4,12,2590,32,1.24,12,0.46,11,0.42,17,0.66,29,1.12,9,0.35,11,0.42,12,0.46,98,3.78,82,3.17,100,3.86,76,2.93,69,2.66,61,2.36,65,2.51,44,1.7,47,1.81,58,2.24,40,1.54,10,0.39,6,0.23,6,0.23,6,0.23,7,0.27,5,0.19,7,0.27,04012
4,14,1717,22,1.28,12,0.7,16,0.93,18,1.05,19,1.11,10,0.58,11,0.64,13,0.76,55,3.2,58,3.38,59,3.44,55,3.2,36,2.1,37,2.15,42,2.45,31,1.81,34,1.98,35,2.04,32,1.86,7,0.41,8,0.47,2,0.12,2,0.12,2,0.12,1,0.06,3,0.17,04014
4,15,1791,20,1.12,9,0.5,11,0.61,7,0.39,21,1.17,8,0.45,9,0.5,5,0.28,75,4.19,62,3.46,68,3.8,60,3.35,53,2.96,49,2.74,49,2.74,35,1.95,33,1.84,44,2.46,40,2.23,8,0.45,6,0.34,3,0.17,7,0.39,4,0.22,5,0.28,2,0.11,04015
4,18,2057,27,1.31,23,1.12,21,1.02,28,1.36,23,1.12,23,1.12,24,1.17,22,1.07,77,3.74,80,3.89,83,4.04,70,3.4,55,2.67,49,2.38,51,2.48,40,1.94,40,1.94,43,2.09,41,1.99,15,0.73,7,0.34,6,0.29,15,0.73,5,0.24,6,0.29,6,0.29,04018
4,19,1325,25,1.89,8,0.6,11,0.83,9,0.68,20,1.51,9,0.68,8,0.6,8,0.6,58,4.38,46,3.47,58,4.38,52,3.92,31,2.34,33,2.49,32,2.42,32,2.42,28,2.11,26,1.96,33,2.49,4,0.3,4,0.3,3,0.23,7,0.53,4,0.3,2,0.15,2,0.15,04019
4,22,2480,30,1.21,20,0.81,32,1.29,24,0.97,30,1.21,19,0.77,26,1.05,17,0.69,82,3.31,81,3.27,98,3.95,79,3.19,67,2.7,58,2.34,65,2.62,49,1.98,34,1.37,37,1.49,26,1.05,9,0.36,8,0.32,3,0.12,7,0.28,4,0.16,8,0.32,7,0.28,04022
4,23,3386,44,1.3,30,0.89,40,1.18,29,0.86,40,1.18,28,0.83,32,0.95,24,0.71,163,4.81,166,4.9,177,5.23,164,4.84,149,4.4,123,3.63,142,4.19,98,2.89,56,1.65,86,2.54,73,2.16,6,0.18,7,0.21,5,0.15,8,0.24,5,0.15,12,0.35,5,0.15,04023
4,24,2350,30,1.28,19,0.81,19,0.81,17,0.72,27,1.15,13,0.55,14,0.6,13,0.55,75,3.19,68,2.89,81,3.45,65,2.77,59,2.51,48,2.04,54,2.3,43,1.83,43,1.83,47,2.0,44,1.87,8,0.34,9,0.38,2,0.09,4,0.17,6,0.26,5,0.21,5,0.21,04024
4,26,2045,28,1.37,10,0.49,16,0.78,16,0.78,14,0.68,12,0.59,14,0.68,11,0.54,77,3.77,59,2.89,71,3.47,55,2.69,41,2.0,31,1.52,40,1.96,32,1.56,24,1.17,36,1.76,32,1.56,5,0.24,9,0.44,3,0.15,8,0.39,5,0.24,4,0.2,3,0.15,04026
4,27,3076,39,1.27,28,0.91,38,1.24,25,0.81,37,1.2,32,1.04,38,1.24,31,1.01,172,5.59,170,5.53,178,5.79,155,5.04,145,4.71,129,4.19,146,4.75,97,3.15,56,1.82,82,2.67,74,2.41,5,0.16,1,0.03,6,0.2,7,0.23,6,0.2,4,0.13,5,0.16,04027
4,28,592,8,1.35,3,0.51,7,1.18,4,0.68,10,1.69,5,0.84,4,0.68,3,0.51,16,2.7,20,3.38,23,3.89,18,3.04,14,2.36,10,1.69,11,1.86,11,1.86,7,1.18,11,1.86,16,2.7,2,0.34,6,1.01,1,0.17,2,0.34,0,0.0,1,0.17,0,0.0,04028
4,29,1191,21,1.76,13,1.09,7,0.59,9,0.76,11,0.92,7,0.59,5,0.42,4,0.34,53,4.45,53,4.45,59,4.95,47,3.95,36,3.02,36,3.02,31,2.6,25,2.1,22,1.85,26,2.18,29,2.43,7,0.59,5,0.42,2,0.17,3,0.25,2,0.17,2,0.17,1,0.08,04029
4,30,2068,33,1.6,15,0.73,16,0.77,20,0.97,24,1.16,17,0.82,17,0.82,13,0.63,68,3.29,59,2.85,71,3.43,60,2.9,46,2.22,47,2.27,44,2.13,30,1.45,35,1.69,45,2.18,42,2.03,12,0.58,11,0.53,5,0.24,3,0.15,5,0.24,5,0.24,6,0.29,04030
4,31,3006,26,0.86,18,0.6,15,0.5,14,0.47,15,0.5,21,0.7,12,0.4,13,0.43,47,1.56,47,1.56,61,2.03,50,1.66,45,1.5,41,1.36,42,1.4,25,0.83,26,0.86,22,0.73,25,0.83,8,0.27,6,0.2,4,0.13,8,0.27,7,0.23,4,0.13,2,0.07,04031
4,32,2403,30,1.25,18,0.75,20,0.83,17,0.71,28,1.17,18,0.75,16,0.67,12,0.5,97,4.04,86,3.58,102,4.24,78,3.25,66,2.75,69,2.87,67,2.79,46,1.91,40,1.66,59,2.46,53,2.21,10,0.42,10,0.42,7,0.29,12,0.5,3,0.12,6,0.25,4,0.17,04032
4,33,2449,31,1.27,21,0.86,19,0.78,18,0.73,20,0.82,13,0.53,11,0.45,11,0.45,114,4.65,110,4.49,115,4.7,105,4.29,73,2.98,72,2.94,70,2.86,56,2.29,52,2.12,79,3.23,78,3.18,10,0.41,9,0.37,7,0.29,9,0.37,4,0.16,6,0.24,7,0.29,04033
4,36,1431,14,0.98,8,0.56,11,0.77,10,0.7,11,0.77,8,0.56,10,0.7,8,0.56,48,3.35,43,3.0,48,3.35,38,2.66,27,1.89,30,2.1,35,2.45,20,1.4,25,1.75,29,2.03,27,1.89,7,0.49,10,0.7,4,0.28,8,0.56,1,0.07,5,0.35,3,0.21,04036
4,38,2565,34,1.33,13,0.51,21,0.82,17,0.66,19,0.74,16,0.62,15,0.58,13,0.51,94,3.66,83,3.24,90,3.51,75,2.92,51,1.99,57,2.22,61,2.38,44,1.72,35,1.36,47,1.83,38,1.48,6,0.23,5,0.19,3,0.12,9,0.35,2,0.08,6,0.23,2,0.08,04038
5,2,1352,22,1.63,7,0.52,9,0.67,6,0.44,23,1.7,9,0.67,7,0.52,5,0.37,46,3.4,40,2.96,49,3.62,39,2.88,26,1.92,24,1.78,27,2.0,22,1.63,24,1.78,37,2.74,37,2.74,2,0.15,4,0.3,2,0.15,5,0.37,0,0.0,2,0.15,2,0.15,05002
5,3,2676,47,1.76,29,1.08,58,2.17,29,1.08,40,1.49,29,1.08,37,1.38,31,1.16,151,5.64,151,5.64,163,6.09,143,5.34,124,4.63,100,3.74,136,5.08,91,3.4,52,1.94,86,3.21,71,2.65,3,0.11,5,0.19,3,0.11,8,0.3,5,0.19,8,0.3,4,0.15,05003
5,4,2909,35,1.2,22,0.76,22,0.76,19,0.65,29,1.0,16,0.55,22,0.76,16,0.55,178,6.12,170,5.84,196,6.74,158,5.43,138,4.74,126,4.33,150,5.16,100,3.44,67,2.3,97,3.33,90,3.09,7,0.24,7,0.24,5,0.17,7,0.24,8,0.28,6,0.21,8,0.28,05004
5,5,1686,32,1.9,15,0.89,20,1.19,19,1.13,21,1.25,19,1.13,12,0.71,11,0.65,77,4.57,62,3.68,68,4.03,64,3.8,52,3.08,50,2.97,48,2.85,32,1.9,35,2.08,37,2.19,41,2.43,7,0.42,4,0.24,3,0.18,10,0.59,4,0.24,5,0.3,4,0.24,05005
5,7,2435,44,1.81,35,1.44,38,1.56,33,1.36,41,1.68,30,1.23,35,1.44,28,1.15,82,3.37,78,3.2,92,3.78,74,3.04,55,2.26,52,2.14,58,2.38,35,1.44,28,1.15,39,1.6,40,1.64,1,0.04,2,0.08,2,0.08,5,0.21,4,0.16,4,0.16,4,0.16,05007
5,8,2806,28,1.0,26,0.93,38,1.35,22,0.78,27,0.96,20,0.71,34,1.21,19,0.68,136,4.85,130,4.63,136,4.85,126,4.49,111,3.96,103,3.67,112,3.99,85,3.03,38,1.35,64,2.28,61,2.17,5,0.18,4,0.14,5,0.18,9,0.32,9,0.32,6,0.21,7,0.25,05008
5,9,3143,59,1.88,39,1.24,48,1.53,32,1.02,47,1.5,38,1.21,37,1.18,32,1.02,143,4.55,139,4.42,156,4.96,143,4.55,125,3.98,117,3.72,135,4.3,84,2.67,46,1.46,77,2.45,72,2.29,10,0.32,16,0.51,8,0.25,9,0.29,5,0.16,14,0.45,5,0.16,05009
5,10,1097,13,1.19,11,1.0,9,0.82,10,0.91,20,1.82,5,0.46,8,0.73,7,0.64,47,4.28,44,4.01,48,4.38,47,4.28,39,3.56,29,2.64,32,2.92,34,3.1,21,1.91,24,2.19,32,2.92,2,0.18,6,0.55,1,0.09,3,0.27,3,0.27,2,0.18,0,0.0,05010
5,11,1019,14,1.37,9,0.88,10,0.98,9,0.88,13,1.28,5,0.49,8,0.79,5,0.49,62,6.08,58,5.69,57,5.59,55,5.4,51,5.0,45,4.42,51,5.0,34,3.34,14,1.37,21,2.06,17,1.67,2,0.2,2,0.2,2,0.2,2,0.2,3,0.29,3,0.29,1,0.1,05011
5,12,1083,20,1.85,10,0.92,12,1.11,13,1.2,14,1.29,6,0.55,9,0.83,7,0.65,44,4.06,40,3.69,46,4.25,41,3.79,31,2.86,32,2.95,32,2.95,24,2.22,27,2.49,20,1.85,22,2.03,7,0.65,4,0.37,4,0.37,3,0.28,3,0.28,6,0.55,2,0.18,05012
5,13,1726,25,1.45,13,0.75,12,0.7,17,0.98,20,1.16,13,0.75,8,0.46,8,0.46,68,3.94,60,3.48,78,4.52,66,3.82,50,2.9,50,2.9,46,2.67,34,1.97,30,1.74,38,2.2,37,2.14,7,0.41,7,0.41,3,0.17,4,0.23,4,0.23,10,0.58,5,0.29,05013
5,15,2151,30,1.39,20,0.93,30,1.39,21,0.98,28,1.3,21,0.98,24,1.12,19,0.88,103,4.79,85,3.95,103,4.79,86,4.0,83,3.86,74,3.44,72,3.35,46,2.14,35,1.63,47,2.19,51,2.37,9,0.42,14,0.65,7,0.33,12,0.56,3,0.14,5,0.23,4,0.19,05015
5,16,1798,32,1.78,7,0.39,10,0.56,12,0.67,20,1.11,15,0.83,10,0.56,10,0.56,81,4.51,73,4.06,83,4.62,74,4.12,46,2.56,51,2.84,43,2.39,40,2.22,37,2.06,51,2.84,50,2.78,7,0.39,7,0.39,1,0.06,6,0.33,1,0.06,6,0.33,2,0.11,05016
5,17,1283,20,1.56,14,1.09,7,0.55,11,0.86,19,1.48,9,0.7,13,1.01,4,0.31,64,4.99,49,3.82,58,4.52,51,3.98,45,3.51,39,3.04,41,3.2,28,2.18,27,2.1,33,2.57,33,2.57,5,0.39,4,0.31,6,0.47,3,0.23,3,0.23,1,0.08,1,0.08,05017
5,18,1360,22,1.62,12,0.88,22,1.62,13,0.96,21,1.54,13,0.96,22,1.62,9,0.66,78,5.74,73,5.37,80,5.88,75,5.51,65,4.78,50,3.68,66,4.85,41,3.01,23,1.69,43,3.16,39,2.87,4,0.29,9,0.66,5,0.37,6,0.44,2,0.15,2,0.15,2,0.15,05018
5,19,2644,49,1.85,43,1.63,65,2.46,39,1.48,45,1.7,36,1.36,41,1.55,33,1.25,123,4.65,116,4.39,125,4.73,122,4.61,119,4.5,91,3.44,107,4.05,81,3.06,41,1.55,65,2.46,51,1.93,3,0.11,2,0.08,4,0.15,7,0.26,7,0.26,9,0.34,4,0.15,05019
5,20,2967,51,1.72,28,0.94,33,1.11,32,1.08,38,1.28,25,0.84,35,1.18,19,0.64,111,3.74,106,3.57,118,3.98,104,3.51,74,2.49,65,2.19,89,3.0,51,1.72,51,1.72,63,2.12,52,1.75,10,0.34,13,0.44,12,0.4,10,0.34,7,0.24,8,0.27,7,0.24,05020
5,21,2493,32,1.28,20,0.8,26,1.04,23,0.92,29,1.16,19,0.76,26,1.04,16,0.64,144,5.78,142,5.7,146,5.86,130,5.21,123,4.93,106,4.25,125,5.01,84,3.37,39,1.56,67,2.69,65,2.61,6,0.24,4,0.16,4,0.16,3,0.12,10,0.4,11,0.44,8,0.32,05021
5,22,3111,32,1.03,21,0.68,30,0.96,18,0.58,29,0.93,14,0.45,20,0.64,15,0.48,98,3.15,85,2.73,95,3.05,79,2.54,75,2.41,62,1.99,69,2.22,48,1.54,27,0.87,42,1.35,42,1.35,4,0.13,6,0.19,5,0.16,10,0.32,6,0.19,8,0.26,9,0.29,05022
5,24,2729,42,1.54,39,1.43,45,1.65,31,1.14,39,1.43,28,1.03,37,1.36,29,1.06,164,6.01,151,5.53,160,5.86,151,5.53,135,4.95,105,3.85,131,4.8,88,3.22,48,1.76,84,3.08,71,2.6,5,0.18,4,0.15,2,0.07,5,0.18,4,0.15,6,0.22,4,0.15,05024
5,25,325,7,2.15,3,0.92,2,0.62,2,0.62,6,1.85,2,0.62,4,1.23,2,0.62,15,4.62,9,2.77,14,4.31,10,3.08,11,3.38,8,2.46,10,3.08,5,1.54,9,2.77,9,2.77,10,3.08,4,1.23,1,0.31,1,0.31,2,0.62,2,0.62,0,0.0,1,0.31,05025
5,27,2889,35,1.21,28,0.97,44,1.52,26,0.9,32,1.11,22,0.76,32,1.11,18,0.62,165,5.71,162,5.61,168,5.82,166,5.75,147,5.09,133,4.6,147,5.09,91,3.15,47,1.63,95,3.29,79,2.73,6,0.21,6,0.21,4,0.14,9,0.31,5,0.17,7,0.24,6,0.21,05027
5,30,1253,19,1.52,11,0.88,8,0.64,11,0.88,14,1.12,8,0.64,6,0.48,8,0.64,44,3.51,40,3.19,52,4.15,38,3.03,36,2.87,37,2.95,36,2.87,29,2.31,23,1.84,23,1.84,21,1.68,6,0.48,4,0.32,2,0.16,3,0.24,2,0.16,0,0.0,1,0.08,05030
5,33,1991,36,1.81,21,1.05,17,0.85,17,0.85,30,1.51,21,1.05,16,0.8,21,1.05,64,3.21,45,2.26,60,3.01,55,2.76,47,2.36,38,1.91,41,2.06,28,1.41,29,1.46,28,1.41,30,1.51,4,0.2,9,0.45,3,0.15,7,0.35,5,0.25,2,0.1,8,0.4,05033
5,34,3127,41,1.31,35,1.12,47,1.5,30,0.96,39,1.25,28,0.9,43,1.38,31,0.99,146,4.67,154,4.92,159,5.08,152,4.86,143,4.57,104,3.33,130,4.16,89,2.85,36,1.15,79,2.53,72,2.3,12,0.38,12,0.38,8,0.26,8,0.26,6,0.19,14,0.45,13,0.42,05034
5,35,2716,53,1.95,38,1.4,52,1.91,34,1.25,41,1.51,35,1.29,41,1.51,34,1.25,123,4.53,117,4.31,131,4.82,124,4.57,105,3.87,81,2.98,97,3.57,66,2.43,48,1.77,63,2.32,60,2.21,6,0.22,9,0.33,8,0.29,10,0.37,7,0.26,12,0.44,6,0.22,05035
5,39,2083,26,1.25,19,0.91,33,1.58,21,1.01,27,1.3,20,0.96,31,1.49,20,0.96,77,3.7,78,3.74,82,3.94,77,3.7,71,3.41,55,2.64,67,3.22,49,2.35,24,1.15,37,1.78,31,1.49,6,0.29,12,0.58,9,0.43,10,0.48,8,0.38,7,0.34,8,0.38,05039
6,1,2012,24,1.19,12,0.6,17,0.84,13,0.65,22,1.09,11,0.55,15,0.75,10,0.5,55,2.73,40,1.99,55,2.73,39,1.94,33,1.64,28,1.39,32,1.59,19,0.94,24,1.19,29,1.44,33,1.64,7,0.35,8,0.4,7,0.35,13,0.65,3,0.15,6,0.3,3,0.15,06001
6,2,2126,28,1.32,15,0.71,18,0.85,16,0.75,23,1.08,13,0.61,15,0.71,10,0.47,63,2.96,62,2.92,61,2.87,40,1.88,24,1.13,32,1.51,31,1.46,25,1.18,26,1.22,26,1.22,34,1.6,5,0.24,9,0.42,5,0.24,7,0.33,1,0.05,4,0.19,2,0.09,06002
6,3,1932,29,1.5,20,1.04,17,0.88,17,0.88,26,1.35,18,0.93,16,0.83,8,0.41,45,2.33,47,2.43,50,2.59,44,2.28,26,1.35,25,1.29,21,1.09,22,1.14,27,1.4,19,0.98,27,1.4,7,0.36,9,0.47,4,0.21,11,0.57,7,0.36,3,0.16,3,0.16,06003
6,4,1150,13,1.13,8,0.7,8,0.7,11,0.96,12,1.04,4,0.35,9,0.78,7,0.61,49,4.26,48,4.17,52,4.52,48,4.17,41,3.57,37,3.22,32,2.78,34,2.96,29,2.52,30,2.61,36,3.13,6,0.52,4,0.35,3,0.26,4,0.35,2,0.17,4,0.35,3,0.26,06004
6,5,882,14,1.59,8,0.91,8,0.91,13,1.47,16,1.81,5,0.57,10,1.13,6,0.68,30,3.4,32,3.63,28,3.17,31,3.51,27,3.06,32,3.63,24,2.72,19,2.15,18,2.04,13,1.47,18,2.04,4,0.45,2,0.23,3,0.34,3,0.34,1,0.11,5,0.57,1,0.11,06005
6,6,1838,31,1.69,13,0.71,16,0.87,8,0.44,22,1.2,8,0.44,17,0.92,12,0.65,51,2.77,43,2.34,59,3.21,45,2.45,25,1.36,34,1.85,34,1.85,26,1.41,35,1.9,27,1.47,32,1.74,6,0.33,5,0.27,3,0.16,6,0.33,5,0.27,4,0.22,6,0.33,06006
6,7,1367,19,1.39,12,0.88,15,1.1,14,1.02,25,1.83,14,1.02,15,1.1,13,0.95,41,3.0,41,3.0,41,3.0,38,2.78,28,2.05,31,2.27,27,1.98,14,1.02,23,1.68,29,2.12,29,2.12,4,0.29,5,0.37,4,0.29,4,0.29,3,0.22,7,0.51,1,0.07,06007
6,8,1930,24,1.24,8,0.41,7,0.36,13,0.67,16,0.83,10,0.52,10,0.52,8,0.41,55,2.85,45,2.33,56,2.9,45,2.33,34,1.76,26,1.35,34,1.76,18,0.93,33,1.71,30,1.55,36,1.87,5,0.26,6,0.31,5,0.26,4,0.21,5,0.26,2,0.1,3,0.16,06008
6,9,1176,16,1.36,9,0.77,9,0.77,13,1.11,19,1.62,10,0.85,10,0.85,4,0.34,40,3.4,36,3.06,33,2.81,41,3.49,27,2.3,31,2.64,23,1.96,22,1.87,19,1.62,15,1.28,27,2.3,4,0.34,4,0.34,3,0.26,9,0.77,2,0.17,7,0.6,3,0.26,06009
6,10,949,16,1.69,9,0.95,7,0.74,11,1.16,11,1.16,6,0.63,6,0.63,6,0.63,51,5.37,38,4.0,49,5.16,40,4.21,28,2.95,26,2.74,35,3.69,24,2.53,29,3.06,18,1.9,25,2.63,2,0.21,3,0.32,2,0.21,4,0.42,5,0.53,3,0.32,4,0.42,06010
