ward,precinct,total,Andr̩ J. Washington (Elizabeth Warren,Andr̩ J. Washington (Elizabeth Warren Percent,Hope Zawaski (Elizabeth Warren),Hope Zawaski (Elizabeth Warren) Percent,Al Riley (Elizabeth Warren),Al Riley (Elizabeth Warren) Percent,Cleopatra Watson (Elizabeth Warren),Cleopatra Watson (Elizabeth Warren) Percent,Jaylin McClinton (Elizabeth Warren),Jaylin McClinton (Elizabeth Warren) Percent,Amanda Jo Greep (Elizabeth Warren),Amanda Jo Greep (Elizabeth Warren) Percent,Aisha El-Amin (Bernie Sanders),Aisha El-Amin (Bernie Sanders) Percent,Maureen Forte (Bernie Sanders),Maureen Forte (Bernie Sanders) Percent,Sukari Campbell (Bernie Sanders),Sukari Campbell (Bernie Sanders) Percent,John Willard (Bernie Sanders),John Willard (Bernie Sanders) Percent,Kenneth Franklin (Bernie Sanders),Kenneth Franklin (Bernie Sanders) Percent,"Lyle C. Evans, Jr. (Bernie Sanders)","Lyle C. Evans, Jr. (Bernie Sanders) Percent",Kenneth Henderson (Andrew Yang),Kenneth Henderson (Andrew Yang) Percent,Sanovia Reynolds-Parks (Andrew Yang),Sanovia Reynolds-Parks (Andrew Yang) Percent,Juan Juarez (Andrew Yang),Juan Juarez (Andrew Yang) Percent,Paula Wilson (Andrew Yang),Paula Wilson (Andrew Yang) Percent,Reggie Greenwood (Andrew Yang),Reggie Greenwood (Andrew Yang) Percent,Monique Williams (Andrew Yang),Monique Williams (Andrew Yang) Percent,Kyle Summers (Andrew Yang),Kyle Summers (Andrew Yang) Percent,Emily Higgs (Pete Buttigieg),Emily Higgs (Pete Buttigieg) Percent,Randall Krause-Vinson (Pete Buttigieg),Randall Krause-Vinson (Pete Buttigieg) Percent,Sherry Newquist (Pete Buttigieg),Sherry Newquist (Pete Buttigieg) Percent,Alfred Saucedo (Pete Buttigieg),Alfred Saucedo (Pete Buttigieg) Percent,Micaela G. Smith (Amy J. Klobuchar),Micaela G. Smith (Amy J. Klobuchar) Percent,Kristal Hudson-Davis (Amy J. Klobuchar,Kristal Hudson-Davis (Amy J. Klobuchar Percent,precinct_id
5,1,1441,15,1.04,6,0.42,12,0.83,9,0.62,9,0.62,2,0.14,50,3.47,49,3.4,40,2.78,45,3.12,47,3.26,54,3.75,7,0.49,1,0.07,4,0.28,9,0.62,4,0.28,5,0.35,3,0.21,2,0.14,1,0.07,1,0.07,1,0.07,4,0.28,1,0.07,05001
5,6,1435,9,0.63,8,0.56,6,0.42,11,0.77,4,0.28,1,0.07,61,4.25,58,4.04,58,4.04,57,3.97,59,4.11,59,4.11,5,0.35,5,0.35,4,0.28,4,0.28,2,0.14,3,0.21,1,0.07,0,0.0,1,0.07,3,0.21,2,0.14,3,0.21,3,0.21,05006
5,10,325,4,1.23,4,1.23,7,2.15,6,1.85,2,0.62,2,0.62,9,2.77,9,2.77,10,3.08,15,4.62,14,4.31,14,4.31,3,0.92,2,0.62,1,0.31,2,0.62,2,0.62,1,0.31,1,0.31,2,0.62,0,0.0,0,0.0,1,0.31,0,0.0,0,0.0,05010
5,11,1374,9,0.66,11,0.8,10,0.73,14,1.02,7,0.51,9,0.66,68,4.95,70,5.09,67,4.88,66,4.8,67,4.88,62,4.51,1,0.07,2,0.15,1,0.07,1,0.07,1,0.07,3,0.22,1,0.07,2,0.15,1,0.07,2,0.15,0,0.0,2,0.15,0,0.0,05011
5,14,1722,13,0.75,12,0.7,8,0.46,17,0.99,10,0.58,7,0.41,75,4.36,64,3.72,65,3.77,63,3.66,75,4.36,71,4.12,11,0.64,4,0.23,4,0.23,3,0.17,7,0.41,9,0.52,6,0.35,4,0.23,4,0.23,5,0.29,2,0.12,2,0.12,2,0.12,05014
5,18,896,14,1.56,10,1.12,7,0.78,12,1.34,8,0.89,10,1.12,59,6.58,60,6.7,57,6.36,56,6.25,54,6.03,55,6.14,2,0.22,2,0.22,2,0.22,1,0.11,1,0.11,1,0.11,1,0.11,1,0.11,0,0.0,1,0.11,0,0.0,0,0.0,1,0.11,05018
5,23,3677,46,1.25,43,1.17,33,0.9,53,1.44,41,1.12,36,0.98,207,5.63,198,5.38,198,5.38,191,5.19,192,5.22,187,5.09,7,0.19,4,0.11,7,0.19,6,0.16,4,0.11,10,0.27,2,0.05,11,0.3,5,0.14,9,0.24,8,0.22,8,0.22,9,0.24,05023
5,25,1513,19,1.26,12,0.79,16,1.06,23,1.52,11,0.73,5,0.33,37,2.45,35,2.31,36,2.38,40,2.64,43,2.84,35,2.31,4,0.26,2,0.13,3,0.2,2,0.13,2,0.13,9,0.59,2,0.13,4,0.26,1,0.07,3,0.2,0,0.0,2,0.13,5,0.33,05025
5,26,1661,16,0.96,14,0.84,19,1.14,12,0.72,13,0.78,7,0.42,51,3.07,52,3.13,44,2.65,57,3.43,60,3.61,66,3.97,7,0.42,5,0.3,7,0.42,8,0.48,4,0.24,8,0.48,1,0.06,5,0.3,0,0.0,3,0.18,1,0.06,3,0.18,1,0.06,05026
5,28,1982,20,1.01,13,0.66,12,0.61,24,1.21,12,0.61,10,0.5,47,2.37,42,2.12,39,1.97,50,2.52,54,2.72,46,2.32,5,0.25,2,0.1,4,0.2,9,0.45,6,0.3,6,0.3,5,0.25,3,0.15,2,0.1,2,0.1,2,0.1,5,0.25,4,0.2,05028
5,29,1881,26,1.38,16,0.85,18,0.96,24,1.28,14,0.74,7,0.37,75,3.99,68,3.62,69,3.67,64,3.4,72,3.83,64,3.4,5,0.27,7,0.37,6,0.32,3,0.16,3,0.16,4,0.21,6,0.32,2,0.11,1,0.05,1,0.05,0,0.0,2,0.11,0,0.0,05029
5,31,1226,7,0.57,5,0.41,8,0.65,15,1.22,8,0.65,5,0.41,33,2.69,29,2.37,32,2.61,38,3.1,37,3.02,40,3.26,3,0.24,1,0.08,2,0.16,5,0.41,6,0.49,5,0.41,2,0.16,2,0.16,0,0.0,0,0.0,0,0.0,3,0.24,1,0.08,05031
5,32,2097,19,0.91,13,0.62,9,0.43,20,0.95,6,0.29,7,0.33,52,2.48,53,2.53,49,2.34,68,3.24,61,2.91,63,3.0,9,0.43,4,0.19,5,0.24,11,0.52,6,0.29,8,0.38,2,0.1,5,0.24,0,0.0,2,0.1,0,0.0,1,0.05,3,0.14,05032
5,35,418,7,1.67,5,1.2,4,0.96,6,1.44,5,1.2,5,1.2,30,7.18,30,7.18,29,6.94,28,6.7,30,7.18,27,6.46,0,0.0,0,0.0,1,0.24,0,0.0,0,0.0,0,0.0,2,0.48,1,0.24,1,0.24,1,0.24,1,0.24,2,0.48,1,0.24,05035
5,36,627,14,2.23,8,1.28,6,0.96,9,1.44,8,1.28,3,0.48,18,2.87,16,2.55,18,2.87,18,2.87,25,3.99,18,2.87,1,0.16,2,0.32,1,0.16,3,0.48,4,0.64,4,0.64,5,0.8,2,0.32,0,0.0,0,0.0,0,0.0,0,0.0,2,0.32,05036
5,37,2447,28,1.14,28,1.14,27,1.1,31,1.27,22,0.9,21,0.86,106,4.33,100,4.09,98,4.0,104,4.25,107,4.37,102,4.17,5,0.2,5,0.2,7,0.29,5,0.2,6,0.25,5,0.2,6,0.25,3,0.12,1,0.04,3,0.12,1,0.04,6,0.25,5,0.2,05037
5,38,1325,16,1.21,5,0.38,13,0.98,8,0.6,5,0.38,3,0.23,34,2.57,37,2.79,36,2.72,46,3.47,41,3.09,40,3.02,5,0.38,7,0.53,5,0.38,7,0.53,5,0.38,11,0.83,2,0.15,2,0.15,2,0.15,1,0.08,1,0.08,1,0.08,3,0.23,05038
5,40,1328,7,0.53,12,0.9,10,0.75,15,1.13,10,0.75,11,0.83,40,3.01,43,3.24,38,2.86,45,3.39,42,3.16,50,3.77,4,0.3,4,0.3,3,0.23,4,0.3,3,0.23,9,0.68,6,0.45,4,0.3,2,0.15,1,0.08,4,0.3,5,0.38,5,0.38,05040
5,41,1278,10,0.78,10,0.78,9,0.7,9,0.7,8,0.63,8,0.63,19,1.49,18,1.41,16,1.25,20,1.56,21,1.64,20,1.56,2,0.16,1,0.08,3,0.23,0,0.0,1,0.08,1,0.08,1,0.08,5,0.39,4,0.31,1,0.08,2,0.16,0,0.0,2,0.16,05041
7,1,653,6,0.92,5,0.77,4,0.61,9,1.38,3,0.46,3,0.46,20,3.06,19,2.91,15,2.3,26,3.98,28,4.29,24,3.68,5,0.77,0,0.0,1,0.15,3,0.46,3,0.46,4,0.61,5,0.77,0,0.0,4,0.61,2,0.31,0,0.0,2,0.31,2,0.31,07001
7,2,1109,8,0.72,9,0.81,13,1.17,15,1.35,7,0.63,5,0.45,42,3.79,43,3.88,33,2.98,41,3.7,48,4.33,42,3.79,4,0.36,7,0.63,4,0.36,3,0.27,7,0.63,8,0.72,2,0.18,7,0.63,2,0.18,5,0.45,1,0.09,1,0.09,2,0.18,07002
7,3,1551,19,1.23,11,0.71,9,0.58,19,1.23,11,0.71,8,0.52,55,3.55,46,2.97,40,2.58,54,3.48,56,3.61,49,3.16,1,0.06,3,0.19,4,0.26,2,0.13,2,0.13,3,0.19,1,0.06,1,0.06,0,0.0,1,0.06,0,0.0,5,0.32,2,0.13,07003
7,4,1440,10,0.69,7,0.49,5,0.35,15,1.04,9,0.63,5,0.35,34,2.36,31,2.15,30,2.08,42,2.92,37,2.57,38,2.64,9,0.63,2,0.14,2,0.14,4,0.28,6,0.42,8,0.56,3,0.21,6,0.42,0,0.0,1,0.07,0,0.0,1,0.07,5,0.35,07004
7,5,1182,13,1.1,4,0.34,4,0.34,6,0.51,3,0.25,4,0.34,47,3.98,47,3.98,46,3.89,47,3.98,47,3.98,46,3.89,4,0.34,4,0.34,6,0.51,2,0.17,4,0.34,5,0.42,0,0.0,4,0.34,2,0.17,3,0.25,2,0.17,5,0.42,2,0.17,07005
7,6,1854,23,1.24,19,1.02,19,1.02,24,1.29,14,0.76,15,0.81,67,3.61,62,3.34,59,3.18,59,3.18,60,3.24,62,3.34,3,0.16,4,0.22,3,0.16,5,0.27,5,0.27,6,0.32,4,0.22,3,0.16,2,0.11,2,0.11,1,0.05,1,0.05,3,0.16,07006
7,7,1108,10,0.9,7,0.63,8,0.72,13,1.17,3,0.27,2,0.18,36,3.25,38,3.43,34,3.07,42,3.79,41,3.7,41,3.7,5,0.45,3,0.27,5,0.45,3,0.27,3,0.27,5,0.45,2,0.18,1,0.09,1,0.09,3,0.27,2,0.18,1,0.09,2,0.18,07007
7,8,802,12,1.5,10,1.25,8,1.0,7,0.87,6,0.75,4,0.5,33,4.11,29,3.62,29,3.62,32,3.99,31,3.87,35,4.36,5,0.62,5,0.62,1,0.12,2,0.25,2,0.25,5,0.62,1,0.12,1,0.12,3,0.37,1,0.12,2,0.25,3,0.37,1,0.12,07008
7,9,2356,24,1.02,17,0.72,18,0.76,33,1.4,14,0.59,12,0.51,82,3.48,73,3.1,68,2.89,73,3.1,74,3.14,75,3.18,11,0.47,3,0.13,4,0.17,7,0.3,7,0.3,11,0.47,6,0.25,5,0.21,2,0.08,2,0.08,2,0.08,4,0.17,5,0.21,07009
7,10,1629,9,0.55,2,0.12,7,0.43,15,0.92,8,0.49,4,0.25,59,3.62,50,3.07,51,3.13,49,3.01,58,3.56,53,3.25,6,0.37,4,0.25,3,0.18,5,0.31,3,0.18,4,0.25,5,0.31,2,0.12,0,0.0,2,0.12,2,0.12,1,0.06,1,0.06,07010
7,11,1315,16,1.22,12,0.91,11,0.84,17,1.29,14,1.06,6,0.46,56,4.26,52,3.95,44,3.35,49,3.73,54,4.11,46,3.5,3,0.23,6,0.46,5,0.38,4,0.3,3,0.23,5,0.38,3,0.23,2,0.15,2,0.15,4,0.3,1,0.08,4,0.3,4,0.3,07011
7,12,1062,10,0.94,10,0.94,9,0.85,13,1.22,8,0.75,6,0.56,30,2.82,30,2.82,26,2.45,34,3.2,42,3.95,36,3.39,3,0.28,3,0.28,5,0.47,2,0.19,2,0.19,6,0.56,2,0.19,2,0.19,2,0.19,3,0.28,3,0.28,2,0.19,2,0.19,07012
7,13,857,7,0.82,2,0.23,5,0.58,6,0.7,3,0.35,0,0.0,23,2.68,25,2.92,23,2.68,27,3.15,29,3.38,31,3.62,4,0.47,1,0.12,4,0.47,4,0.47,1,0.12,4,0.47,1,0.12,1,0.12,0,0.0,1,0.12,2,0.23,2,0.23,1,0.12,07013
7,14,1300,20,1.54,14,1.08,8,0.62,17,1.31,16,1.23,9,0.69,40,3.08,46,3.54,39,3.0,49,3.77,48,3.69,55,4.23,3,0.23,8,0.62,6,0.46,7,0.54,12,0.92,6,0.46,5,0.38,5,0.38,9,0.69,4,0.31,4,0.31,8,0.62,3,0.23,07014
7,15,1261,11,0.87,5,0.4,4,0.32,19,1.51,6,0.48,5,0.4,46,3.65,38,3.01,38,3.01,38,3.01,43,3.41,41,3.25,5,0.4,4,0.32,4,0.32,4,0.32,2,0.16,4,0.32,2,0.16,3,0.24,0,0.0,0,0.0,2,0.16,0,0.0,1,0.08,07015
7,16,943,9,0.95,9,0.95,5,0.53,16,1.7,7,0.74,4,0.42,31,3.29,32,3.39,34,3.61,36,3.82,41,4.35,35,3.71,3,0.32,3,0.32,4,0.42,0,0.0,4,0.42,5,0.53,1,0.11,2,0.21,1,0.11,2,0.21,2,0.21,5,0.53,1,0.11,07016
7,17,1182,10,0.85,4,0.34,4,0.34,15,1.27,10,0.85,8,0.68,31,2.62,30,2.54,28,2.37,32,2.71,37,3.13,34,2.88,5,0.42,2,0.17,3,0.25,1,0.08,2,0.17,6,0.51,3,0.25,3,0.25,1,0.08,1,0.08,2,0.17,3,0.25,4,0.34,07017
7,18,933,6,0.64,7,0.75,8,0.86,9,0.96,7,0.75,1,0.11,32,3.43,31,3.32,35,3.75,35,3.75,41,4.39,40,4.29,1,0.11,3,0.32,4,0.43,3,0.32,2,0.21,5,0.54,3,0.32,1,0.11,1,0.11,3,0.32,1,0.11,1,0.11,3,0.32,07018
7,19,1153,18,1.56,9,0.78,9,0.78,15,1.3,10,0.87,4,0.35,45,3.9,43,3.73,39,3.38,49,4.25,49,4.25,45,3.9,4,0.35,3,0.26,2,0.17,6,0.52,1,0.09,11,0.95,5,0.43,4,0.35,2,0.17,2,0.17,2,0.17,0,0.0,1,0.09,07019
7,20,885,5,0.56,7,0.79,11,1.24,12,1.36,9,1.02,5,0.56,34,3.84,34,3.84,29,3.28,31,3.5,38,4.29,30,3.39,2,0.23,1,0.11,1,0.11,6,0.68,3,0.34,5,0.56,3,0.34,2,0.23,1,0.11,3,0.34,1,0.11,1,0.11,2,0.23,07020
7,21,870,10,1.15,3,0.34,7,0.8,7,0.8,2,0.23,4,0.46,29,3.33,26,2.99,23,2.64,28,3.22,28,3.22,27,3.1,2,0.23,1,0.11,5,0.57,2,0.23,1,0.11,3,0.34,1,0.11,2,0.23,0,0.0,2,0.23,2,0.23,1,0.11,2,0.23,07021
7,22,1066,11,1.03,5,0.47,8,0.75,13,1.22,9,0.84,5,0.47,31,2.91,31,2.91,32,3.0,33,3.1,34,3.19,37,3.47,6,0.56,4,0.38,10,0.94,5,0.47,5,0.47,3,0.28,2,0.19,4,0.38,1,0.09,1,0.09,1,0.09,2,0.19,3,0.28,07022
7,23,1455,7,0.48,6,0.41,9,0.62,12,0.82,8,0.55,4,0.27,38,2.61,33,2.27,32,2.2,32,2.2,43,2.96,40,2.75,7,0.48,5,0.34,3,0.21,8,0.55,6,0.41,11,0.76,3,0.21,4,0.27,0,0.0,0,0.0,0,0.0,4,0.27,0,0.0,07023
7,24,994,6,0.6,7,0.7,8,0.8,9,0.91,3,0.3,6,0.6,28,2.82,20,2.01,23,2.31,24,2.41,27,2.72,28,2.82,4,0.4,2,0.2,3,0.3,4,0.4,2,0.2,2,0.2,3,0.3,2,0.2,1,0.1,1,0.1,0,0.0,0,0.0,2,0.2,07024
7,25,981,6,0.61,3,0.31,4,0.41,7,0.71,4,0.41,3,0.31,40,4.08,39,3.98,38,3.87,43,4.38,41,4.18,40,4.08,4,0.41,0,0.0,7,0.71,2,0.2,4,0.41,5,0.51,3,0.31,4,0.41,4,0.41,4,0.41,5,0.51,3,0.31,2,0.2,07025
7,26,1139,10,0.88,6,0.53,8,0.7,10,0.88,6,0.53,5,0.44,32,2.81,26,2.28,25,2.19,26,2.28,28,2.46,28,2.46,1,0.09,1,0.09,1,0.09,4,0.35,1,0.09,2,0.18,1,0.09,0,0.0,0,0.0,1,0.09,0,0.0,1,0.09,1,0.09,07026
7,27,1067,13,1.22,7,0.66,12,1.12,10,0.94,10,0.94,7,0.66,25,2.34,26,2.44,22,2.06,22,2.06,32,3.0,26,2.44,2,0.19,2,0.19,3,0.28,3,0.28,1,0.09,6,0.56,2,0.19,7,0.66,1,0.09,0,0.0,2,0.19,7,0.66,3,0.28,07027
7,28,823,5,0.61,6,0.73,2,0.24,10,1.22,5,0.61,3,0.36,23,2.79,19,2.31,24,2.92,19,2.31,24,2.92,21,2.55,0,0.0,2,0.24,1,0.12,0,0.0,2,0.24,5,0.61,2,0.24,2,0.24,0,0.0,2,0.24,1,0.12,4,0.49,5,0.61,07028
7,29,1042,7,0.67,5,0.48,7,0.67,6,0.58,8,0.77,2,0.19,33,3.17,33,3.17,27,2.59,25,2.4,26,2.5,27,2.59,1,0.1,1,0.1,2,0.19,1,0.1,1,0.1,3,0.29,0,0.0,1,0.1,0,0.0,3,0.29,1,0.1,2,0.19,3,0.29,07029
7,30,852,9,1.06,1,0.12,6,0.7,6,0.7,8,0.94,2,0.23,25,2.93,23,2.7,21,2.46,28,3.29,29,3.4,24,2.82,5,0.59,4,0.47,10,1.17,3,0.35,3,0.35,3,0.35,2,0.23,0,0.0,0,0.0,0,0.0,1,0.12,0,0.0,0,0.0,07030
7,31,790,4,0.51,3,0.38,2,0.25,4,0.51,4,0.51,0,0.0,32,4.05,28,3.54,27,3.42,33,4.18,30,3.8,36,4.56,1,0.13,1,0.13,1,0.13,2,0.25,1,0.13,2,0.25,3,0.38,0,0.0,1,0.13,1,0.13,2,0.25,2,0.25,0,0.0,07031
7,32,2109,15,0.71,9,0.43,8,0.38,15,0.71,11,0.52,7,0.33,38,1.8,42,1.99,36,1.71,42,1.99,45,2.13,43,2.04,4,0.19,5,0.24,4,0.19,7,0.33,1,0.05,4,0.19,4,0.19,4,0.19,2,0.09,2,0.09,1,0.05,1,0.05,1,0.05,07032
7,33,2115,14,0.66,11,0.52,9,0.43,16,0.76,11,0.52,7,0.33,45,2.13,48,2.27,39,1.84,47,2.22,47,2.22,44,2.08,1,0.05,5,0.24,5,0.24,4,0.19,4,0.19,9,0.43,4,0.19,7,0.33,0,0.0,2,0.09,1,0.05,5,0.24,5,0.24,07033
7,34,1833,14,0.76,3,0.16,6,0.33,9,0.49,8,0.44,3,0.16,42,2.29,41,2.24,37,2.02,44,2.4,54,2.95,51,2.78,0,0.0,5,0.27,4,0.22,5,0.27,4,0.22,8,0.44,2,0.11,6,0.33,0,0.0,3,0.16,0,0.0,1,0.05,1,0.05,07034
7,35,1431,17,1.19,10,0.7,9,0.63,19,1.33,12,0.84,6,0.42,60,4.19,59,4.12,56,3.91,59,4.12,64,4.47,62,4.33,5,0.35,3,0.21,10,0.7,4,0.28,3,0.21,12,0.84,3,0.21,3,0.21,1,0.07,1,0.07,1,0.07,2,0.14,2,0.14,07035
7,36,1854,12,0.65,9,0.49,11,0.59,15,0.81,9,0.49,8,0.43,44,2.37,41,2.21,38,2.05,46,2.48,47,2.54,44,2.37,7,0.38,4,0.22,8,0.43,4,0.22,4,0.22,5,0.27,4,0.22,0,0.0,2,0.11,0,0.0,0,0.0,1,0.05,6,0.32,07036
7,37,1413,8,0.57,9,0.64,9,0.64,10,0.71,7,0.5,9,0.64,38,2.69,36,2.55,35,2.48,39,2.76,40,2.83,39,2.76,6,0.42,3,0.21,6,0.42,5,0.35,6,0.42,8,0.57,5,0.35,3,0.21,2,0.14,3,0.21,5,0.35,4,0.28,2,0.14,07037
7,38,1056,16,1.52,9,0.85,10,0.95,16,1.52,8,0.76,7,0.66,19,1.8,17,1.61,19,1.8,17,1.61,21,1.99,19,1.8,2,0.19,1,0.09,0,0.0,2,0.19,4,0.38,4,0.38,1,0.09,1,0.09,1,0.09,0,0.0,0,0.0,0,0.0,0,0.0,07038
7,39,1334,18,1.35,11,0.82,14,1.05,16,1.2,11,0.82,5,0.37,40,3.0,33,2.47,32,2.4,44,3.3,36,2.7,39,2.92,2,0.15,7,0.52,2,0.15,4,0.3,3,0.22,6,0.45,3,0.22,4,0.3,2,0.15,3,0.22,2,0.15,3,0.22,5,0.37,07039
7,40,1232,8,0.65,9,0.73,5,0.41,8,0.65,6,0.49,2,0.16,22,1.79,20,1.62,15,1.22,28,2.27,25,2.03,29,2.35,3,0.24,1,0.08,5,0.41,2,0.16,3,0.24,2,0.16,3,0.24,6,0.49,1,0.08,2,0.16,2,0.16,1,0.08,0,0.0,07040
7,41,1390,11,0.79,8,0.58,2,0.14,12,0.86,9,0.65,3,0.22,42,3.02,40,2.88,42,3.02,43,3.09,46,3.31,44,3.17,3,0.22,4,0.29,5,0.36,4,0.29,4,0.29,8,0.58,2,0.14,2,0.14,1,0.07,0,0.0,1,0.07,0,0.0,3,0.22,07041
7,42,1274,13,1.02,8,0.63,4,0.31,10,0.78,2,0.16,5,0.39,35,2.75,39,3.06,34,2.67,44,3.45,45,3.53,37,2.9,5,0.39,2,0.16,6,0.47,2,0.16,4,0.31,1,0.08,1,0.08,2,0.16,1,0.08,1,0.08,1,0.08,3,0.24,4,0.31,07042
