ward,precinct,total,Silvana Tabares,Silvana Tabares Percent,precinct_id
23,1,166,166,100.0,23001
23,2,160,160,100.0,23002
23,3,161,161,100.0,23003
23,4,202,202,100.0,23004
23,5,194,194,100.0,23005
23,6,89,89,100.0,23006
23,7,151,151,100.0,23007
23,8,196,196,100.0,23008
23,9,162,162,100.0,23009
23,10,196,196,100.0,23010
23,11,182,182,100.0,23011
23,12,187,187,100.0,23012
23,13,150,150,100.0,23013
23,14,171,171,100.0,23014
23,15,68,68,100.0,23015
23,16,175,175,100.0,23016
23,17,111,111,100.0,23017
23,18,144,144,100.0,23018
23,19,156,156,100.0,23019
23,20,102,102,100.0,23020
23,21,198,198,100.0,23021
23,22,165,165,100.0,23022
23,23,174,174,100.0,23023
23,24,130,130,100.0,23024
23,25,164,164,100.0,23025
23,26,171,171,100.0,23026
23,27,167,167,100.0,23027
23,28,169,169,100.0,23028
23,29,151,151,100.0,23029
23,30,222,222,100.0,23030
23,31,158,158,100.0,23031
23,32,158,158,100.0,23032
23,33,174,174,100.0,23033
23,34,179,179,100.0,23034
23,35,134,134,100.0,23035
23,36,152,152,100.0,23036
23,37,185,185,100.0,23037
23,38,153,153,100.0,23038
23,39,203,203,100.0,23039
