ward,precinct,total,Nicholas ''Nick'' Smith,Nicholas ''Nick'' Smith Percent,precinct_id
6,1,239,239,100.0,06001
6,2,274,274,100.0,06002
6,3,200,200,100.0,06003
6,8,225,225,100.0,06008
6,13,166,166,100.0,06013
6,14,181,181,100.0,06014
6,16,231,231,100.0,06016
6,19,24,24,100.0,06019
6,29,217,217,100.0,06029
6,31,221,221,100.0,06031
6,34,217,217,100.0,06034
6,35,210,210,100.0,06035
6,36,247,247,100.0,06036
6,37,232,232,100.0,06037
6,38,233,233,100.0,06038
6,39,144,144,100.0,06039
6,41,225,225,100.0,06041
6,42,169,169,100.0,06042
6,43,167,167,100.0,06043
6,44,231,231,100.0,06044
6,45,223,223,100.0,06045
6,46,154,154,100.0,06046
8,15,43,43,100.0,08015
8,22,182,182,100.0,08022
8,26,61,61,100.0,08026
8,31,137,137,100.0,08031
8,32,179,179,100.0,08032
8,34,208,208,100.0,08034
8,39,205,205,100.0,08039
8,43,87,87,100.0,08043
8,45,39,39,100.0,08045
8,47,163,163,100.0,08047
8,54,12,12,100.0,08054
9,1,71,71,100.0,09001
9,7,6,6,100.0,09007
9,8,148,148,100.0,09008
9,9,161,161,100.0,09009
9,12,188,188,100.0,09012
9,13,175,175,100.0,09013
9,23,207,207,100.0,09023
9,24,219,219,100.0,09024
9,25,189,189,100.0,09025
9,28,16,16,100.0,09028
9,31,15,15,100.0,09031
9,36,135,135,100.0,09036
9,37,259,259,100.0,09037
9,38,88,88,100.0,09038
9,42,220,220,100.0,09042
9,43,60,60,100.0,09043
9,46,188,188,100.0,09046
9,47,229,229,100.0,09047
9,48,209,209,100.0,09048
9,49,205,205,100.0,09049
9,50,305,305,100.0,09050
9,51,219,219,100.0,09051
10,13,1,1,100.0,10013
10,16,0,0,0.0,10016
17,21,181,181,100.0,17021
21,31,136,136,100.0,21031
21,53,71,71,100.0,21053
