ward,precinct,total,Kelly Marie McCarthy,Kelly Marie McCarthy Percent,Aileen Bhandari,Aileen Bhandari Percent,Elizabeth ''Beth'' Ryan,Elizabeth ''Beth'' Ryan Percent,"James T. Derico, Jr.","James T. Derico, Jr. Percent",precinct_id
1,1,264,63,23.86,109,41.29,36,13.64,56,21.21,01001
1,2,251,68,27.09,92,36.65,55,21.91,36,14.34,01002
1,3,272,63,23.16,97,35.66,52,19.12,60,22.06,01003
1,4,228,59,25.88,73,32.02,46,20.18,50,21.93,01004
1,5,239,49,20.5,84,35.15,51,21.34,55,23.01,01005
1,6,212,43,20.28,75,35.38,52,24.53,42,19.81,01006
1,7,192,40,20.83,78,40.63,45,23.44,29,15.1,01007
1,8,187,57,30.48,52,27.81,45,24.06,33,17.65,01008
1,9,187,60,32.09,51,27.27,45,24.06,31,16.58,01009
1,10,238,63,26.47,80,33.61,51,21.43,44,18.49,01010
1,11,247,60,24.29,104,42.11,29,11.74,54,21.86,01011
1,12,308,70,22.73,112,36.36,78,25.32,48,15.58,01012
1,13,126,27,21.43,55,43.65,21,16.67,23,18.25,01013
1,14,240,55,22.92,84,35.0,50,20.83,51,21.25,01014
1,15,199,64,32.16,59,29.65,39,19.6,37,18.59,01015
1,16,344,78,22.67,134,38.95,59,17.15,73,21.22,01016
1,17,248,57,22.98,83,33.47,54,21.77,54,21.77,01017
1,18,246,78,31.71,83,33.74,46,18.7,39,15.85,01018
1,19,263,72,27.38,90,34.22,41,15.59,60,22.81,01019
1,20,236,62,26.27,85,36.02,51,21.61,38,16.1,01020
1,21,288,87,30.21,100,34.72,57,19.79,44,15.28,01021
1,22,158,38,24.05,49,31.01,32,20.25,39,24.68,01022
1,23,410,112,27.32,145,35.37,61,14.88,92,22.44,01023
1,24,251,68,27.09,74,29.48,62,24.7,47,18.73,01024
1,25,237,65,27.43,103,43.46,38,16.03,31,13.08,01025
1,26,181,41,22.65,67,37.02,40,22.1,33,18.23,01026
1,27,283,50,17.67,121,42.76,43,15.19,69,24.38,01027
1,28,67,25,37.31,13,19.4,17,25.37,12,17.91,01028
1,29,294,64,21.77,109,37.07,72,24.49,49,16.67,01029
1,30,302,79,26.16,112,37.09,59,19.54,52,17.22,01030
