ward,precinct,total,Robert Martwick,Robert Martwick Percent,Daniel ''Danny'' O'Toole,Daniel ''Danny'' O'Toole Percent,precinct_id
29,29,154,103,66.88,51,33.12,29029
29,31,60,27,45.0,33,55.0,29031
29,32,162,106,65.43,56,34.57,29032
38,1,178,120,67.42,58,32.58,38001
38,2,199,77,38.69,122,61.31,38002
38,3,170,102,60.0,68,40.0,38003
38,5,180,102,56.67,78,43.33,38005
38,6,163,96,58.9,67,41.1,38006
38,7,175,84,48.0,91,52.0,38007
38,9,207,117,56.52,90,43.48,38009
38,11,180,122,67.78,58,32.22,38011
38,12,190,96,50.53,94,49.47,38012
38,13,226,160,70.8,66,29.2,38013
38,14,210,123,58.57,87,41.43,38014
38,15,200,123,61.5,77,38.5,38015
38,17,235,114,48.51,121,51.49,38017
38,18,225,142,63.11,83,36.89,38018
38,19,231,141,61.04,90,38.96,38019
38,20,199,79,39.7,120,60.3,38020
38,21,159,98,61.64,61,38.36,38021
38,22,214,166,77.57,48,22.43,38022
38,24,226,122,53.98,104,46.02,38024
38,25,191,112,58.64,79,41.36,38025
38,26,185,118,63.78,67,36.22,38026
38,27,191,99,51.83,92,48.17,38027
38,28,231,84,36.36,147,63.64,38028
38,29,208,122,58.65,86,41.35,38029
38,30,184,112,60.87,72,39.13,38030
38,31,271,170,62.73,101,37.27,38031
38,32,200,140,70.0,60,30.0,38032
38,33,185,106,57.3,79,42.7,38033
38,36,192,132,68.75,60,31.25,38036
38,38,190,116,61.05,74,38.95,38038
38,40,232,140,60.34,92,39.66,38040
38,41,254,186,73.23,68,26.77,38041
39,20,299,157,52.51,142,47.49,39020
39,21,217,101,46.54,116,53.46,39021
39,23,267,149,55.81,118,44.19,39023
39,24,265,139,52.45,126,47.55,39024
39,41,0,0,0.0,0,0.0,39041
41,1,225,77,34.22,148,65.78,41001
41,2,233,90,38.63,143,61.37,41002
41,3,224,106,47.32,118,52.68,41003
41,4,264,119,45.08,145,54.92,41004
41,5,279,141,50.54,138,49.46,41005
41,7,254,105,41.34,149,58.66,41007
41,8,251,114,45.42,137,54.58,41008
41,10,321,120,37.38,201,62.62,41010
41,11,275,94,34.18,181,65.82,41011
41,12,202,93,46.04,109,53.96,41012
41,13,248,96,38.71,152,61.29,41013
41,15,303,129,42.57,174,57.43,41015
41,16,233,85,36.48,148,63.52,41016
41,17,239,97,40.59,142,59.41,41017
41,18,226,94,41.59,132,58.41,41018
41,20,175,76,43.43,99,56.57,41020
41,21,240,103,42.92,137,57.08,41021
41,22,302,127,42.05,175,57.95,41022
41,23,219,62,28.31,157,71.69,41023
41,24,197,115,58.38,82,41.62,41024
41,25,120,75,62.5,45,37.5,41025
41,26,249,91,36.55,158,63.45,41026
41,27,127,73,57.48,54,42.52,41027
41,30,218,109,50.0,109,50.0,41030
41,31,248,123,49.6,125,50.4,41031
41,33,228,84,36.84,144,63.16,41033
41,34,228,94,41.23,134,58.77,41034
41,35,311,125,40.19,186,59.81,41035
41,36,234,94,40.17,140,59.83,41036
41,37,270,128,47.41,142,52.59,41037
41,38,218,99,45.41,119,54.59,41038
41,40,243,91,37.45,152,62.55,41040
41,41,223,74,33.18,149,66.82,41041
41,42,230,95,41.3,135,58.7,41042
41,43,227,93,40.97,134,59.03,41043
41,44,262,87,33.21,175,66.79,41044
41,45,239,98,41.0,141,59.0,41045
41,46,310,107,34.52,203,65.48,41046
45,12,211,139,65.88,72,34.12,45012
45,13,255,171,67.06,84,32.94,45013
45,14,353,232,65.72,121,34.28,45014
45,15,368,261,70.92,107,29.08,45015
45,16,206,150,72.82,56,27.18,45016
45,17,269,178,66.17,91,33.83,45017
45,18,239,157,65.69,82,34.31,45018
45,19,124,85,68.55,39,31.45,45019
45,20,156,105,67.31,51,32.69,45020
45,21,204,108,52.94,96,47.06,45021
45,22,165,97,58.79,68,41.21,45022
45,23,189,101,53.44,88,46.56,45023
45,24,160,95,59.38,65,40.63,45024
45,25,151,75,49.67,76,50.33,45025
45,26,100,63,63.0,37,37.0,45026
45,27,224,134,59.82,90,40.18,45027
45,28,149,110,73.83,39,26.17,45028
45,29,116,64,55.17,52,44.83,45029
45,30,197,124,62.94,73,37.06,45030
45,31,214,145,67.76,69,32.24,45031
45,32,159,105,66.04,54,33.96,45032
45,33,185,136,73.51,49,26.49,45033
45,34,263,172,65.4,91,34.6,45034
45,35,294,193,65.65,101,34.35,45035
45,36,286,169,59.09,117,40.91,45036
45,37,210,136,64.76,74,35.24,45037
45,38,233,132,56.65,101,43.35,45038
45,39,215,140,65.12,75,34.88,45039
45,40,180,97,53.89,83,46.11,45040
45,41,235,119,50.64,116,49.36,45041
45,42,260,134,51.54,126,48.46,45042
45,43,224,114,50.89,110,49.11,45043
45,44,271,139,51.29,132,48.71,45044
45,45,153,78,50.98,75,49.02,45045
45,46,156,80,51.28,76,48.72,45046
45,47,153,77,50.33,76,49.67,45047
45,48,177,78,44.07,99,55.93,45048
