ward,precinct,total,Gerard C. Moorer,Gerard C. Moorer Percent,Jawaharial ''Omar'' Williams,Jawaharial ''Omar'' Williams Percent,Gina Zuccaro,Gina Zuccaro Percent,precinct_id
1,8,141,55,39.01,53,37.59,33,23.4,01008
1,11,48,16,33.33,20,41.67,12,25.0,01011
1,12,349,60,17.19,185,53.01,104,29.8,01012
1,21,23,6,26.09,14,60.87,3,13.04,01021
1,32,73,22,30.14,28,38.36,23,31.51,01032
1,33,16,7,43.75,7,43.75,2,12.5,01033
1,37,56,15,26.79,24,42.86,17,30.36,01037
2,1,180,39,21.67,87,48.33,54,30.0,02001
2,6,256,69,26.95,121,47.27,66,25.78,02006
2,7,197,57,28.93,86,43.65,54,27.41,02007
2,8,284,86,30.28,134,47.18,64,22.54,02008
2,15,212,68,32.08,104,49.06,40,18.87,02015
2,17,283,59,20.85,147,51.94,77,27.21,02017
2,20,187,58,31.02,73,39.04,56,29.95,02020
2,25,291,94,32.3,119,40.89,78,26.8,02025
24,17,22,6,27.27,12,54.55,4,18.18,24017
24,19,206,96,46.6,80,38.83,30,14.56,24019
24,20,71,32,45.07,26,36.62,13,18.31,24020
24,32,94,32,34.04,41,43.62,21,22.34,24032
24,41,138,47,34.06,68,49.28,23,16.67,24041
26,4,26,10,38.46,8,30.77,8,30.77,26004
26,17,152,32,21.05,75,49.34,45,29.61,26017
26,19,60,17,28.33,34,56.67,9,15.0,26019
26,28,202,39,19.31,87,43.07,76,37.62,26028
26,46,137,26,18.98,67,48.91,44,32.12,26046
27,1,306,78,25.49,143,46.73,85,27.78,27001
27,3,142,42,29.58,83,58.45,17,11.97,27003
27,4,129,50,38.76,62,48.06,17,13.18,27004
27,5,165,36,21.82,79,47.88,50,30.3,27005
27,8,166,58,34.94,80,48.19,28,16.87,27008
27,10,181,41,22.65,128,70.72,12,6.63,27010
27,11,130,29,22.31,49,37.69,52,40.0,27011
27,13,283,47,16.61,208,73.5,28,9.89,27013
27,14,40,15,37.5,21,52.5,4,10.0,27014
27,15,121,30,24.79,80,66.12,11,9.09,27015
27,16,61,8,13.11,37,60.66,16,26.23,27016
27,17,227,58,25.55,134,59.03,35,15.42,27017
27,19,110,24,21.82,72,65.45,14,12.73,27019
27,22,128,26,20.31,95,74.22,7,5.47,27022
27,23,182,48,26.37,117,64.29,17,9.34,27023
27,24,113,33,29.2,56,49.56,24,21.24,27024
27,25,171,56,32.75,84,49.12,31,18.13,27025
27,26,174,74,42.53,75,43.1,25,14.37,27026
27,27,255,74,29.02,143,56.08,38,14.9,27027
27,29,132,34,25.76,65,49.24,33,25.0,27029
27,30,118,66,55.93,41,34.75,11,9.32,27030
27,31,182,53,29.12,101,55.49,28,15.38,27031
27,32,226,83,36.73,108,47.79,35,15.49,27032
27,33,175,46,26.29,98,56.0,31,17.71,27033
