ward,precinct,total,Michael A. Forti,Michael A. Forti Percent,precinct_id
2,2,137,137,100.0,02002
2,9,124,124,100.0,02009
2,10,113,113,100.0,02010
2,11,183,183,100.0,02011
2,12,180,180,100.0,02012
2,13,187,187,100.0,02013
2,18,187,187,100.0,02018
2,19,91,91,100.0,02019
2,20,170,170,100.0,02020
2,22,205,205,100.0,02022
2,23,133,133,100.0,02023
2,24,152,152,100.0,02024
2,26,156,156,100.0,02026
2,27,138,138,100.0,02027
2,28,188,188,100.0,02028
2,29,208,208,100.0,02029
2,30,157,157,100.0,02030
2,31,237,237,100.0,02031
2,32,125,125,100.0,02032
2,33,303,303,100.0,02033
2,34,176,176,100.0,02034
2,35,202,202,100.0,02035
2,36,171,171,100.0,02036
2,37,201,201,100.0,02037
2,38,144,144,100.0,02038
2,39,106,106,100.0,02039
2,40,170,170,100.0,02040
2,41,175,175,100.0,02041
2,42,174,174,100.0,02042
2,43,190,190,100.0,02043
2,44,123,123,100.0,02044
2,45,196,196,100.0,02045
2,46,115,115,100.0,02046
3,3,134,134,100.0,03003
3,6,278,278,100.0,03006
3,13,273,273,100.0,03013
3,14,259,259,100.0,03014
3,17,322,322,100.0,03017
3,18,39,39,100.0,03018
3,19,234,234,100.0,03019
3,21,249,249,100.0,03021
3,22,287,287,100.0,03022
3,25,348,348,100.0,03025
3,26,263,263,100.0,03026
3,27,265,265,100.0,03027
3,32,285,285,100.0,03032
3,33,276,276,100.0,03033
3,34,296,296,100.0,03034
3,39,305,305,100.0,03039
3,40,193,193,100.0,03040
4,2,275,275,100.0,04002
4,6,73,73,100.0,04006
4,13,277,277,100.0,04013
4,16,359,359,100.0,04016
4,17,267,267,100.0,04017
4,20,219,219,100.0,04020
4,21,291,291,100.0,04021
4,25,267,267,100.0,04025
4,37,400,400,100.0,04037
11,30,83,83,100.0,11030
11,36,71,71,100.0,11036
11,37,46,46,100.0,11037
25,6,62,62,100.0,25006
25,14,101,101,100.0,25014
25,18,94,94,100.0,25018
25,21,263,263,100.0,25021
25,27,74,74,100.0,25027
27,6,163,163,100.0,27006
27,9,79,79,100.0,27009
27,11,32,32,100.0,27011
27,12,120,120,100.0,27012
27,20,101,101,100.0,27020
27,21,146,146,100.0,27021
27,28,139,139,100.0,27028
27,35,182,182,100.0,27035
27,37,153,153,100.0,27037
27,38,217,217,100.0,27038
27,42,112,112,100.0,27042
27,46,120,120,100.0,27046
27,47,120,120,100.0,27047
27,48,245,245,100.0,27048
32,7,234,234,100.0,32007
32,8,238,238,100.0,32008
32,10,212,212,100.0,32010
32,13,69,69,100.0,32013
32,18,180,180,100.0,32018
32,23,234,234,100.0,32023
32,27,17,17,100.0,32027
32,39,202,202,100.0,32039
40,13,243,243,100.0,40013
40,21,97,97,100.0,40021
40,22,277,277,100.0,40022
40,23,347,347,100.0,40023
40,26,291,291,100.0,40026
40,28,78,78,100.0,40028
40,31,288,288,100.0,40031
40,32,282,282,100.0,40032
40,33,266,266,100.0,40033
40,36,228,228,100.0,40036
42,1,169,169,100.0,42001
42,2,179,179,100.0,42002
42,4,386,386,100.0,42004
42,5,164,164,100.0,42005
42,6,214,214,100.0,42006
42,7,214,214,100.0,42007
42,8,198,198,100.0,42008
