ward,precinct,total,Yehiel ''Mark'' Kalish,Yehiel ''Mark'' Kalish Percent,Denyse Wang Stoneback,Denyse Wang Stoneback Percent,Kevin Olickal,Kevin Olickal Percent,precinct_id
40,4,128,35,27.34,59,46.09,34,26.56,40004
40,10,193,42,21.76,89,46.11,62,32.12,40010
40,29,0,0,0.0,0,0.0,0,0.0,40029
40,35,0,0,0.0,0,0.0,0,0.0,40035
40,39,53,16,30.19,27,50.94,10,18.87,40039
50,1,378,269,71.16,87,23.02,22,5.82,50001
50,2,209,130,62.2,56,26.79,23,11.0,50002
50,3,314,201,64.01,84,26.75,29,9.24,50003
50,4,285,102,35.79,125,43.86,58,20.35,50004
50,5,238,191,80.25,37,15.55,10,4.2,50005
50,6,255,92,36.08,119,46.67,44,17.25,50006
50,7,345,42,12.17,195,56.52,108,31.3,50007
50,8,31,4,12.9,20,64.52,7,22.58,50008
50,9,219,68,31.05,98,44.75,53,24.2,50009
50,10,263,173,65.78,55,20.91,35,13.31,50010
50,11,317,291,91.8,20,6.31,6,1.89,50011
50,12,117,58,49.57,44,37.61,15,12.82,50012
50,13,206,49,23.79,99,48.06,58,28.16,50013
50,14,101,57,56.44,35,34.65,9,8.91,50014
50,15,356,55,15.45,218,61.24,83,23.31,50015
50,16,90,56,62.22,29,32.22,5,5.56,50016
50,17,241,120,49.79,64,26.56,57,23.65,50017
50,18,71,62,87.32,8,11.27,1,1.41,50018
50,19,141,29,20.57,71,50.35,41,29.08,50019
50,20,251,46,18.33,120,47.81,85,33.86,50020
50,21,224,59,26.34,96,42.86,69,30.8,50021
50,22,264,176,66.67,56,21.21,32,12.12,50022
50,23,168,101,60.12,38,22.62,29,17.26,50023
50,25,266,178,66.92,53,19.92,35,13.16,50025
50,26,165,47,28.48,76,46.06,42,25.45,50026
50,27,85,39,45.88,28,32.94,18,21.18,50027
50,28,197,47,23.86,93,47.21,57,28.93,50028
50,29,148,41,27.7,66,44.59,41,27.7,50029
50,30,149,32,21.48,57,38.26,60,40.27,50030
50,31,246,59,23.98,111,45.12,76,30.89,50031
50,32,211,53,25.12,94,44.55,64,30.33,50032
50,33,331,257,77.64,60,18.13,14,4.23,50033
50,34,420,171,40.71,158,37.62,91,21.67,50034
50,35,333,64,19.22,181,54.35,88,26.43,50035
50,36,272,45,16.54,128,47.06,99,36.4,50036
50,37,275,62,22.55,151,54.91,62,22.55,50037
50,38,123,61,49.59,50,40.65,12,9.76,50038
50,39,153,92,60.13,40,26.14,21,13.73,50039
50,40,432,383,88.66,38,8.8,11,2.55,50040
