ward,precinct,total,Camille Lilly,Camille Lilly Percent,precinct_id
29,1,267,267,100.0,29001
29,4,234,234,100.0,29004
29,5,126,126,100.0,29005
29,7,227,227,100.0,29007
29,9,214,214,100.0,29009
29,10,287,287,100.0,29010
29,12,268,268,100.0,29012
29,13,209,209,100.0,29013
29,15,260,260,100.0,29015
29,17,214,214,100.0,29017
29,23,169,169,100.0,29023
29,24,159,159,100.0,29024
29,25,253,253,100.0,29025
29,26,196,196,100.0,29026
29,27,179,179,100.0,29027
29,30,86,86,100.0,29030
29,33,138,138,100.0,29033
29,35,135,135,100.0,29035
29,36,31,31,100.0,29036
29,37,180,180,100.0,29037
29,40,240,240,100.0,29040
29,41,170,170,100.0,29041
29,43,272,272,100.0,29043
29,44,229,229,100.0,29044
37,18,154,154,100.0,37018
37,29,79,79,100.0,37029
37,35,200,200,100.0,37035
37,37,170,170,100.0,37037
