ward,precinct,total,Sean Tenner,Sean Tenner Percent,precinct_id
46,1,214,214,100.0,46001
46,2,253,253,100.0,46002
46,3,319,319,100.0,46003
46,4,253,253,100.0,46004
46,5,287,287,100.0,46005
46,6,221,221,100.0,46006
46,7,287,287,100.0,46007
46,8,171,171,100.0,46008
46,9,317,317,100.0,46009
46,10,421,421,100.0,46010
46,11,227,227,100.0,46011
46,12,323,323,100.0,46012
46,13,244,244,100.0,46013
46,14,191,191,100.0,46014
46,15,275,275,100.0,46015
46,16,345,345,100.0,46016
46,17,322,322,100.0,46017
46,18,293,293,100.0,46018
46,19,210,210,100.0,46019
46,20,204,204,100.0,46020
46,21,145,145,100.0,46021
46,22,198,198,100.0,46022
46,23,227,227,100.0,46023
46,24,319,319,100.0,46024
46,25,241,241,100.0,46025
46,26,340,340,100.0,46026
46,27,338,338,100.0,46027
46,28,181,181,100.0,46028
46,29,181,181,100.0,46029
46,30,297,297,100.0,46030
46,31,280,280,100.0,46031
46,32,237,237,100.0,46032
46,33,273,273,100.0,46033
46,34,284,284,100.0,46034
46,35,226,226,100.0,46035
46,36,268,268,100.0,46036
46,37,187,187,100.0,46037
46,38,260,260,100.0,46038
46,39,209,209,100.0,46039
46,40,241,241,100.0,46040
