ward,precinct,total,Ryan Podges,Ryan Podges Percent,Margaret Croke,Margaret Croke Percent,Marty Malone,Marty Malone Percent,Jonathan A. ''Yoni'' Pizer,Jonathan A. ''Yoni'' Pizer Percent,James A. ''Jimmy'' Garfield,James A. ''Jimmy'' Garfield Percent,precinct_id
2,28,258,4,1.55,149,57.75,10,3.88,77,29.84,18,6.98,02028
2,30,207,8,3.86,112,54.11,13,6.28,63,30.43,11,5.31,02030
2,31,335,6,1.79,175,52.24,12,3.58,123,36.72,19,5.67,02031
2,33,417,18,4.32,231,55.4,20,4.8,128,30.7,20,4.8,02033
2,35,268,24,8.96,142,52.99,12,4.48,85,31.72,5,1.87,02035
2,37,269,6,2.23,157,58.36,14,5.2,83,30.86,9,3.35,02037
2,38,97,3,3.09,53,54.64,7,7.22,29,29.9,5,5.15,02038
2,44,158,7,4.43,97,61.39,4,2.53,48,30.38,2,1.27,02044
27,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27009
27,12,154,6,3.9,77,50.0,6,3.9,57,37.01,8,5.19,27012
27,46,171,9,5.26,84,49.12,7,4.09,62,36.26,9,5.26,27046
43,4,273,13,4.76,135,49.45,12,4.4,100,36.63,13,4.76,43004
43,8,195,4,2.05,100,51.28,7,3.59,74,37.95,10,5.13,43008
43,12,169,9,5.33,92,54.44,8,4.73,48,28.4,12,7.1,43012
43,13,242,9,3.72,121,50.0,4,1.65,88,36.36,20,8.26,43013
43,14,340,7,2.06,203,59.71,7,2.06,108,31.76,15,4.41,43014
43,15,282,9,3.19,159,56.38,21,7.45,85,30.14,8,2.84,43015
43,19,320,9,2.81,180,56.25,11,3.44,103,32.19,17,5.31,43019
43,25,269,6,2.23,137,50.93,6,2.23,103,38.29,17,6.32,43025
43,26,235,3,1.28,127,54.04,6,2.55,85,36.17,14,5.96,43026
43,27,295,14,4.75,153,51.86,8,2.71,116,39.32,4,1.36,43027
43,28,260,8,3.08,150,57.69,12,4.62,75,28.85,15,5.77,43028
43,32,315,16,5.08,171,54.29,7,2.22,106,33.65,15,4.76,43032
43,33,294,9,3.06,138,46.94,8,2.72,126,42.86,13,4.42,43033
43,34,185,8,4.32,98,52.97,5,2.7,60,32.43,14,7.57,43034
43,36,172,9,5.23,85,49.42,3,1.74,66,38.37,9,5.23,43036
43,38,230,6,2.61,108,46.96,5,2.17,103,44.78,8,3.48,43038
43,42,269,7,2.6,142,52.79,6,2.23,103,38.29,11,4.09,43042
43,43,292,9,3.08,165,56.51,5,1.71,104,35.62,9,3.08,43043
44,1,392,25,6.38,159,40.56,5,1.28,185,47.19,18,4.59,44001
44,3,254,7,2.76,121,47.64,3,1.18,116,45.67,7,2.76,44003
44,4,216,9,4.17,103,47.69,6,2.78,82,37.96,16,7.41,44004
44,5,260,17,6.54,105,40.38,3,1.15,115,44.23,20,7.69,44005
44,6,453,14,3.09,219,48.34,14,3.09,168,37.09,38,8.39,44006
44,7,232,7,3.02,103,44.4,8,3.45,104,44.83,10,4.31,44007
44,8,303,20,6.6,158,52.15,7,2.31,97,32.01,21,6.93,44008
44,10,312,12,3.85,154,49.36,9,2.88,115,36.86,22,7.05,44010
44,11,107,6,5.61,51,47.66,2,1.87,44,41.12,4,3.74,44011
44,12,374,10,2.67,126,33.69,3,0.8,216,57.75,19,5.08,44012
44,13,273,11,4.03,137,50.18,2,0.73,109,39.93,14,5.13,44013
44,14,203,13,6.4,94,46.31,7,3.45,77,37.93,12,5.91,44014
44,15,311,3,0.96,101,32.48,8,2.57,182,58.52,17,5.47,44015
44,17,393,24,6.11,168,42.75,4,1.02,164,41.73,33,8.4,44017
44,18,318,9,2.83,171,53.77,11,3.46,111,34.91,16,5.03,44018
44,19,430,19,4.42,170,39.53,8,1.86,220,51.16,13,3.02,44019
44,20,301,15,4.98,128,42.52,7,2.33,132,43.85,19,6.31,44020
44,21,381,20,5.25,135,35.43,8,2.1,193,50.66,25,6.56,44021
44,22,398,8,2.01,165,41.46,10,2.51,205,51.51,10,2.51,44022
44,23,339,13,3.83,165,48.67,3,0.88,138,40.71,20,5.9,44023
44,24,235,7,2.98,95,40.43,2,0.85,120,51.06,11,4.68,44024
44,25,19,0,0.0,6,31.58,0,0.0,13,68.42,0,0.0,44025
44,26,385,23,5.97,159,41.3,6,1.56,171,44.42,26,6.75,44026
44,27,393,10,2.54,182,46.31,13,3.31,167,42.49,21,5.34,44027
44,28,308,9,2.92,121,39.29,7,2.27,158,51.3,13,4.22,44028
44,29,350,15,4.29,175,50.0,9,2.57,134,38.29,17,4.86,44029
44,31,256,15,5.86,97,37.89,14,5.47,121,47.27,9,3.52,44031
44,32,352,13,3.69,135,38.35,6,1.7,182,51.7,16,4.55,44032
44,33,290,23,7.93,102,35.17,1,0.34,149,51.38,15,5.17,44033
44,34,404,13,3.22,139,34.41,13,3.22,216,53.47,23,5.69,44034
44,35,286,14,4.9,123,43.01,4,1.4,117,40.91,28,9.79,44035
44,36,279,19,6.81,131,46.95,3,1.08,111,39.78,15,5.38,44036
44,37,441,16,3.63,180,40.82,3,0.68,220,49.89,22,4.99,44037
44,38,298,13,4.36,130,43.62,7,2.35,127,42.62,21,7.05,44038
44,39,315,8,2.54,155,49.21,6,1.9,124,39.37,22,6.98,44039
44,40,330,9,2.73,169,51.21,5,1.52,125,37.88,22,6.67,44040
44,41,420,17,4.05,205,48.81,19,4.52,154,36.67,25,5.95,44041
46,3,428,9,2.1,178,41.59,10,2.34,194,45.33,37,8.64,46003
46,5,392,9,2.3,181,46.17,7,1.79,158,40.31,37,9.44,46005
46,7,383,19,4.96,170,44.39,13,3.39,161,42.04,20,5.22,46007
46,9,417,13,3.12,195,46.76,8,1.92,171,41.01,30,7.19,46009
46,10,542,21,3.87,230,42.44,13,2.4,236,43.54,42,7.75,46010
46,11,286,16,5.59,106,37.06,9,3.15,129,45.1,26,9.09,46011
46,13,326,8,2.45,155,47.55,6,1.84,132,40.49,25,7.67,46013
46,15,346,12,3.47,139,40.17,16,4.62,142,41.04,37,10.69,46015
46,17,405,18,4.44,162,40.0,11,2.72,171,42.22,43,10.62,46017
46,18,381,21,5.51,180,47.24,13,3.41,147,38.58,20,5.25,46018
46,19,273,12,4.4,97,35.53,10,3.66,142,52.01,12,4.4,46019
46,24,425,17,4.0,206,48.47,11,2.59,161,37.88,30,7.06,46024
46,26,170,6,3.53,85,50.0,4,2.35,62,36.47,13,7.65,46026
46,27,429,15,3.5,182,42.42,15,3.5,166,38.69,51,11.89,46027
46,28,234,6,2.56,107,45.73,9,3.85,99,42.31,13,5.56,46028
46,29,190,5,2.63,75,39.47,9,4.74,82,43.16,19,10.0,46029
46,30,376,19,5.05,170,45.21,15,3.99,156,41.49,16,4.26,46030
46,31,362,13,3.59,134,37.02,9,2.49,177,48.9,29,8.01,46031
46,33,383,10,2.61,143,37.34,7,1.83,192,50.13,31,8.09,46033
46,34,384,16,4.17,171,44.53,11,2.86,154,40.1,32,8.33,46034
46,35,269,19,7.06,107,39.78,6,2.23,108,40.15,29,10.78,46035
46,36,361,17,4.71,130,36.01,14,3.88,175,48.48,25,6.93,46036
46,38,340,11,3.24,172,50.59,9,2.65,114,33.53,34,10.0,46038
46,39,318,17,5.35,127,39.94,14,4.4,149,46.86,11,3.46,46039
