ward,precinct,total,Tom Tunney,Tom Tunney Percent,precinct_id
44,1,333,333,100.0,44001
44,2,261,261,100.0,44002
44,3,233,233,100.0,44003
44,4,184,184,100.0,44004
44,5,220,220,100.0,44005
44,6,368,368,100.0,44006
44,7,222,222,100.0,44007
44,8,263,263,100.0,44008
44,9,242,242,100.0,44009
44,10,254,254,100.0,44010
44,11,295,295,100.0,44011
44,12,313,313,100.0,44012
44,13,237,237,100.0,44013
44,14,174,174,100.0,44014
44,15,252,252,100.0,44015
44,16,320,320,100.0,44016
44,17,346,346,100.0,44017
44,18,277,277,100.0,44018
44,19,348,348,100.0,44019
44,20,263,263,100.0,44020
44,21,318,318,100.0,44021
44,22,309,309,100.0,44022
44,23,278,278,100.0,44023
44,24,209,209,100.0,44024
44,25,282,282,100.0,44025
44,26,344,344,100.0,44026
44,27,336,336,100.0,44027
44,28,255,255,100.0,44028
44,29,298,298,100.0,44029
44,30,321,321,100.0,44030
44,31,227,227,100.0,44031
44,32,308,308,100.0,44032
44,33,249,249,100.0,44033
44,34,326,326,100.0,44034
44,35,249,249,100.0,44035
44,36,242,242,100.0,44036
44,37,340,340,100.0,44037
44,38,245,245,100.0,44038
44,39,277,277,100.0,44039
44,40,267,267,100.0,44040
44,41,354,354,100.0,44041
