ward,precinct,total,Sondra Nicole Denmark,Sondra Nicole Denmark Percent,Felicia H. Simmons-Stovall,Felicia H. Simmons-Stovall Percent,Chelsey R. Robinson,Chelsey R. Robinson Percent,precinct_id
9,1,191,58,30.37,84,43.98,49,25.65,09001
9,2,190,54,28.42,59,31.05,77,40.53,09002
9,3,115,34,29.57,34,29.57,47,40.87,09003
9,4,164,47,28.66,60,36.59,57,34.76,09004
9,5,191,63,32.98,63,32.98,65,34.03,09005
9,6,208,73,35.1,75,36.06,60,28.85,09006
9,7,127,42,33.07,41,32.28,44,34.65,09007
9,8,177,60,33.9,61,34.46,56,31.64,09008
9,9,219,73,33.33,79,36.07,67,30.59,09009
9,10,167,40,23.95,50,29.94,77,46.11,09010
9,11,137,45,32.85,40,29.2,52,37.96,09011
9,13,16,2,12.5,6,37.5,8,50.0,09013
9,14,47,21,44.68,12,25.53,14,29.79,09014
9,15,164,53,32.32,44,26.83,67,40.85,09015
9,16,219,67,30.59,73,33.33,79,36.07,09016
9,17,124,41,33.06,44,35.48,39,31.45,09017
9,18,144,44,30.56,43,29.86,57,39.58,09018
9,19,189,56,29.63,87,46.03,46,24.34,09019
9,20,180,55,30.56,70,38.89,55,30.56,09020
9,21,185,62,33.51,58,31.35,65,35.14,09021
9,22,221,75,33.94,80,36.2,66,29.86,09022
9,26,161,44,27.33,55,34.16,62,38.51,09026
9,27,172,62,36.05,63,36.63,47,27.33,09027
9,28,88,23,26.14,28,31.82,37,42.05,09028
9,29,121,31,25.62,52,42.98,38,31.4,09029
9,30,151,53,35.1,56,37.09,42,27.81,09030
9,31,139,50,35.97,44,31.65,45,32.37,09031
9,32,205,70,34.15,69,33.66,66,32.2,09032
9,33,142,47,33.1,44,30.99,51,35.92,09033
9,34,149,48,32.21,44,29.53,57,38.26,09034
9,35,78,25,32.05,34,43.59,19,24.36,09035
9,37,261,131,50.19,57,21.84,73,27.97,09037
9,38,198,58,29.29,78,39.39,62,31.31,09038
9,39,229,75,32.75,64,27.95,90,39.3,09039
9,40,248,86,34.68,82,33.06,80,32.26,09040
9,41,170,57,33.53,54,31.76,59,34.71,09041
9,43,149,44,29.53,48,32.21,57,38.26,09043
9,44,191,58,30.37,70,36.65,63,32.98,09044
