ward,precinct,total,Anthony A. Beale,Anthony A. Beale Percent,precinct_id
9,1,169,169,100.0,09001
9,2,174,174,100.0,09002
9,3,90,90,100.0,09003
9,4,153,153,100.0,09004
9,5,158,158,100.0,09005
9,6,174,174,100.0,09006
9,7,111,111,100.0,09007
9,8,151,151,100.0,09008
9,9,208,208,100.0,09009
9,10,145,145,100.0,09010
9,11,118,118,100.0,09011
9,12,211,211,100.0,09012
9,13,249,249,100.0,09013
9,14,239,239,100.0,09014
9,15,141,141,100.0,09015
9,16,207,207,100.0,09016
9,17,126,126,100.0,09017
9,18,136,136,100.0,09018
9,19,176,176,100.0,09019
9,20,170,170,100.0,09020
9,21,186,186,100.0,09021
9,22,201,201,100.0,09022
9,23,198,198,100.0,09023
9,24,222,222,100.0,09024
9,25,180,180,100.0,09025
9,26,156,156,100.0,09026
9,27,154,154,100.0,09027
9,28,83,83,100.0,09028
9,29,90,90,100.0,09029
9,30,135,135,100.0,09030
9,31,124,124,100.0,09031
9,32,188,188,100.0,09032
9,33,108,108,100.0,09033
9,34,124,124,100.0,09034
9,35,188,188,100.0,09035
9,36,134,134,100.0,09036
9,37,249,249,100.0,09037
9,38,181,181,100.0,09038
9,39,200,200,100.0,09039
9,40,215,215,100.0,09040
9,41,160,160,100.0,09041
9,42,206,206,100.0,09042
9,43,131,131,100.0,09043
9,44,166,166,100.0,09044
9,45,129,129,100.0,09045
9,46,174,174,100.0,09046
9,47,213,213,100.0,09047
9,48,211,211,100.0,09048
9,49,233,233,100.0,09049
9,50,298,298,100.0,09050
9,51,217,217,100.0,09051
