ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
17,18,6,6,100.0,17018
18,9,131,131,100.0,18009
18,19,5,5,100.0,18019
18,26,66,66,100.0,18026
18,32,199,199,100.0,18032
18,34,262,262,100.0,18034
19,3,162,162,100.0,19003
19,5,328,328,100.0,19005
19,9,173,173,100.0,19009
19,12,193,193,100.0,19012
19,16,29,29,100.0,19016
19,18,59,59,100.0,19018
19,24,171,171,100.0,19024
19,30,14,14,100.0,19030
19,33,68,68,100.0,19033
19,55,163,163,100.0,19055
19,56,210,210,100.0,19056
21,3,0,0,0.0,21003
21,7,206,206,100.0,21007
21,9,221,221,100.0,21009
21,13,161,161,100.0,21013
21,15,36,36,100.0,21015
21,26,10,10,100.0,21026
21,29,139,139,100.0,21029
