ward,precinct,total,Pamela ''Pam'' Stratigakis,Pamela ''Pam'' Stratigakis Percent,Thomas M. Cushing,Thomas M. Cushing Percent,Ira I. Silverstein,Ira I. Silverstein Percent,Timothy Patrick Carter,Timothy Patrick Carter Percent,precinct_id
39,13,8,6,75.0,0,0.0,1,12.5,1,12.5,39013
39,18,21,12,57.14,2,9.52,7,33.33,0,0.0,39018
39,32,97,40,41.24,20,20.62,29,29.9,8,8.25,39032
39,36,9,6,66.67,1,11.11,2,22.22,0,0.0,39036
40,9,174,50,28.74,45,25.86,42,24.14,37,21.26,40009
40,10,62,31,50.0,9,14.52,14,22.58,8,12.9,40010
40,18,119,47,39.5,36,30.25,21,17.65,15,12.61,40018
40,27,341,175,51.32,72,21.11,65,19.06,29,8.5,40027
40,28,215,106,49.3,59,27.44,32,14.88,18,8.37,40028
40,35,108,49,45.37,30,27.78,21,19.44,8,7.41,40035
40,37,257,112,43.58,69,26.85,45,17.51,31,12.06,40037
41,6,152,68,44.74,61,40.13,16,10.53,7,4.61,41006
41,9,182,81,44.51,54,29.67,33,18.13,14,7.69,41009
41,14,107,44,41.12,44,41.12,11,10.28,8,7.48,41014
41,19,243,107,44.03,80,32.92,36,14.81,20,8.23,41019
41,47,138,63,45.65,49,35.51,11,7.97,15,10.87,41047
48,13,351,163,46.44,89,25.36,65,18.52,34,9.69,48013
48,15,171,71,41.52,52,30.41,29,16.96,19,11.11,48015
48,22,262,129,49.24,77,29.39,34,12.98,22,8.4,48022
48,27,151,69,45.7,43,28.48,23,15.23,16,10.6,48027
48,31,110,55,50.0,30,27.27,17,15.45,8,7.27,48031
48,32,172,82,47.67,39,22.67,36,20.93,15,8.72,48032
48,33,167,70,41.92,58,34.73,25,14.97,14,8.38,48033
48,46,177,72,40.68,55,31.07,28,15.82,22,12.43,48046
49,1,167,75,44.91,40,23.95,21,12.57,31,18.56,49001
49,3,321,134,41.74,134,41.74,36,11.21,17,5.3,49003
49,4,397,176,44.33,121,30.48,64,16.12,36,9.07,49004
49,5,265,116,43.77,89,33.58,29,10.94,31,11.7,49005
49,6,262,115,43.89,95,36.26,36,13.74,16,6.11,49006
49,7,239,96,40.17,102,42.68,29,12.13,12,5.02,49007
49,8,198,90,45.45,62,31.31,26,13.13,20,10.1,49008
49,9,284,130,45.77,102,35.92,32,11.27,20,7.04,49009
49,10,308,138,44.81,114,37.01,39,12.66,17,5.52,49010
49,11,345,150,43.48,130,37.68,36,10.43,29,8.41,49011
49,12,372,187,50.27,113,30.38,47,12.63,25,6.72,49012
49,13,323,151,46.75,108,33.44,40,12.38,24,7.43,49013
49,14,188,75,39.89,58,30.85,30,15.96,25,13.3,49014
49,15,171,76,44.44,51,29.82,30,17.54,14,8.19,49015
49,16,262,105,40.08,101,38.55,34,12.98,22,8.4,49016
49,18,400,181,45.25,134,33.5,58,14.5,27,6.75,49018
49,19,240,111,46.25,68,28.33,34,14.17,27,11.25,49019
49,20,437,214,48.97,144,32.95,51,11.67,28,6.41,49020
49,21,149,55,36.91,43,28.86,31,20.81,20,13.42,49021
49,22,269,102,37.92,101,37.55,36,13.38,30,11.15,49022
49,23,391,200,51.15,117,29.92,48,12.28,26,6.65,49023
49,24,166,84,50.6,43,25.9,25,15.06,14,8.43,49024
49,25,279,133,47.67,93,33.33,37,13.26,16,5.73,49025
49,26,347,175,50.43,112,32.28,37,10.66,23,6.63,49026
49,27,292,137,46.92,85,29.11,49,16.78,21,7.19,49027
49,28,398,196,49.25,122,30.65,54,13.57,26,6.53,49028
49,29,342,161,47.08,115,33.63,49,14.33,17,4.97,49029
49,30,262,104,39.69,89,33.97,37,14.12,32,12.21,49030
49,31,218,90,41.28,73,33.49,29,13.3,26,11.93,49031
49,32,269,131,48.7,68,25.28,37,13.75,33,12.27,49032
49,33,198,83,41.92,74,37.37,19,9.6,22,11.11,49033
50,1,319,54,16.93,58,18.18,198,62.07,9,2.82,50001
50,2,174,35,20.11,25,14.37,107,61.49,7,4.02,50002
50,3,273,49,17.95,47,17.22,169,61.9,8,2.93,50003
50,4,254,74,29.13,75,29.53,89,35.04,16,6.3,50004
50,5,207,21,10.14,26,12.56,157,75.85,3,1.45,50005
50,6,233,76,32.62,47,20.17,87,37.34,23,9.87,50006
50,7,301,108,35.88,134,44.52,44,14.62,15,4.98,50007
50,8,176,66,37.5,43,24.43,56,31.82,11,6.25,50008
50,9,196,43,21.94,69,35.2,76,38.78,8,4.08,50009
50,10,233,49,21.03,32,13.73,138,59.23,14,6.01,50010
50,11,283,21,7.42,25,8.83,236,83.39,1,0.35,50011
50,12,99,23,23.23,17,17.17,51,51.52,8,8.08,50012
50,13,189,76,40.21,46,24.34,51,26.98,16,8.47,50013
50,14,85,29,34.12,7,8.24,47,55.29,2,2.35,50014
50,15,302,143,47.35,97,32.12,45,14.9,17,5.63,50015
50,16,72,11,15.28,13,18.06,47,65.28,1,1.39,50016
50,17,210,61,29.05,19,9.05,120,57.14,10,4.76,50017
