ward,precinct,total,Sheree Desiree Henry,Sheree Desiree Henry Percent,Dan Walsh,Dan Walsh Percent,Amanda ''Mandy'' Pillsbury,Amanda ''Mandy'' Pillsbury Percent,Keely Patricia Hillison,Keely Patricia Hillison Percent,precinct_id
1,1,253,159,62.85,21,8.3,48,18.97,25,9.88,01001
1,2,240,123,51.25,42,17.5,47,19.58,28,11.67,01002
1,3,268,184,68.66,21,7.84,42,15.67,21,7.84,01003
1,4,227,148,65.2,24,10.57,34,14.98,21,9.25,01004
1,5,232,156,67.24,15,6.47,40,17.24,21,9.05,01005
1,6,209,110,52.63,24,11.48,48,22.97,27,12.92,01006
1,7,193,113,58.55,17,8.81,40,20.73,23,11.92,01007
1,8,188,109,57.98,21,11.17,36,19.15,22,11.7,01008
1,9,171,100,58.48,18,10.53,37,21.64,16,9.36,01009
1,10,239,153,64.02,29,12.13,43,17.99,14,5.86,01010
1,11,247,164,66.4,21,8.5,38,15.38,24,9.72,01011
1,12,301,193,64.12,26,8.64,56,18.6,26,8.64,01012
1,13,123,77,62.6,13,10.57,19,15.45,14,11.38,01013
1,14,232,136,58.62,21,9.05,48,20.69,27,11.64,01014
1,15,186,106,56.99,19,10.22,34,18.28,27,14.52,01015
1,16,325,210,64.62,30,9.23,60,18.46,25,7.69,01016
1,17,237,145,61.18,22,9.28,48,20.25,22,9.28,01017
1,18,225,145,64.44,26,11.56,33,14.67,21,9.33,01018
1,19,254,173,68.11,19,7.48,37,14.57,25,9.84,01019
1,20,228,146,64.04,22,9.65,35,15.35,25,10.96,01020
1,21,293,182,62.12,26,8.87,63,21.5,22,7.51,01021
1,22,150,102,68.0,12,8.0,25,16.67,11,7.33,01022
1,23,403,280,69.48,29,7.2,55,13.65,39,9.68,01023
1,24,243,131,53.91,27,11.11,55,22.63,30,12.35,01024
1,25,229,140,61.14,25,10.92,42,18.34,22,9.61,01025
1,26,167,89,53.29,21,12.57,38,22.75,19,11.38,01026
1,27,261,164,62.84,19,7.28,47,18.01,31,11.88,01027
1,28,68,32,47.06,12,17.65,14,20.59,10,14.71,01028
1,29,282,177,62.77,30,10.64,42,14.89,33,11.7,01029
1,30,291,193,66.32,25,8.59,46,15.81,27,9.28,01030
1,31,165,90,54.55,20,12.12,38,23.03,17,10.3,01031
1,32,222,112,50.45,25,11.26,54,24.32,31,13.96,01032
1,33,254,149,58.66,31,12.2,48,18.9,26,10.24,01033
1,34,216,146,67.59,11,5.09,35,16.2,24,11.11,01034
1,35,268,157,58.58,32,11.94,55,20.52,24,8.96,01035
1,36,239,158,66.11,24,10.04,40,16.74,17,7.11,01036
1,37,195,121,62.05,21,10.77,38,19.49,15,7.69,01037
1,38,170,100,58.82,16,9.41,35,20.59,19,11.18,01038
1,39,164,96,58.54,18,10.98,33,20.12,17,10.37,01039
1,40,241,120,49.79,38,15.77,52,21.58,31,12.86,01040
1,41,158,101,63.92,13,8.23,30,18.99,14,8.86,01041
1,42,71,42,59.15,5,7.04,16,22.54,8,11.27,01042
1,43,148,93,62.84,17,11.49,32,21.62,6,4.05,01043
1,44,210,136,64.76,20,9.52,32,15.24,22,10.48,01044
2,1,235,140,59.57,24,10.21,47,20.0,24,10.21,02001
2,2,157,88,56.05,29,18.47,28,17.83,12,7.64,02002
2,3,247,172,69.64,27,10.93,36,14.57,12,4.86,02003
2,4,218,151,69.27,16,7.34,28,12.84,23,10.55,02004
2,5,268,164,61.19,26,9.7,48,17.91,30,11.19,02005
2,6,227,127,55.95,32,14.1,48,21.15,20,8.81,02006
2,7,156,102,65.38,12,7.69,32,20.51,10,6.41,02007
2,8,226,151,66.81,19,8.41,44,19.47,12,5.31,02008
