ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,2,168,168,100.0,33002
33,7,71,71,100.0,33007
35,30,5,5,100.0,35030
39,1,215,215,100.0,39001
39,2,149,149,100.0,39002
39,4,200,200,100.0,39004
39,5,238,238,100.0,39005
39,6,193,193,100.0,39006
39,7,191,191,100.0,39007
39,8,215,215,100.0,39008
39,9,179,179,100.0,39009
39,10,117,117,100.0,39010
39,11,201,201,100.0,39011
39,12,148,148,100.0,39012
39,13,159,159,100.0,39013
39,14,219,219,100.0,39014
39,15,220,220,100.0,39015
39,16,142,142,100.0,39016
39,17,226,226,100.0,39017
39,18,203,203,100.0,39018
39,19,220,220,100.0,39019
39,24,12,12,100.0,39024
39,25,32,32,100.0,39025
39,26,189,189,100.0,39026
39,27,38,38,100.0,39027
39,29,130,130,100.0,39029
39,30,218,218,100.0,39030
39,31,23,23,100.0,39031
39,32,164,164,100.0,39032
39,33,220,220,100.0,39033
39,35,200,200,100.0,39035
39,36,57,57,100.0,39036
39,37,205,205,100.0,39037
39,38,137,137,100.0,39038
39,39,171,171,100.0,39039
39,40,208,208,100.0,39040
39,41,238,238,100.0,39041
39,42,248,248,100.0,39042
39,43,204,204,100.0,39043
39,44,164,164,100.0,39044
39,45,200,200,100.0,39045
41,6,290,290,100.0,41006
41,9,184,184,100.0,41009
41,14,264,264,100.0,41014
41,19,197,197,100.0,41019
41,32,182,182,100.0,41032
41,39,254,254,100.0,41039
41,47,246,246,100.0,41047
45,32,51,51,100.0,45032
50,24,132,132,100.0,50024
50,25,25,25,100.0,50025
