ward,precinct,total,Robert Peters,Robert Peters Percent,Ken Thomas,Ken Thomas Percent,precinct_id
2,2,169,121,71.6,48,28.4,02002
2,10,148,101,68.24,47,31.76,02010
2,11,219,130,59.36,89,40.64,02011
2,13,239,159,66.53,80,33.47,02013
2,18,234,151,64.53,83,35.47,02018
2,19,116,78,67.24,38,32.76,02019
2,23,153,100,65.36,53,34.64,02023
2,27,113,75,66.37,38,33.63,02027
2,29,151,89,58.94,62,41.06,02029
2,34,210,139,66.19,71,33.81,02034
2,42,82,50,60.98,32,39.02,02042
3,2,26,15,57.69,11,42.31,03002
3,4,343,131,38.19,212,61.81,03004
3,11,55,23,41.82,32,58.18,03011
3,12,121,46,38.02,75,61.98,03012
3,19,290,181,62.41,109,37.59,03019
3,21,99,56,56.57,43,43.43,03021
3,27,141,89,63.12,52,36.88,03027
3,30,254,129,50.79,125,49.21,03030
3,31,186,88,47.31,98,52.69,03031
4,1,444,256,57.66,188,42.34,04001
4,3,243,121,49.79,122,50.21,04003
4,4,399,203,50.88,196,49.12,04004
4,5,372,144,38.71,228,61.29,04005
4,6,102,38,37.25,64,62.75,04006
4,7,392,162,41.33,230,58.67,04007
4,8,356,172,48.31,184,51.69,04008
4,9,413,203,49.15,210,50.85,04009
4,10,422,163,38.63,259,61.37,04010
4,11,195,86,44.1,109,55.9,04011
4,12,369,166,44.99,203,55.01,04012
4,15,362,160,44.2,202,55.8,04015
4,18,326,130,39.88,196,60.12,04018
4,19,216,116,53.7,100,46.3,04019
4,22,322,155,48.14,167,51.86,04022
4,23,428,253,59.11,175,40.89,04023
4,24,301,149,49.5,152,50.5,04024
4,26,279,134,48.03,145,51.97,04026
4,27,440,227,51.59,213,48.41,04027
4,28,274,117,42.7,157,57.3,04028
4,29,273,123,45.05,150,54.95,04029
4,30,373,161,43.16,212,56.84,04030
4,31,370,203,54.86,167,45.14,04031
4,32,337,165,48.96,172,51.04,04032
4,33,319,170,53.29,149,46.71,04033
4,34,269,133,49.44,136,50.56,04034
4,35,337,145,43.03,192,56.97,04035
4,36,185,71,38.38,114,61.62,04036
4,38,226,115,50.88,111,49.12,04038
5,1,239,79,33.05,160,66.95,05001
5,3,323,234,72.45,89,27.55,05003
5,4,365,205,56.16,160,43.84,05004
5,5,237,114,48.1,123,51.9,05005
5,6,231,77,33.33,154,66.67,05006
5,7,297,118,39.73,179,60.27,05007
5,8,337,252,74.78,85,25.22,05008
5,9,393,248,63.1,145,36.9,05009
5,10,209,84,40.19,125,59.81,05010
5,11,326,210,64.42,116,35.58,05011
5,13,220,97,44.09,123,55.91,05013
5,14,270,95,35.19,175,64.81,05014
5,15,280,157,56.07,123,43.93,05015
