ward,precinct,total,Lamont J. Robinson,Lamont J. Robinson Percent,precinct_id
2,27,54,54,100.0,02027
2,29,83,83,100.0,02029
2,32,139,139,100.0,02032
2,36,182,182,100.0,02036
2,38,98,98,100.0,02038
2,39,120,120,100.0,02039
2,40,210,210,100.0,02040
2,41,134,134,100.0,02041
2,42,133,133,100.0,02042
2,43,234,234,100.0,02043
2,45,227,227,100.0,02045
3,1,279,279,100.0,03001
3,2,310,310,100.0,03002
3,3,3,3,100.0,03003
3,6,295,295,100.0,03006
3,7,178,178,100.0,03007
3,8,168,168,100.0,03008
3,9,315,315,100.0,03009
3,11,171,171,100.0,03011
3,12,173,173,100.0,03012
3,14,262,262,100.0,03014
3,15,213,213,100.0,03015
3,16,219,219,100.0,03016
3,17,330,330,100.0,03017
3,18,178,178,100.0,03018
3,20,293,293,100.0,03020
3,21,185,185,100.0,03021
3,22,290,290,100.0,03022
3,23,168,168,100.0,03023
3,24,190,190,100.0,03024
3,25,365,365,100.0,03025
3,27,159,159,100.0,03027
3,28,161,161,100.0,03028
3,29,212,212,100.0,03029
3,31,134,134,100.0,03031
3,32,312,312,100.0,03032
3,33,285,285,100.0,03033
3,34,325,325,100.0,03034
3,35,132,132,100.0,03035
3,36,85,85,100.0,03036
3,37,243,243,100.0,03037
3,38,217,217,100.0,03038
3,39,339,339,100.0,03039
3,40,213,213,100.0,03040
3,41,71,71,100.0,03041
4,2,304,304,100.0,04002
4,6,262,262,100.0,04006
4,11,75,75,100.0,04011
4,14,254,254,100.0,04014
4,16,322,322,100.0,04016
4,21,36,36,100.0,04021
4,25,298,298,100.0,04025
4,36,183,183,100.0,04036
4,38,110,110,100.0,04038
5,2,173,173,100.0,05002
5,12,150,150,100.0,05012
5,13,21,21,100.0,05013
5,30,83,83,100.0,05030
6,7,12,12,100.0,06007
7,1,44,44,100.0,07001
7,3,1,1,100.0,07003
8,1,133,133,100.0,08001
8,2,65,65,100.0,08002
8,9,141,141,100.0,08009
8,13,208,208,100.0,08013
8,16,64,64,100.0,08016
8,20,256,256,100.0,08020
8,21,258,258,100.0,08021
8,26,74,74,100.0,08026
8,28,203,203,100.0,08028
8,43,21,21,100.0,08043
8,54,90,90,100.0,08054
8,55,211,211,100.0,08055
20,1,194,194,100.0,20001
20,3,155,155,100.0,20003
20,7,180,180,100.0,20007
20,8,114,114,100.0,20008
20,10,110,110,100.0,20010
20,11,237,237,100.0,20011
20,12,134,134,100.0,20012
20,14,97,97,100.0,20014
20,18,116,116,100.0,20018
20,19,185,185,100.0,20019
20,23,141,141,100.0,20023
20,27,28,28,100.0,20027
20,30,81,81,100.0,20030
20,31,215,215,100.0,20031
20,33,134,134,100.0,20033
20,35,104,104,100.0,20035
20,37,41,41,100.0,20037
20,39,7,7,100.0,20039
27,38,82,82,100.0,27038
42,10,231,231,100.0,42010
42,14,148,148,100.0,42014
42,15,43,43,100.0,42015
42,19,154,154,100.0,42019
42,20,198,198,100.0,42020
42,22,71,71,100.0,42022
42,23,192,192,100.0,42023
42,25,209,209,100.0,42025
42,27,181,181,100.0,42027
42,32,194,194,100.0,42032
42,33,253,253,100.0,42033
42,39,260,260,100.0,42039
42,40,62,62,100.0,42040
42,42,389,389,100.0,42042
