ward,precinct,total,Will Guzzardi,Will Guzzardi Percent,precinct_id
1,2,73,73,100.0,01002
1,7,198,198,100.0,01007
1,9,181,181,100.0,01009
1,13,131,131,100.0,01013
1,16,324,324,100.0,01016
1,17,31,31,100.0,01017
1,19,283,283,100.0,01019
1,23,405,405,100.0,01023
1,34,220,220,100.0,01034
1,41,148,148,100.0,01041
1,42,34,34,100.0,01042
1,43,144,144,100.0,01043
26,7,215,215,100.0,26007
26,34,167,167,100.0,26034
26,37,12,12,100.0,26037
30,1,214,214,100.0,30001
30,4,170,170,100.0,30004
30,7,202,202,100.0,30007
30,9,94,94,100.0,30009
30,17,159,159,100.0,30017
30,18,107,107,100.0,30018
30,19,43,43,100.0,30019
30,20,204,204,100.0,30020
30,23,197,197,100.0,30023
30,24,64,64,100.0,30024
30,25,166,166,100.0,30025
30,26,96,96,100.0,30026
30,27,125,125,100.0,30027
30,31,107,107,100.0,30031
31,1,93,93,100.0,31001
31,2,83,83,100.0,31002
31,5,134,134,100.0,31005
31,6,68,68,100.0,31006
31,7,243,243,100.0,31007
31,8,98,98,100.0,31008
31,9,101,101,100.0,31009
31,10,151,151,100.0,31010
31,11,90,90,100.0,31011
31,12,102,102,100.0,31012
31,13,127,127,100.0,31013
31,14,77,77,100.0,31014
31,17,86,86,100.0,31017
31,18,93,93,100.0,31018
31,20,75,75,100.0,31020
31,21,26,26,100.0,31021
31,23,125,125,100.0,31023
31,24,125,125,100.0,31024
31,26,126,126,100.0,31026
31,27,92,92,100.0,31027
31,28,83,83,100.0,31028
31,29,78,78,100.0,31029
31,30,81,81,100.0,31030
31,32,77,77,100.0,31032
31,33,92,92,100.0,31033
31,34,123,123,100.0,31034
31,35,137,137,100.0,31035
31,36,108,108,100.0,31036
31,37,110,110,100.0,31037
31,38,76,76,100.0,31038
31,40,131,131,100.0,31040
31,41,83,83,100.0,31041
32,3,151,151,100.0,32003
32,11,279,279,100.0,32011
32,12,213,213,100.0,32012
32,14,294,294,100.0,32014
32,20,298,298,100.0,32020
32,22,307,307,100.0,32022
32,26,169,169,100.0,32026
32,28,177,177,100.0,32028
32,43,16,16,100.0,32043
35,2,25,25,100.0,35002
35,10,378,378,100.0,35010
35,11,277,277,100.0,35011
35,15,289,289,100.0,35015
35,17,244,244,100.0,35017
35,25,233,233,100.0,35025
35,28,242,242,100.0,35028
36,9,1,1,100.0,36009
36,14,178,178,100.0,36014
36,16,167,167,100.0,36016
36,17,212,212,100.0,36017
36,18,137,137,100.0,36018
36,20,175,175,100.0,36020
38,23,222,222,100.0,38023
38,34,175,175,100.0,38034
38,35,196,196,100.0,38035
38,39,88,88,100.0,38039
45,8,187,187,100.0,45008
45,9,188,188,100.0,45009
45,10,197,197,100.0,45010
45,11,164,164,100.0,45011
