ward,precinct,total,Michael D. Rodriguez,Michael D. Rodriguez Percent,precinct_id
22,1,105,105,100.0,22001
22,2,214,214,100.0,22002
22,3,256,256,100.0,22003
22,4,157,157,100.0,22004
22,5,169,169,100.0,22005
22,6,183,183,100.0,22006
22,7,130,130,100.0,22007
22,8,242,242,100.0,22008
22,9,126,126,100.0,22009
22,10,252,252,100.0,22010
22,11,156,156,100.0,22011
22,12,152,152,100.0,22012
22,13,181,181,100.0,22013
22,14,164,164,100.0,22014
22,15,136,136,100.0,22015
22,16,143,143,100.0,22016
22,17,193,193,100.0,22017
22,18,137,137,100.0,22018
22,19,83,83,100.0,22019
22,20,198,198,100.0,22020
22,21,175,175,100.0,22021
22,22,154,154,100.0,22022
22,23,216,216,100.0,22023
22,24,227,227,100.0,22024
22,25,189,189,100.0,22025
