ward,precinct,total,"Michael Scott, Jr.","Michael Scott, Jr. Percent",precinct_id
24,1,151,151,100.0,24001
24,2,135,135,100.0,24002
24,3,166,166,100.0,24003
24,4,131,131,100.0,24004
24,5,85,85,100.0,24005
24,6,189,189,100.0,24006
24,7,88,88,100.0,24007
24,8,75,75,100.0,24008
24,9,122,122,100.0,24009
24,10,74,74,100.0,24010
24,11,144,144,100.0,24011
24,12,77,77,100.0,24012
24,13,82,82,100.0,24013
24,14,128,128,100.0,24014
24,15,60,60,100.0,24015
24,16,354,354,100.0,24016
24,17,112,112,100.0,24017
24,18,169,169,100.0,24018
24,19,178,178,100.0,24019
24,20,121,121,100.0,24020
24,21,81,81,100.0,24021
24,22,200,200,100.0,24022
24,23,108,108,100.0,24023
24,24,151,151,100.0,24024
24,25,116,116,100.0,24025
24,26,241,241,100.0,24026
24,27,160,160,100.0,24027
24,28,114,114,100.0,24028
24,29,125,125,100.0,24029
24,30,89,89,100.0,24030
24,31,168,168,100.0,24031
24,32,86,86,100.0,24032
24,33,100,100,100.0,24033
24,34,155,155,100.0,24034
24,35,142,142,100.0,24035
24,36,189,189,100.0,24036
24,37,88,88,100.0,24037
24,38,147,147,100.0,24038
24,39,141,141,100.0,24039
24,40,165,165,100.0,24040
24,41,109,109,100.0,24041
