ward,precinct,total,Sophia Olazaba (Elizabeth Warren),Sophia Olazaba (Elizabeth Warren) Percent,Will Guzzardi (Elizabeth Warren),Will Guzzardi (Elizabeth Warren) Percent,Venu Gupta (Elizabeth Warren),Venu Gupta (Elizabeth Warren) Percent,Omar Aquino (Elizabeth Warren),Omar Aquino (Elizabeth Warren) Percent,Abby Witt (Elizabeth Warren),Abby Witt (Elizabeth Warren) Percent,Alma Anaya (Bernie Sanders),Alma Anaya (Bernie Sanders) Percent,Melissa Rubio (Bernie Sanders),Melissa Rubio (Bernie Sanders) Percent,Shana East (Bernie Sanders),Shana East (Bernie Sanders) Percent,Byron Sigcho-Lopez (Bernie Sanders),Byron Sigcho-Lopez (Bernie Sanders) Percent,Colin Bird-Martinez (Bernie Sanders),Colin Bird-Martinez (Bernie Sanders) Percent,"Jesus Ayala, Jr. (Andrew Yang)","Jesus Ayala, Jr. (Andrew Yang) Percent",Melissa Strube (Andrew Yang),Melissa Strube (Andrew Yang) Percent,Peter Gariepy (Pete Buttigieg),Peter Gariepy (Pete Buttigieg) Percent,precinct_id
1,1,1466,38,2.59,23,1.57,22,1.5,25,1.71,33,2.25,191,13.03,185,12.62,168,11.46,163,11.12,154,10.5,5,0.34,7,0.48,29,1.98,01001
1,2,1219,23,1.89,22,1.8,9,0.74,13,1.07,16,1.31,192,15.75,201,16.49,172,14.11,167,13.7,161,13.21,9,0.74,7,0.57,12,0.98,01002
1,7,1120,23,2.05,42,3.75,15,1.34,13,1.16,13,1.16,154,13.75,154,13.75,141,12.59,136,12.14,133,11.88,7,0.63,6,0.54,29,2.59,01007
1,9,990,24,2.42,23,2.32,9,0.91,11,1.11,13,1.31,142,14.34,133,13.43,122,12.32,119,12.02,112,11.31,9,0.91,4,0.4,12,1.21,01009
1,13,640,16,2.5,24,3.75,9,1.41,13,2.03,14,2.19,80,12.5,77,12.03,69,10.78,68,10.63,65,10.16,5,0.78,2,0.31,15,2.34,01013
1,15,759,27,3.56,15,1.98,14,1.84,18,2.37,13,1.71,96,12.65,100,13.18,86,11.33,84,11.07,78,10.28,8,1.05,9,1.19,14,1.84,01015
1,16,1784,55,3.08,62,3.48,32,1.79,42,2.35,37,2.07,228,12.78,237,13.28,201,11.27,196,10.99,188,10.54,17,0.95,6,0.34,28,1.57,01016
1,17,1314,30,2.28,34,2.59,21,1.6,30,2.28,24,1.83,192,14.61,190,14.46,162,12.33,175,13.32,163,12.4,11,0.84,11,0.84,13,0.99,01017
1,18,1334,37,2.77,20,1.5,23,1.72,25,1.87,28,2.1,205,15.37,206,15.44,193,14.47,187,14.02,177,13.27,10,0.75,7,0.52,13,0.97,01018
1,19,1685,44,2.61,43,2.55,32,1.9,32,1.9,36,2.14,232,13.77,228,13.53,211,12.52,205,12.17,199,11.81,8,0.47,7,0.42,27,1.6,01019
1,20,1287,27,2.1,27,2.1,20,1.55,28,2.18,15,1.17,196,15.23,193,15.0,173,13.44,169,13.13,163,12.67,9,0.7,1,0.08,20,1.55,01020
1,22,873,15,1.72,14,1.6,10,1.15,13,1.49,8,0.92,125,14.32,125,14.32,117,13.4,114,13.06,103,11.8,4,0.46,6,0.69,17,1.95,01022
1,23,2243,51,2.27,73,3.25,33,1.47,35,1.56,43,1.92,330,14.71,316,14.09,295,13.15,282,12.57,274,12.22,10,0.45,6,0.27,27,1.2,01023
1,24,1249,26,2.08,14,1.12,12,0.96,19,1.52,25,2.0,209,16.73,195,15.61,185,14.81,175,14.01,172,13.77,9,0.72,6,0.48,10,0.8,01024
1,25,1282,38,2.96,19,1.48,23,1.79,21,1.64,26,2.03,193,15.05,185,14.43,181,14.12,176,13.73,164,12.79,5,0.39,3,0.23,11,0.86,01025
1,26,911,22,2.41,13,1.43,14,1.54,21,2.31,10,1.1,140,15.37,142,15.59,118,12.95,122,13.39,117,12.84,14,1.54,7,0.77,7,0.77,01026
1,27,1467,35,2.39,29,1.98,23,1.57,33,2.25,35,2.39,155,10.57,149,10.16,135,9.2,131,8.93,122,8.32,11,0.75,7,0.48,34,2.32,01027
1,29,1819,66,3.63,32,1.76,33,1.81,33,1.81,43,2.36,202,11.11,195,10.72,179,9.84,162,8.91,158,8.69,22,1.21,8,0.44,53,2.91,01029
1,30,1673,40,2.39,30,1.79,26,1.55,37,2.21,34,2.03,245,14.64,249,14.88,218,13.03,215,12.85,199,11.89,7,0.42,3,0.18,16,0.96,01030
1,31,1007,27,2.68,18,1.79,14,1.39,21,2.09,17,1.69,141,14.0,127,12.61,120,11.92,116,11.52,118,11.72,7,0.7,7,0.7,19,1.89,01031
1,34,1269,26,2.05,37,2.92,18,1.42,18,1.42,22,1.73,185,14.58,182,14.34,165,13.0,161,12.69,157,12.37,12,0.95,5,0.39,13,1.02,01034
1,38,810,24,2.96,14,1.73,16,1.98,22,2.72,11,1.36,111,13.7,113,13.95,110,13.58,105,12.96,104,12.84,8,0.99,3,0.37,15,1.85,01038
1,41,915,23,2.51,41,4.48,18,1.97,16,1.75,19,2.08,115,12.57,121,13.22,105,11.48,109,11.91,102,11.15,3,0.33,5,0.55,18,1.97,01041
1,42,380,11,2.89,10,2.63,7,1.84,8,2.11,9,2.37,55,14.47,46,12.11,44,11.58,45,11.84,44,11.58,5,1.32,1,0.26,10,2.63,01042
1,43,851,23,2.7,30,3.53,12,1.41,13,1.53,18,2.12,102,11.99,106,12.46,90,10.58,92,10.81,81,9.52,7,0.82,6,0.71,15,1.76,01043
1,44,1219,33,2.71,13,1.07,14,1.15,17,1.39,18,1.48,166,13.62,164,13.45,156,12.8,143,11.73,136,11.16,10,0.82,13,1.07,27,2.21,01044
11,3,1203,28,2.33,16,1.33,15,1.25,22,1.83,21,1.75,191,15.88,174,14.46,155,12.88,171,14.21,150,12.47,13,1.08,3,0.25,16,1.33,11003
11,37,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,11037
11,38,625,14,2.24,10,1.6,10,1.6,7,1.12,12,1.92,93,14.88,90,14.4,85,13.6,88,14.08,80,12.8,6,0.96,2,0.32,6,0.96,11038
12,2,770,13,1.69,8,1.04,7,0.91,17,2.21,10,1.3,114,14.81,103,13.38,81,10.52,88,11.43,79,10.26,14,1.82,9,1.17,5,0.65,12002
12,3,331,7,2.11,4,1.21,5,1.51,7,2.11,6,1.81,39,11.78,41,12.39,40,12.08,42,12.69,39,11.78,9,2.72,5,1.51,5,1.51,12003
12,5,590,10,1.69,4,0.68,6,1.02,14,2.37,5,0.85,69,11.69,54,9.15,48,8.14,53,8.98,45,7.63,13,2.2,6,1.02,13,2.2,12005
12,6,1067,19,1.78,10,0.94,5,0.47,21,1.97,14,1.31,143,13.4,140,13.12,116,10.87,128,12.0,110,10.31,21,1.97,9,0.84,15,1.41,12006
12,7,1006,19,1.89,10,0.99,9,0.89,19,1.89,8,0.8,176,17.5,163,16.2,137,13.62,150,14.91,131,13.02,25,2.49,7,0.7,5,0.5,12007
12,8,1052,26,2.47,3,0.29,6,0.57,14,1.33,16,1.52,131,12.45,111,10.55,88,8.37,99,9.41,90,8.56,31,2.95,18,1.71,15,1.43,12008
12,10,1101,20,1.82,7,0.64,7,0.64,18,1.63,11,1.0,204,18.53,193,17.53,153,13.9,166,15.08,148,13.44,22,2.0,5,0.45,7,0.64,12010
12,11,969,25,2.58,6,0.62,9,0.93,23,2.37,10,1.03,152,15.69,130,13.42,97,10.01,116,11.97,108,11.15,31,3.2,9,0.93,12,1.24,12011
12,12,887,25,2.82,9,1.01,7,0.79,16,1.8,2,0.23,132,14.88,114,12.85,93,10.48,97,10.94,93,10.48,19,2.14,10,1.13,13,1.47,12012
12,13,876,23,2.63,2,0.23,10,1.14,21,2.4,8,0.91,140,15.98,120,13.7,96,10.96,100,11.42,92,10.5,27,3.08,8,0.91,6,0.68,12013
12,14,773,14,1.81,12,1.55,7,0.91,15,1.94,3,0.39,134,17.34,116,15.01,89,11.51,99,12.81,82,10.61,18,2.33,3,0.39,3,0.39,12014
12,15,415,9,2.17,3,0.72,2,0.48,10,2.41,1,0.24,70,16.87,66,15.9,45,10.84,52,12.53,50,12.05,7,1.69,6,1.45,4,0.96,12015
12,16,711,15,2.11,4,0.56,9,1.27,18,2.53,11,1.55,114,16.03,111,15.61,82,11.53,82,11.53,69,9.7,17,2.39,6,0.84,5,0.7,12016
12,17,940,12,1.28,6,0.64,8,0.85,21,2.23,9,0.96,141,15.0,124,13.19,102,10.85,108,11.49,105,11.17,21,2.23,8,0.85,12,1.28,12017
12,18,407,1,0.25,2,0.49,2,0.49,4,0.98,2,0.49,71,17.44,69,16.95,59,14.5,60,14.74,59,14.5,5,1.23,1,0.25,3,0.74,12018
12,19,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,12019
12,20,862,11,1.28,6,0.7,7,0.81,13,1.51,9,1.04,148,17.17,122,14.15,97,11.25,103,11.95,100,11.6,23,2.67,6,0.7,12,1.39,12020
12,21,1021,26,2.55,14,1.37,11,1.08,20,1.96,14,1.37,143,14.01,132,12.93,122,11.95,116,11.36,119,11.66,20,1.96,12,1.18,11,1.08,12021
12,22,934,18,1.93,7,0.75,7,0.75,15,1.61,10,1.07,172,18.42,162,17.34,127,13.6,122,13.06,117,12.53,16,1.71,8,0.86,3,0.32,12022
14,2,1173,18,1.53,12,1.02,13,1.11,20,1.71,15,1.28,174,14.83,165,14.07,130,11.08,147,12.53,138,11.76,19,1.62,11,0.94,13,1.11,14002
14,3,696,10,1.44,5,0.72,2,0.29,13,1.87,7,1.01,126,18.1,102,14.66,86,12.36,91,13.07,78,11.21,10,1.44,5,0.72,2,0.29,14003
14,5,654,16,2.45,5,0.76,3,0.46,15,2.29,5,0.76,121,18.5,87,13.3,62,9.48,67,10.24,58,8.87,14,2.14,4,0.61,9,1.38,14005
14,6,421,10,2.38,2,0.48,5,1.19,4,0.95,3,0.71,74,17.58,68,16.15,48,11.4,47,11.16,47,11.16,9,2.14,2,0.48,1,0.24,14006
14,10,583,14,2.4,6,1.03,4,0.69,10,1.72,8,1.37,95,16.3,79,13.55,69,11.84,76,13.04,63,10.81,12,2.06,5,0.86,8,1.37,14010
14,11,472,7,1.48,2,0.42,4,0.85,9,1.91,3,0.64,73,15.47,71,15.04,49,10.38,57,12.08,48,10.17,15,3.18,4,0.85,2,0.42,14011
14,13,815,23,2.82,6,0.74,5,0.61,16,1.96,8,0.98,111,13.62,116,14.23,90,11.04,94,11.53,88,10.8,16,1.96,8,0.98,13,1.6,14013
14,14,920,16,1.74,6,0.65,3,0.33,10,1.09,10,1.09,159,17.28,138,15.0,109,11.85,118,12.83,105,11.41,21,2.28,6,0.65,6,0.65,14014
14,15,893,18,2.02,6,0.67,8,0.9,11,1.23,9,1.01,151,16.91,141,15.79,111,12.43,124,13.89,103,11.53,19,2.13,5,0.56,11,1.23,14015
14,16,668,16,2.4,10,1.5,13,1.95,10,1.5,9,1.35,102,15.27,87,13.02,66,9.88,71,10.63,66,9.88,17,2.54,6,0.9,6,0.9,14016
14,17,673,11,1.63,5,0.74,1,0.15,14,2.08,4,0.59,108,16.05,102,15.16,81,12.04,79,11.74,81,12.04,13,1.93,7,1.04,3,0.45,14017
14,19,699,11,1.57,3,0.43,6,0.86,14,2.0,10,1.43,109,15.59,94,13.45,75,10.73,81,11.59,76,10.87,20,2.86,6,0.86,4,0.57,14019
14,20,640,11,1.72,7,1.09,5,0.78,14,2.19,12,1.88,98,15.31,79,12.34,67,10.47,65,10.16,67,10.47,15,2.34,8,1.25,8,1.25,14020
