ward,precinct,total,Derrick G. Curtis,Derrick G. Curtis Percent,precinct_id
18,1,184,184,100.0,18001
18,2,171,171,100.0,18002
18,3,145,145,100.0,18003
18,4,254,254,100.0,18004
18,5,132,132,100.0,18005
18,6,190,190,100.0,18006
18,7,179,179,100.0,18007
18,8,229,229,100.0,18008
18,9,224,224,100.0,18009
18,10,332,332,100.0,18010
18,11,168,168,100.0,18011
18,12,184,184,100.0,18012
18,13,238,238,100.0,18013
18,14,242,242,100.0,18014
18,15,218,218,100.0,18015
18,16,213,213,100.0,18016
18,17,219,219,100.0,18017
18,18,188,188,100.0,18018
18,19,192,192,100.0,18019
18,20,161,161,100.0,18020
18,21,265,265,100.0,18021
18,22,284,284,100.0,18022
18,23,191,191,100.0,18023
18,24,163,163,100.0,18024
18,25,176,176,100.0,18025
18,26,286,286,100.0,18026
18,27,180,180,100.0,18027
18,28,177,177,100.0,18028
18,29,217,217,100.0,18029
18,30,212,212,100.0,18030
18,31,241,241,100.0,18031
18,32,237,237,100.0,18032
18,33,174,174,100.0,18033
18,34,297,297,100.0,18034
18,35,269,269,100.0,18035
18,36,205,205,100.0,18036
18,37,275,275,100.0,18037
18,38,209,209,100.0,18038
18,39,149,149,100.0,18039
18,40,216,216,100.0,18040
18,41,270,270,100.0,18041
18,42,169,169,100.0,18042
18,43,137,137,100.0,18043
18,44,170,170,100.0,18044
18,45,175,175,100.0,18045
18,46,205,205,100.0,18046
18,47,141,141,100.0,18047
18,48,145,145,100.0,18048
18,49,118,118,100.0,18049
18,50,135,135,100.0,18050
