ward,precinct,total,Paul Rosenfeld,Paul Rosenfeld Percent,precinct_id
47,1,180,180,100.0,47001
47,2,275,275,100.0,47002
47,3,241,241,100.0,47003
47,4,321,321,100.0,47004
47,5,276,276,100.0,47005
47,6,289,289,100.0,47006
47,7,264,264,100.0,47007
47,8,278,278,100.0,47008
47,9,229,229,100.0,47009
47,10,368,368,100.0,47010
47,11,242,242,100.0,47011
47,12,296,296,100.0,47012
47,13,314,314,100.0,47013
47,14,253,253,100.0,47014
47,15,394,394,100.0,47015
47,16,284,284,100.0,47016
47,17,291,291,100.0,47017
47,18,266,266,100.0,47018
47,19,417,417,100.0,47019
47,20,267,267,100.0,47020
47,21,283,283,100.0,47021
47,22,314,314,100.0,47022
47,23,386,386,100.0,47023
47,24,299,299,100.0,47024
47,25,309,309,100.0,47025
47,26,349,349,100.0,47026
47,27,248,248,100.0,47027
47,28,269,269,100.0,47028
47,29,292,292,100.0,47029
47,30,327,327,100.0,47030
47,31,293,293,100.0,47031
47,32,347,347,100.0,47032
47,33,244,244,100.0,47033
47,34,321,321,100.0,47034
47,35,280,280,100.0,47035
47,36,325,325,100.0,47036
47,37,265,265,100.0,47037
47,38,269,269,100.0,47038
47,39,294,294,100.0,47039
47,40,320,320,100.0,47040
47,41,348,348,100.0,47041
47,42,282,282,100.0,47042
47,43,238,238,100.0,47043
47,44,202,202,100.0,47044
47,45,275,275,100.0,47045
47,46,271,271,100.0,47046
47,47,308,308,100.0,47047
47,48,28,28,100.0,47048
