ward,precinct,total,Trina Mangrum,Trina Mangrum Percent,Lakesia Collins,Lakesia Collins Percent,Aaron Turner,Aaron Turner Percent,Tyjuan ''Ty'' Cratic,Tyjuan ''Ty'' Cratic Percent,Maurice Edwards,Maurice Edwards Percent,Sandra Schneller,Sandra Schneller Percent,Nicole L. ''Nikki'' Harvey,Nicole L. ''Nikki'' Harvey Percent,precinct_id
2,9,164,7,4.27,56,34.15,20,12.2,32,19.51,15,9.15,15,9.15,19,11.59,02009
2,12,260,15,5.77,131,50.38,15,5.77,42,16.15,15,5.77,19,7.31,23,8.85,02012
2,20,4,0,0.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,02020
2,41,55,4,7.27,16,29.09,8,14.55,8,14.55,2,3.64,7,12.73,10,18.18,02041
2,46,144,9,6.25,53,36.81,12,8.33,26,18.06,3,2.08,31,21.53,10,6.94,02046
11,2,16,2,12.5,4,25.0,3,18.75,2,12.5,0,0.0,1,6.25,4,25.0,11002
11,6,311,22,7.07,170,54.66,37,11.9,33,10.61,7,2.25,23,7.4,19,6.11,11006
11,7,271,21,7.75,151,55.72,21,7.75,29,10.7,10,3.69,11,4.06,28,10.33,11007
11,33,285,16,5.61,132,46.32,42,14.74,24,8.42,8,2.81,41,14.39,22,7.72,11033
12,10,63,6,9.52,21,33.33,8,12.7,7,11.11,4,6.35,12,19.05,5,7.94,12010
22,19,91,8,8.79,48,52.75,25,27.47,5,5.49,1,1.1,2,2.2,2,2.2,22019
22,21,207,13,6.28,93,44.93,74,35.75,4,1.93,4,1.93,3,1.45,16,7.73,22021
24,1,180,32,17.78,74,41.11,49,27.22,5,2.78,3,1.67,5,2.78,12,6.67,24001
24,2,168,27,16.07,64,38.1,44,26.19,6,3.57,3,1.79,2,1.19,22,13.1,24002
24,3,188,22,11.7,76,40.43,73,38.83,2,1.06,4,2.13,0,0.0,11,5.85,24003
24,4,139,17,12.23,91,65.47,18,12.95,3,2.16,2,1.44,1,0.72,7,5.04,24004
24,5,102,11,10.78,57,55.88,19,18.63,2,1.96,3,2.94,2,1.96,8,7.84,24005
24,6,224,17,7.59,96,42.86,81,36.16,3,1.34,8,3.57,3,1.34,16,7.14,24006
24,7,106,7,6.6,62,58.49,6,5.66,8,7.55,3,2.83,10,9.43,10,9.43,24007
24,8,87,8,9.2,37,42.53,22,25.29,1,1.15,5,5.75,1,1.15,13,14.94,24008
24,9,173,13,7.51,70,40.46,62,35.84,6,3.47,7,4.05,5,2.89,10,5.78,24009
24,10,91,6,6.59,39,42.86,18,19.78,3,3.3,4,4.4,7,7.69,14,15.38,24010
24,11,195,22,11.28,101,51.79,40,20.51,4,2.05,5,2.56,2,1.03,21,10.77,24011
24,12,85,9,10.59,43,50.59,23,27.06,3,3.53,2,2.35,1,1.18,4,4.71,24012
24,13,85,7,8.24,47,55.29,21,24.71,0,0.0,1,1.18,0,0.0,9,10.59,24013
24,14,155,23,14.84,83,53.55,15,9.68,5,3.23,5,3.23,12,7.74,12,7.74,24014
24,15,76,7,9.21,31,40.79,23,30.26,1,1.32,0,0.0,1,1.32,13,17.11,24015
24,16,12,0,0.0,9,75.0,1,8.33,1,8.33,0,0.0,1,8.33,0,0.0,24016
24,17,115,19,16.52,54,46.96,20,17.39,2,1.74,2,1.74,3,2.61,15,13.04,24017
24,18,206,33,16.02,88,42.72,54,26.21,5,2.43,3,1.46,3,1.46,20,9.71,24018
24,20,67,9,13.43,32,47.76,4,5.97,1,1.49,2,2.99,1,1.49,18,26.87,24020
24,21,96,11,11.46,53,55.21,16,16.67,0,0.0,1,1.04,1,1.04,14,14.58,24021
24,22,239,34,14.23,110,46.03,41,17.15,8,3.35,6,2.51,5,2.09,35,14.64,24022
24,23,140,14,10.0,59,42.14,37,26.43,4,2.86,8,5.71,3,2.14,15,10.71,24023
24,24,216,29,13.43,83,38.43,51,23.61,4,1.85,4,1.85,2,0.93,43,19.91,24024
24,25,142,18,12.68,76,53.52,22,15.49,3,2.11,3,2.11,6,4.23,14,9.86,24025
24,26,289,54,18.69,137,47.4,44,15.22,4,1.38,4,1.38,10,3.46,36,12.46,24026
24,27,202,35,17.33,92,45.54,45,22.28,7,3.47,3,1.49,4,1.98,16,7.92,24027
24,28,148,25,16.89,61,41.22,27,18.24,4,2.7,5,3.38,2,1.35,24,16.22,24028
24,29,154,13,8.44,91,59.09,33,21.43,4,2.6,2,1.3,0,0.0,11,7.14,24029
24,30,118,12,10.17,83,70.34,13,11.02,1,0.85,0,0.0,4,3.39,5,4.24,24030
24,31,212,13,6.13,85,40.09,94,44.34,3,1.42,2,0.94,1,0.47,14,6.6,24031
24,33,119,17,14.29,52,43.7,33,27.73,4,3.36,3,2.52,4,3.36,6,5.04,24033
24,34,180,16,8.89,73,40.56,53,29.44,2,1.11,7,3.89,5,2.78,24,13.33,24034
24,35,168,24,14.29,89,52.98,38,22.62,2,1.19,3,1.79,1,0.6,11,6.55,24035
24,36,232,17,7.33,87,37.5,98,42.24,8,3.45,2,0.86,3,1.29,17,7.33,24036
