ward,precinct,total,Jon Stromsta,Jon Stromsta Percent,Maire Aileen Dempsey,Maire Aileen Dempsey Percent,precinct_id
30,3,96,19,19.79,58,60.42,30003
30,15,247,52,21.05,152,61.54,30015
30,20,41,9,21.95,18,43.9,30020
30,32,178,34,19.1,107,60.11,30032
32,19,165,31,18.79,113,68.48,32019
32,21,223,56,25.11,142,63.68,32021
32,25,159,37,23.27,104,65.41,32025
33,2,362,120,33.15,173,47.79,33002
33,7,308,67,21.75,164,53.25,33007
33,18,366,115,31.42,188,51.37,33018
35,9,189,36,19.05,92,48.68,35009
35,22,284,82,28.87,144,50.7,35022
35,23,99,23,23.23,52,52.53,35023
35,29,189,37,19.58,99,52.38,35029
35,30,193,27,13.99,96,49.74,35030
35,31,206,38,18.45,116,56.31,35031
38,1,181,42,23.2,70,38.67,38001
38,31,252,57,22.62,106,42.06,38031
38,32,188,35,18.62,74,39.36,38032
38,41,225,51,22.67,102,45.33,38041
39,1,223,30,13.45,116,52.02,39001
39,2,153,35,22.88,80,52.29,39002
39,3,289,54,18.69,182,62.98,39003
39,4,222,41,18.47,108,48.65,39004
39,5,220,50,22.73,112,50.91,39005
39,6,214,40,18.69,97,45.33,39006
39,7,191,44,23.04,89,46.6,39007
39,8,197,25,12.69,110,55.84,39008
39,9,167,25,14.97,85,50.9,39009
39,10,124,26,20.97,61,49.19,39010
39,11,180,27,15.0,87,48.33,39011
39,12,273,72,26.37,152,55.68,39012
39,13,152,32,21.05,85,55.92,39013
39,14,223,31,13.9,104,46.64,39014
39,15,215,21,9.77,114,53.02,39015
39,16,135,30,22.22,67,49.63,39016
39,17,237,35,14.77,135,56.96,39017
39,18,192,49,25.52,108,56.25,39018
39,19,231,32,13.85,134,58.01,39019
39,20,273,35,12.82,89,32.6,39020
39,21,207,15,7.25,71,34.3,39021
39,22,147,29,19.73,81,55.1,39022
39,23,261,41,15.71,95,36.4,39023
39,24,266,35,13.16,101,37.97,39024
39,25,155,33,21.29,91,58.71,39025
39,26,173,38,21.97,74,42.77,39026
39,27,48,10,20.83,18,37.5,39027
39,28,320,68,21.25,190,59.38,39028
39,29,134,40,29.85,65,48.51,39029
39,30,235,43,18.3,152,64.68,39030
39,31,204,29,14.22,106,51.96,39031
39,32,65,10,15.38,37,56.92,39032
39,33,202,50,24.75,111,54.95,39033
39,34,238,61,25.63,135,56.72,39034
39,35,210,38,18.1,135,64.29,39035
