ward,precinct,total,Lindsey LaPointe,Lindsey LaPointe Percent,Patricia D. ''Patti Vasquez'' Bonnin,Patricia D. ''Patti Vasquez'' Bonnin Percent,Joe Duplechin,Joe Duplechin Percent,precinct_id
29,29,158,70,44.3,70,44.3,18,11.39,29029
29,31,58,18,31.03,17,29.31,23,39.66,29031
29,32,168,63,37.5,79,47.02,26,15.48,29032
38,1,194,104,53.61,67,34.54,23,11.86,38001
38,3,169,52,30.77,77,45.56,40,23.67,38003
38,5,176,64,36.36,63,35.8,49,27.84,38005
38,6,166,55,33.13,61,36.75,50,30.12,38006
38,7,113,29,25.66,39,34.51,45,39.82,38007
38,9,209,102,48.8,61,29.19,46,22.01,38009
38,11,180,110,61.11,38,21.11,32,17.78,38011
38,13,225,86,38.22,84,37.33,55,24.44,38013
38,14,220,99,45.0,75,34.09,46,20.91,38014
38,15,192,84,43.75,81,42.19,27,14.06,38015
38,17,167,53,31.74,59,35.33,55,32.93,38017
38,18,231,97,41.99,92,39.83,42,18.18,38018
38,19,234,99,42.31,82,35.04,53,22.65,38019
38,21,163,67,41.1,62,38.04,34,20.86,38021
38,22,211,114,54.03,69,32.7,28,13.27,38022
38,24,223,79,35.43,77,34.53,67,30.04,38024
38,25,190,74,38.95,78,41.05,38,20.0,38025
38,26,181,81,44.75,60,33.15,40,22.1,38026
38,27,192,61,31.77,83,43.23,48,25.0,38027
38,29,209,78,37.32,84,40.19,47,22.49,38029
38,30,184,59,32.07,62,33.7,63,34.24,38030
38,31,276,139,50.36,80,28.99,57,20.65,38031
38,32,209,104,49.76,69,33.01,36,17.22,38032
38,33,190,94,49.47,75,39.47,21,11.05,38033
38,36,200,91,45.5,72,36.0,37,18.5,38036
38,38,190,54,28.42,101,53.16,35,18.42,38038
38,40,235,98,41.7,95,40.43,42,17.87,38040
38,41,265,148,55.85,86,32.45,31,11.7,38041
39,20,306,114,37.25,112,36.6,80,26.14,39020
39,21,216,79,36.57,63,29.17,74,34.26,39021
39,23,284,102,35.92,109,38.38,73,25.7,39023
39,24,276,95,34.42,80,28.99,101,36.59,39024
39,41,0,0,0.0,0,0.0,0,0.0,39041
41,3,98,41,41.84,25,25.51,32,32.65,41003
41,12,199,95,47.74,50,25.13,54,27.14,41012
41,24,194,89,45.88,51,26.29,54,27.84,41024
41,30,205,93,45.37,44,21.46,68,33.17,41030
41,38,206,75,36.41,64,31.07,67,32.52,41038
45,12,223,132,59.19,66,29.6,25,11.21,45012
45,13,268,175,65.3,58,21.64,35,13.06,45013
45,14,372,167,44.89,154,41.4,51,13.71,45014
45,15,372,185,49.73,139,37.37,48,12.9,45015
45,16,217,109,50.23,69,31.8,39,17.97,45016
45,17,276,130,47.1,109,39.49,37,13.41,45017
45,18,255,102,40.0,115,45.1,38,14.9,45018
45,19,125,62,49.6,46,36.8,17,13.6,45019
45,20,160,77,48.13,59,36.88,24,15.0,45020
45,21,211,88,41.71,72,34.12,51,24.17,45021
45,22,166,75,45.18,50,30.12,41,24.7,45022
45,23,192,87,45.31,50,26.04,55,28.65,45023
45,24,160,52,32.5,58,36.25,50,31.25,45024
45,25,154,53,34.42,64,41.56,37,24.03,45025
45,26,99,43,43.43,30,30.3,26,26.26,45026
45,27,232,97,41.81,64,27.59,71,30.6,45027
45,28,156,86,55.13,50,32.05,20,12.82,45028
45,29,121,51,42.15,43,35.54,27,22.31,45029
45,30,212,120,56.6,70,33.02,22,10.38,45030
45,31,216,114,52.78,61,28.24,41,18.98,45031
45,32,160,80,50.0,41,25.63,39,24.38,45032
45,33,190,103,54.21,55,28.95,32,16.84,45033
45,34,269,121,44.98,98,36.43,50,18.59,45034
45,35,295,143,48.47,101,34.24,51,17.29,45035
45,36,294,125,42.52,116,39.46,53,18.03,45036
45,37,217,78,35.94,86,39.63,53,24.42,45037
45,38,245,82,33.47,124,50.61,39,15.92,45038
45,39,225,91,40.44,82,36.44,52,23.11,45039
45,40,188,65,34.57,57,30.32,66,35.11,45040
45,41,237,72,30.38,89,37.55,76,32.07,45041
45,42,264,85,32.2,88,33.33,91,34.47,45042
45,43,220,74,33.64,73,33.18,73,33.18,45043
45,44,285,94,32.98,102,35.79,89,31.23,45044
45,45,148,49,33.11,36,24.32,63,42.57,45045
45,46,152,60,39.47,42,27.63,50,32.89,45046
45,47,159,50,31.45,48,30.19,61,38.36,45047
45,48,169,55,32.54,38,22.49,76,44.97,45048
