ward,precinct,total,Elizabeth ''Lisa'' Hernandez,Elizabeth ''Lisa'' Hernandez Percent,precinct_id
12,16,4,4,100.0,12016
22,3,226,226,100.0,22003
22,4,39,39,100.0,22004
22,5,136,136,100.0,22005
22,6,170,170,100.0,22006
22,7,24,24,100.0,22007
22,9,119,119,100.0,22009
22,10,4,4,100.0,22010
22,11,145,145,100.0,22011
22,13,59,59,100.0,22013
22,15,26,26,100.0,22015
22,16,4,4,100.0,22016
22,17,123,123,100.0,22017
22,18,66,66,100.0,22018
22,20,173,173,100.0,22020
22,24,193,193,100.0,22024
22,25,169,169,100.0,22025
