ward,precinct,total,Brendan Reilly,Brendan Reilly Percent,precinct_id
42,1,206,206,100.0,42001
42,2,207,207,100.0,42002
42,3,217,217,100.0,42003
42,4,428,428,100.0,42004
42,5,191,191,100.0,42005
42,6,258,258,100.0,42006
42,7,249,249,100.0,42007
42,8,233,233,100.0,42008
42,9,269,269,100.0,42009
42,10,319,319,100.0,42010
42,11,96,96,100.0,42011
42,12,229,229,100.0,42012
42,13,276,276,100.0,42013
42,14,238,238,100.0,42014
42,15,242,242,100.0,42015
42,16,214,214,100.0,42016
42,17,212,212,100.0,42017
42,18,178,178,100.0,42018
42,19,270,270,100.0,42019
42,20,186,186,100.0,42020
42,21,184,184,100.0,42021
42,22,78,78,100.0,42022
42,23,224,224,100.0,42023
42,24,150,150,100.0,42024
42,25,223,223,100.0,42025
42,26,256,256,100.0,42026
42,27,195,195,100.0,42027
42,28,219,219,100.0,42028
42,29,193,193,100.0,42029
42,30,192,192,100.0,42030
42,31,245,245,100.0,42031
42,32,183,183,100.0,42032
42,33,259,259,100.0,42033
42,34,192,192,100.0,42034
42,35,263,263,100.0,42035
42,36,249,249,100.0,42036
42,37,155,155,100.0,42037
42,38,207,207,100.0,42038
42,39,258,258,100.0,42039
42,40,243,243,100.0,42040
42,41,221,221,100.0,42041
42,42,403,403,100.0,42042
