ward,precinct,total,Sonya Marie Harper,Sonya Marie Harper Percent,precinct_id
3,1,44,44,100.0,03001
3,3,153,153,100.0,03003
3,5,150,150,100.0,03005
3,10,106,106,100.0,03010
3,13,292,292,100.0,03013
3,18,142,142,100.0,03018
3,26,280,280,100.0,03026
3,29,19,19,100.0,03029
3,36,27,27,100.0,03036
3,41,153,153,100.0,03041
4,13,294,294,100.0,04013
4,16,76,76,100.0,04016
4,17,308,308,100.0,04017
4,20,246,246,100.0,04020
4,21,269,269,100.0,04021
4,37,431,431,100.0,04037
6,15,113,113,100.0,06015
6,18,16,16,100.0,06018
6,28,46,46,100.0,06028
11,12,250,250,100.0,11012
11,13,203,203,100.0,11013
11,21,280,280,100.0,11021
11,24,300,300,100.0,11024
11,28,75,75,100.0,11028
11,29,247,247,100.0,11029
11,31,186,186,100.0,11031
11,32,80,80,100.0,11032
11,34,69,69,100.0,11034
11,35,39,39,100.0,11035
15,1,146,146,100.0,15001
15,2,102,102,100.0,15002
15,3,103,103,100.0,15003
15,5,27,27,100.0,15005
15,7,59,59,100.0,15007
15,13,44,44,100.0,15013
15,14,11,11,100.0,15014
15,17,118,118,100.0,15017
15,18,75,75,100.0,15018
15,20,113,113,100.0,15020
15,21,112,112,100.0,15021
15,22,6,6,100.0,15022
15,23,104,104,100.0,15023
15,24,75,75,100.0,15024
16,2,94,94,100.0,16002
16,3,123,123,100.0,16003
16,4,122,122,100.0,16004
16,5,83,83,100.0,16005
16,6,53,53,100.0,16006
16,8,75,75,100.0,16008
16,9,132,132,100.0,16009
16,10,108,108,100.0,16010
16,12,108,108,100.0,16012
16,14,90,90,100.0,16014
16,15,139,139,100.0,16015
16,17,28,28,100.0,16017
16,18,95,95,100.0,16018
16,19,126,126,100.0,16019
16,20,99,99,100.0,16020
16,21,115,115,100.0,16021
16,22,107,107,100.0,16022
16,25,139,139,100.0,16025
16,26,96,96,100.0,16026
16,27,97,97,100.0,16027
16,28,113,113,100.0,16028
16,30,28,28,100.0,16030
16,31,134,134,100.0,16031
16,33,33,33,100.0,16033
16,34,132,132,100.0,16034
16,36,88,88,100.0,16036
17,1,0,0,0.0,17001
17,6,146,146,100.0,17006
17,8,97,97,100.0,17008
17,16,12,12,100.0,17016
17,17,17,17,100.0,17017
17,25,125,125,100.0,17025
18,50,62,62,100.0,18050
20,2,38,38,100.0,20002
20,4,72,72,100.0,20004
20,6,65,65,100.0,20006
20,13,175,175,100.0,20013
20,15,148,148,100.0,20015
20,17,102,102,100.0,20017
20,20,79,79,100.0,20020
20,21,121,121,100.0,20021
20,25,102,102,100.0,20025
20,27,73,73,100.0,20027
20,29,183,183,100.0,20029
20,32,127,127,100.0,20032
20,36,44,44,100.0,20036
20,38,44,44,100.0,20038
20,39,5,5,100.0,20039
25,14,0,0,0.0,25014
25,21,307,307,100.0,25021
25,27,76,76,100.0,25027
42,5,187,187,100.0,42005
42,9,300,300,100.0,42009
42,10,94,94,100.0,42010
42,12,95,95,100.0,42012
42,14,79,79,100.0,42014
42,15,172,172,100.0,42015
42,17,229,229,100.0,42017
42,18,191,191,100.0,42018
42,21,151,151,100.0,42021
42,33,0,0,0.0,42033
42,36,175,175,100.0,42036
42,37,146,146,100.0,42037
42,38,186,186,100.0,42038
42,41,183,183,100.0,42041
