ward,precinct,total,Frances Ann Hurley,Frances Ann Hurley Percent,precinct_id
19,1,210,210,100.0,19001
19,2,367,367,100.0,19002
19,4,254,254,100.0,19004
19,6,228,228,100.0,19006
19,7,220,220,100.0,19007
19,8,228,228,100.0,19008
19,10,329,329,100.0,19010
19,11,241,241,100.0,19011
19,13,303,303,100.0,19013
19,15,246,246,100.0,19015
19,16,215,215,100.0,19016
19,17,207,207,100.0,19017
19,18,224,224,100.0,19018
19,19,358,358,100.0,19019
19,21,223,223,100.0,19021
19,22,302,302,100.0,19022
19,23,258,258,100.0,19023
19,24,7,7,100.0,19024
19,25,265,265,100.0,19025
19,26,272,272,100.0,19026
19,27,273,273,100.0,19027
19,28,283,283,100.0,19028
19,29,195,195,100.0,19029
19,30,200,200,100.0,19030
19,32,216,216,100.0,19032
19,33,162,162,100.0,19033
19,34,263,263,100.0,19034
19,35,268,268,100.0,19035
19,36,315,315,100.0,19036
19,37,298,298,100.0,19037
19,38,226,226,100.0,19038
19,39,86,86,100.0,19039
19,41,183,183,100.0,19041
19,44,254,254,100.0,19044
19,45,236,236,100.0,19045
19,46,266,266,100.0,19046
19,50,202,202,100.0,19050
19,51,277,277,100.0,19051
19,52,236,236,100.0,19052
19,53,222,222,100.0,19053
19,54,160,160,100.0,19054
19,56,88,88,100.0,19056
19,57,258,258,100.0,19057
21,1,231,231,100.0,21001
21,3,218,218,100.0,21003
21,8,194,194,100.0,21008
21,14,216,216,100.0,21014
21,16,158,158,100.0,21016
21,18,227,227,100.0,21018
21,22,40,40,100.0,21022
21,29,99,99,100.0,21029
21,32,161,161,100.0,21032
21,36,15,15,100.0,21036
21,42,71,71,100.0,21042
21,48,61,61,100.0,21048
34,49,23,23,100.0,34049
